iter	Passed	Remaining
0	94	23654
1	189	23470
2	277	22819
3	367	22586
4	459	22511
5	548	22292
6	637	22143
7	759	22969
8	881	23598
9	1001	24033
10	1097	23837
11	1182	23461
12	1269	23149
13	1359	22909
14	1449	22703
15	1539	22520
16	1630	22350
17	1716	22118
18	1801	21903
19	1893	21771
20	1980	21594
21	2063	21383
22	2144	21163
23	2230	21003
24	2314	20834
25	2403	20711
26	2492	20586
27	2578	20440
28	2664	20303
29	2753	20189
30	2839	20057
31	2948	20086
32	3039	19985
33	3120	19824
34	3215	19754
35	3302	19631
36	3391	19521
37	3484	19442
38	3570	19318
39	3657	19203
40	3751	19122
41	3834	18990
42	3923	18889
43	4009	18772
44	4103	18691
45	4191	18587
46	4277	18473
47	4367	18377
48	4451	18259
49	4536	18145
50	4626	18054
51	4719	17970
52	4804	17858
53	4896	17771
54	4994	17706
55	5091	17640
56	5183	17550
57	5266	17435
58	5353	17330
59	5439	17225
60	5530	17135
61	5617	17033
62	5715	16966
63	5816	16905
64	5907	16812
65	6004	16739
66	6090	16636
67	6193	16576
68	6282	16480
69	6371	16384
70	6462	16293
71	6548	16188
72	6649	16123
73	6737	16023
74	6825	15925
75	6917	15836
76	7005	15739
77	7092	15639
78	7181	15545
79	7273	15455
80	7360	15356
81	7446	15256
82	7531	15154
83	7619	15058
84	7720	14986
85	7821	14915
86	7933	14863
87	8034	14791
88	8124	14697
89	8216	14606
90	8307	14515
91	8399	14425
92	8484	14323
93	8569	14221
94	8666	14140
95	8754	14043
96	8843	13949
97	8939	13865
98	9027	13769
99	9118	13677
100	9201	13574
101	9281	13467
102	9371	13375
103	9460	13281
104	9545	13181
105	9628	13080
106	9722	12993
107	9809	12898
108	9918	12830
109	10021	12755
110	10106	12655
111	10196	12564
112	10280	12463
113	10373	12375
114	10460	12279
115	10548	12185
116	10633	12087
117	10727	12000
118	10816	11907
119	10903	11812
120	11021	11749
121	11152	11700
122	11270	11637
123	11397	11581
124	11505	11505
125	11614	11430
126	11738	11369
127	11848	11292
128	11955	11214
129	12070	11141
130	12187	11070
131	12305	11000
132	12412	10919
133	12529	10846
134	12641	10768
135	12763	10698
