id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,230,267,259
2,313,326,312
3,176,179,176
4,303,332,295
5,418,476,442
6,188,199,203
7,496,558,540
8,220,239,226
9,2333,2530,2485
10,328,385,347
11,684,723,752
12,173,179,178
13,323,348,345
14,370,390,396
15,581,624,620
16,408,418,413
17,327,349,340
18,273,289,292
19,555,577,563
20,107,116,115
21,316,318,311
22,221,235,226
23,327,355,342
24,339,376,339
25,220,228,219
26,276,322,299
27,737,797,736
28,356,387,356
29,1119,1170,1090
30,335,362,340
31,6227,7035,5975
32,818,925,846
33,1638,1711,1557
34,489,528,480
35,718,791,754
36,807,871,838
37,1290,1351,1198
38,733,789,711
39,642,742,661
40,1149,1213,1030
41,1187,1212,1040
42,250,277,246
43,380,406,363
44,602,613,571
45,130,136,119
46,305,289,275
47,218,218,200
48,348,333,312
49,418,438,386
50,161,154,138
51,407,418,383
52,153,157,140
53,1572,1499,1422
54,190,196,167
55,424,435,395
56,169,169,160
57,366,354,319
58,376,368,331
59,404,394,372
60,295,278,261
61,287,280,272
62,124,128,118
63,367,362,338
64,174,172,154
65,286,278,273
66,192,193,168
67,109,108,104
68,224,249,235
69,119,119,120
70,99,102,102
71,415,446,419
72,200,216,212
73,377,402,395
74,126,132,131
75,3036,3305,2996
76,312,318,319
77,880,900,977
78,300,299,315
79,341,362,332
80,464,488,509
81,1024,1058,1036
82,478,483,487
83,565,521,532
84,470,475,458
85,269,277,265
86,129,139,131
87,207,218,207
88,122,140,127
89,195,186,194
90,2920,3136,3285
91,499,510,520
92,96,96,103
93,1520,1572,1544
94,1587,1620,1658
95,3099,3121,3180
96,1494,1472,1537
97,1687,1681,1741
98,1653,1691,1679
99,1842,1904,1939
100,738,806,787
101,3204,3204,3205
102,3695,3579,3660
103,1336,1361,1349
104,1289,1405,1359
105,1467,1566,1492
106,439,458,435
107,972,958,1015
108,234,244,245
109,1631,1699,1738
110,513,507,528
111,205,201,206
112,371,368,354
113,399,399,367
114,73,76,64
115,752,766,686
116,875,969,860
117,1328,1337,1236
118,436,439,393
119,3463,3756,3292
120,511,561,516
121,1083,1137,1080
122,582,632,560
123,1565,1540,1376
124,2038,2203,1833
125,747,759,673
126,894,921,828
127,1079,1168,1006
128,261,255,238
129,244,237,227
130,391,382,357
131,365,383,352
132,347,350,331
133,1134,1169,1212
134,160,178,160
135,192,197,195
136,1187,1164,1272
137,453,505,503
138,395,442,423
139,1275,1295,1308
140,335,397,355
141,1138,1163,1202
142,139,171,155
143,1201,1233,1357
144,225,238,222
145,949,947,903
146,947,1049,1033
147,998,995,946
148,328,365,359
149,313,316,321
150,254,308,276
151,340,392,354
152,149,168,157
153,436,502,485
154,232,276,241
155,157,166,169
156,60,60,64
157,29,27,27
158,48,60,48
159,222,223,233
160,218,224,227
161,167,180,176
162,30,30,33
163,180,198,199
164,69,75,73
165,386,371,363
166,145,133,154
167,116,112,118
168,174,186,182
169,248,247,269
170,171,173,163
171,161,161,156
172,90,83,97
173,29,26,30
174,56,55,55
175,94,96,99
176,17,18,17
177,743,737,794
178,341,309,339
179,307,282,303
180,397,409,412
181,999,1020,1018
182,902,835,896
183,1141,1109,1146
184,355,315,345
185,792,823,841
186,312,304,339
187,1350,1356,1374
188,926,864,944
189,628,646,680
190,1082,1085,1057
191,937,950,935
192,1137,1163,1178
193,1116,1115,1118
194,427,439,456
195,295,277,297
196,348,326,337
197,352,335,359
198,183,157,179
199,534,644,561
200,273,304,285
201,280,291,275
202,95,103,103
203,1241,1441,1302
204,1291,1521,1347
205,2042,2074,2023
206,391,400,372
207,1121,1099,1151
208,442,543,531
209,2342,2509,2299
210,1021,1207,1087
211,996,1070,1054
212,1905,1984,1941
213,1301,1457,1334
214,914,1058,1042
215,1047,1208,1112
216,621,686,730
217,241,241,233
218,352,354,351
219,483,484,512
220,134,149,131
221,65,71,71
222,156,203,182
223,143,163,141
224,131,181,140
225,832,839,741
226,322,401,334
227,934,874,907
228,296,368,312
229,746,790,748
230,274,374,332
231,398,485,430
232,337,406,358
233,628,548,554
234,1075,1039,1018
235,646,699,727
236,500,545,483
237,427,538,454
238,241,296,261
239,93,107,95
240,214,262,233
241,590,523,564
242,76,84,71
243,57,60,56
244,367,386,367
245,290,322,279
246,57,55,51
247,830,777,763
248,431,503,471
249,1089,1094,1064
250,676,680,658
251,669,684,714
252,362,453,421
253,489,547,469
254,414,463,423
255,1228,1274,1208
256,1208,1230,1237
257,471,503,481
258,432,521,445
259,583,669,618
260,281,312,288
261,264,266,250
262,277,292,277
263,738,677,699
264,187,192,169
265,68,77,71
266,624,709,576
267,411,462,366
268,57,64,61
269,1270,1424,1143
270,858,947,725
271,1689,1834,1493
272,560,654,522
273,711,744,640
274,440,562,395
275,923,1037,795
276,553,628,514
277,1483,1702,1325
278,1546,1713,1406
279,653,743,593
280,807,905,677
281,605,715,556
282,318,366,278
283,225,277,198
284,291,326,262
285,601,662,542
286,425,494,401
287,204,255,231
288,697,744,695
289,572,617,594
290,162,187,154
291,1655,1954,1665
292,1284,1568,1465
293,2283,2612,2490
294,560,649,599
295,1257,1320,1251
296,497,591,532
297,1946,2206,2046
298,840,1011,904
299,1752,1977,1843
300,2812,3189,3064
301,1147,1364,1282
302,1205,1434,1354
303,1406,1661,1603
304,423,522,483
305,616,702,659
306,551,619,550
307,574,661,591
308,494,551,470
309,558,464,537
310,354,343,344
311,298,311,315
312,664,600,610
313,705,716,661
314,692,697,693
315,1163,1120,1102
316,433,473,463
317,345,355,358
318,123,143,146
319,1339,1308,1247
320,310,269,284
321,1244,1254,1236
322,868,797,798
323,562,557,548
324,311,307,321
325,394,422,420
326,211,201,208
327,122,135,129
