id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,295,305,297
2,375,349,359
3,184,188,193
4,310,295,309
5,411,426,407
6,209,219,211
7,534,531,521
8,279,267,275
9,3032,2946,2994
10,443,403,422
11,819,805,827
12,203,202,198
13,388,384,387
14,404,390,404
15,678,696,689
16,473,465,435
17,377,365,355
18,331,312,334
19,668,650,644
20,130,116,124
21,367,346,358
22,255,242,237
23,435,446,474
24,450,474,462
25,275,292,326
26,301,330,325
27,690,753,809
28,492,491,496
29,1251,1246,1269
30,460,458,494
31,8075,7841,8483
32,1109,1072,1110
33,1990,1958,2100
34,544,511,558
35,1010,993,971
36,1065,1106,1093
37,1778,1740,1759
38,836,879,864
39,787,757,793
40,1363,1391,1453
41,1524,1533,1657
42,267,274,300
43,487,459,501
44,770,767,783
45,160,169,167
46,323,340,329
47,238,259,250
48,363,367,377
49,403,444,426
50,169,165,160
51,407,441,429
52,178,184,177
53,1960,1858,1869
54,214,214,211
55,492,529,508
56,146,155,148
57,409,438,436
58,378,417,410
59,456,483,459
60,294,293,297
61,298,295,294
62,127,134,138
63,505,523,528
64,176,177,170
65,275,278,284
66,197,198,187
67,124,132,138
68,273,272,265
69,124,124,117
70,98,97,89
71,366,351,369
72,247,267,262
73,358,345,330
74,152,150,144
75,3206,3179,3332
76,379,386,392
77,946,882,916
78,344,310,318
79,379,384,355
80,533,573,560
81,1108,1154,1152
82,478,486,507
83,476,503,495
84,484,471,494
85,385,355,365
86,137,133,128
87,243,247,230
88,166,154,154
89,191,202,208
90,2264,2508,2483
91,516,527,533
92,96,104,97
93,1235,1300,1313
94,1412,1467,1526
95,2805,2763,2743
96,1317,1436,1433
97,1732,1662,1764
98,1463,1571,1517
99,1933,1983,1948
100,707,710,751
101,2785,2878,2766
102,3241,3241,3063
103,1306,1269,1350
104,1150,1199,1134
105,1306,1326,1332
106,406,432,457
107,875,963,987
108,239,235,222
109,1358,1507,1585
110,505,504,530
111,289,335,289
112,483,481,446
113,569,570,546
114,96,89,81
115,834,911,883
116,1248,1244,1206
117,1881,1827,1717
118,555,542,496
119,6186,5822,5474
120,682,692,635
121,1558,1559,1517
122,822,864,864
123,2019,1969,1945
124,2404,2371,2201
125,1111,996,992
126,1216,1328,1304
127,1529,1489,1496
128,366,368,325
129,326,346,301
130,517,503,468
131,512,548,496
132,465,455,402
133,1215,1321,1257
134,164,178,168
135,184,220,187
136,1348,1370,1291
137,400,451,430
138,429,484,442
139,1364,1472,1269
140,387,476,396
141,1299,1321,1307
142,149,165,150
143,1375,1340,1291
144,216,254,223
145,917,1060,931
146,1012,1174,988
147,1073,1121,1041
148,301,333,337
149,263,306,279
150,240,279,240
151,401,435,403
152,160,168,155
153,395,434,417
154,241,287,235
155,240,226,253
156,82,73,74
157,43,40,41
158,51,54,57
159,233,249,233
160,277,282,286
161,236,230,232
162,47,44,48
163,239,252,247
164,92,98,98
165,489,499,493
166,190,160,173
167,165,166,164
168,220,224,218
169,355,366,328
170,214,199,217
171,204,198,201
172,110,114,111
173,51,49,54
174,71,60,63
175,104,106,103
176,28,25,26
177,937,938,911
178,336,345,357
179,332,330,348
180,401,403,403
181,1001,1078,1072
182,967,949,871
183,1255,1251,1236
184,466,411,439
185,1039,1074,1011
186,343,333,363
187,1643,1653,1584
188,975,952,887
189,773,779,759
190,1199,1228,1161
191,1102,1127,1069
192,1242,1332,1208
193,1285,1298,1208
194,515,513,500
195,345,351,314
196,368,360,356
197,378,372,375
198,162,144,157
199,684,736,778
200,358,377,388
201,369,357,405
202,70,75,70
203,1246,1264,1355
204,1770,1747,1897
205,2870,2634,2930
206,599,571,621
207,1312,1164,1335
208,735,773,770
209,3245,3076,3345
210,1290,1324,1347
211,1455,1320,1458
212,2343,2269,2483
213,1813,1767,1925
214,1104,1115,1182
215,1371,1365,1420
216,886,837,853
217,368,355,396
218,385,379,405
219,543,576,610
220,193,189,212
221,113,115,119
222,382,409,357
223,294,303,281
224,269,264,297
225,935,1115,1007
226,807,862,819
227,1722,1787,1724
228,666,648,646
229,1204,1104,1156
230,767,735,738
231,967,984,953
232,823,896,863
233,1220,1173,1143
234,2097,2227,2174
235,1616,1605,1553
236,947,1091,964
237,1060,1131,1097
238,764,727,745
239,165,168,169
240,541,549,565
241,966,1000,1042
242,121,119,113
243,57,64,65
244,382,443,404
245,327,325,317
246,57,58,56
247,722,793,748
248,527,550,538
249,1177,1152,1167
250,810,824,788
251,852,791,803
252,472,484,471
253,467,514,500
254,454,475,463
255,1294,1306,1279
256,1303,1306,1312
257,519,510,495
258,526,556,516
259,661,688,650
260,302,293,305
261,294,293,310
262,328,353,320
263,796,812,835
264,190,187,174
265,83,105,82
266,945,1014,886
267,627,612,590
268,60,62,63
269,1348,1592,1381
270,1281,1280,1271
271,2072,2129,2004
272,853,861,772
273,990,1007,1019
274,782,783,796
275,1240,1342,1202
276,906,939,884
277,1906,1910,1964
278,2161,2252,2154
279,1041,979,1037
280,1133,1164,1094
281,961,989,970
282,496,486,494
283,361,369,353
284,420,413,403
285,820,888,829
286,625,624,588
287,303,336,315
288,1025,1141,991
289,801,842,797
290,215,225,205
291,1819,1981,1852
292,1764,1876,1646
293,3360,3273,3113
294,812,817,769
295,1872,1853,1791
296,778,778,713
297,2555,2594,2293
298,1154,1188,1084
299,2142,2098,2023
300,3915,3964,3760
301,1878,1910,1650
302,1569,1665,1526
303,1875,1801,1655
304,692,712,666
305,868,885,825
306,781,786,713
307,814,886,841
308,699,713,651
309,668,696,795
310,547,516,541
311,566,564,598
312,811,807,872
313,779,778,802
314,939,884,993
315,1312,1341,1349
316,856,845,937
317,492,526,549
318,233,251,264
319,1586,1643,1679
320,419,416,437
321,1637,1550,1625
322,1050,1109,1115
323,712,694,792
324,404,397,423
325,576,566,595
326,270,287,301
327,201,200,210
328,485,492,514
329,603,582,653
330,96,90,98
331,70,77,79
332,1197,1122,1171
333,868,879,830
334,193,198,193
335,2019,2159,2192
336,385,387,372
337,2520,2521,2575
338,939,981,930
339,1605,1604,1675
340,438,470,472
341,624,643,655
342,355,373,382
343,2602,2597,2674
344,1701,1735,1727
345,610,623,647
346,475,470,465
347,1222,1228,1274
348,418,463,441
349,944,1019,1027
350,226,221,207
351,654,709,761
352,1280,1265,1311
353,1304,1366,1518
354,962,1064,1063
355,555,624,583
356,276,265,263
357,1578,1821,1749
358,2052,2190,2164
359,3313,3281,3438
360,1232,1240,1313
361,1199,1134,1314
362,550,552,553
363,3453,3393,3666
364,1319,1357,1454
365,2687,2808,2780
366,3761,3863,3807
367,1478,1505,1623
368,1202,1275,1294
369,1562,1647,1657
370,883,825,851
371,516,483,481
372,848,875,801
373,1065,1177,1274
374,287,283,286
375,273,305,322
376,592,626,578
377,656,675,653
378,90,85,90
379,1256,1365,1338
380,932,964,967
381,3547,3302,3587
382,1664,1656,1704
383,528,504,507
384,266,302,274
385,1181,1239,1193
386,500,552,524
387,3362,3205,3289
388,2318,2283,2322
389,653,647,651
390,267,274,255
391,518,556,557
392,328,305,305
393,677,686,681
394,284,298,295
395,787,853,913
396,623,598,621
397,319,322,307
398,505,496,491
399,548,586,571
400,886,962,937
401,1037,1198,1106
402,803,803,758
403,2095,2071,1969
404,572,577,573
405,973,1031,904
406,272,278,262
407,1253,1291,1142
408,407,432,406
409,1950,2030,1968
410,1838,1877,1726
411,800,830,767
412,700,711,696
413,582,576,553
414,594,584,616
415,895,918,870
416,393,375,392
417,609,632,631
418,956,1015,980
419,419,377,429
420,332,296,326
421,115,101,119
422,173,146,157
423,565,556,612
424,538,491,560
425,779,735,759
426,95,85,100
427,604,579,618
428,150,134,164
429,951,917,951
430,414,348,412
431,473,443,499
432,507,456,507
433,999,896,974
434,437,397,449
435,542,468,523
436,290,263,289
437,169,137,154
438,198,174,173
439,171,159,168
440,125,107,111
441,402,407,450
442,461,502,495
443,470,472,480
444,330,334,360
445,1536,1704,1761
446,1096,1125,1111
447,1985,1907,2054
448,546,572,595
449,946,859,927
450,335,339,333
451,2166,2008,2267
452,517,558,563
453,2691,2478,2654
454,2379,2245,2460
455,1537,1520,1640
456,763,807,867
457,678,707,719
458,472,526,541
459,668,674,694
460,378,404,406
461,510,568,567
462,517,544,530
463,570,570,586
464,236,235,236
465,227,219,222
466,397,363,402
467,549,581,586
468,532,549,529
469,1449,1406,1528
470,224,207,214
471,516,497,526
472,168,163,160
473,1677,1577,1670
474,316,305,310
475,1315,1226,1369
476,928,885,938
477,1418,1408,1426
478,367,394,380
479,359,372,373
480,282,290,281
481,248,238,235
482,108,94,106
483,320,312,310
484,202,183,191
485,27,22,29
486,44,31,41
487,68,52,66
488,30,21,31
489,140,116,138
490,292,266,307
491,505,454,496
492,212,156,205
493,108,96,118
494,56,43,51
495,163,151,182
496,59,45,57
497,464,406,482
498,253,212,244
499,61,49,58
500,143,122,149
501,139,121,151
502,50,34,45
503,121,105,117
504,61,45,61
505,109,89,105
506,78,67,78
507,625,665,705
508,206,204,196
509,92,92,93
510,614,596,576
511,567,550,609
512,363,379,368
513,562,573,571
514,129,127,138
515,1308,1308,1279
516,169,161,168
517,1466,1490,1585
518,240,241,254
519,396,390,403
520,353,361,363
521,1455,1423,1437
522,354,374,367
523,316,338,330
524,452,439,476
525,251,253,252
526,227,222,227
527,236,235,237
528,81,77,77
529,271,301,263
530,181,178,175
531,97,92,88
532,231,234,201
533,358,399,291
534,244,244,222
535,337,314,295
536,102,99,95
537,452,466,401
538,95,95,89
539,683,754,638
540,148,151,142
541,274,268,253
542,245,233,215
543,594,693,552
544,272,274,246
545,233,238,214
546,260,271,252
547,116,121,110
548,133,125,125
549,150,145,145
550,63,59,58
551,598,771,742
552,258,296,273
553,117,126,126
554,784,792,814
555,557,613,606
556,292,316,311
557,520,583,563
558,160,162,165
559,1130,1226,1156
560,182,183,182
561,1045,1198,1101
562,208,224,217
563,312,350,330
564,335,366,353
565,985,1104,999
566,425,468,482
567,297,322,302
568,414,456,452
569,258,278,272
570,217,244,234
571,239,269,242
572,96,94,93
573,118,129,137
574,38,42,41
575,23,22,23
576,84,92,103
577,98,108,103
578,66,73,75
579,153,172,164
580,22,25,24
581,144,159,153
582,28,29,32
583,356,370,376
584,35,38,37
585,90,98,97
586,80,88,84
587,374,405,384
588,75,77,82
589,60,63,67
590,40,47,47
591,41,52,49
592,29,30,33
593,44,53,54
594,20,18,20
595,729,867,906
596,299,361,341
597,206,246,229
598,736,775,800
599,715,731,778
600,611,692,662
601,784,825,873
602,187,220,214
603,1178,1209,1281
604,206,211,202
605,1759,1867,1786
606,374,424,432
607,657,676,736
608,624,660,683
609,2056,2181,2112
610,615,669,688
611,630,666,654
612,423,449,463
613,531,582,597
614,217,265,245
615,469,493,532
616,185,200,200
617,290,303,328
618,143,132,131
619,116,114,114
620,190,200,199
621,308,292,314
622,227,225,220
623,380,358,388
624,107,103,99
625,502,490,558
626,101,99,107
627,712,680,712
628,177,177,178
629,239,237,256
630,238,229,244
631,842,809,809
632,310,312,312
633,221,218,221
634,198,193,200
635,133,127,123
636,95,93,88
637,136,127,134
638,63,57,63
639,542,565,553
640,303,287,282
641,175,174,187
642,775,767,770
643,649,602,621
644,366,380,385
645,573,540,562
646,136,127,130
647,1397,1324,1388
648,196,180,189
649,1221,1136,1172
650,310,287,300
651,468,432,453
652,418,408,396
653,1283,1271,1240
654,513,495,497
655,445,441,436
656,311,311,307
657,394,374,380
658,214,206,205
659,318,297,300
660,109,105,109
661,557,543,612
662,248,253,250
663,64,67,66
664,551,502,551
665,590,572,611
666,422,436,446
667,561,542,608
668,80,84,78
669,1423,1319,1422
670,195,180,192
671,1177,1262,1241
672,215,220,218
673,415,433,462
674,430,418,447
675,1712,1647,1617
676,342,346,346
677,422,435,446
678,376,371,421
679,216,214,222
680,217,210,214
681,187,199,198
682,66,58,68
683,200,230,208
684,656,645,639
685,179,170,165
686,88,86,80
687,426,479,483
688,1199,1212,1263
689,2239,2064,2259
690,504,512,514
691,3207,3011,3344
692,2042,1971,1918
693,1539,1517,1642
694,508,535,516
695,1339,1195,1330
696,4096,3816,4213
697,758,800,811
698,597,613,615
699,989,946,993
700,342,353,356
701,404,408,406
702,153,149,141
703,633,659,668
704,411,403,406
705,379,336,399
706,192,167,195
707,271,250,266
708,65,59,59
709,443,475,480
710,276,273,281
711,666,643,764
712,181,153,176
713,188,189,199
714,90,86,97
715,692,773,858
716,234,198,233
717,523,457,497
718,423,379,413
719,360,329,360
720,177,160,175
721,336,333,332
722,181,171,187
723,66,56,70
724,96,86,94
725,451,408,410
726,70,60,72
727,295,320,300
728,135,143,140
729,56,54,55
730,116,104,104
731,188,157,179
732,142,150,145
733,274,254,254
734,66,61,63
735,120,118,123
736,37,37,38
737,372,349,379
738,78,77,76
739,198,189,196
740,218,210,205
741,245,242,236
742,90,91,92
743,121,127,123
744,69,70,74
745,41,42,42
746,68,57,60
747,133,137,134
748,27,28,27
749,275,278,277
750,75,83,76
751,104,115,109
752,569,573,564
753,499,538,510
754,279,308,327
755,811,878,845
756,205,216,214
757,1883,2054,1937
758,372,363,361
759,914,954,961
760,338,337,354
761,540,592,577
762,363,389,363
763,764,842,759
764,601,621,629
765,519,534,552
766,701,755,752
767,329,321,329
768,343,361,369
769,183,225,211
770,89,92,91
771,221,222,224
772,368,375,361
773,539,541,536
774,606,561,559
775,790,828,851
776,298,300,295
777,887,864,886
778,349,364,353
779,1933,2017,2115
780,361,376,395
781,706,707,709
782,369,367,354
783,957,944,987
784,757,773,791
785,644,668,677
786,1370,1405,1431
787,661,685,700
788,435,445,438
789,679,681,710
790,489,479,485
791,598,603,617
792,378,373,358
793,84,69,82
794,123,123,120
795,106,90,99
796,47,41,43
797,265,223,259
798,155,166,157
799,235,195,223
800,100,82,93
801,599,479,582
802,162,165,150
803,451,373,421
804,206,209,208
805,213,175,204
806,317,265,280
