id,forecastVolum
1,269
2,309
3,160
4,225
5,385
6,199
7,458
8,208
9,2325
10,329
11,706
12,181
13,334
14,356
15,645
16,390
17,314
18,293
19,601
20,112
21,310
22,239
23,357
24,351
25,254
26,220
27,651
28,453
29,1043
30,357
31,7758
32,757
33,1467
34,416
35,833
36,849
37,1287
38,734
39,606
40,1010
41,1180
42,232
43,396
44,596
45,160
46,304
47,221
48,300
49,404
50,156
51,403
52,170
53,1549
54,205
55,449
56,131
57,394
58,364
59,427
60,250
61,229
62,125
63,444
64,147
65,248
66,218
67,152
68,267
69,147
70,97
71,386
72,249
73,370
74,167
75,3640
76,374
77,883
78,320
79,381
80,505
81,1010
82,510
83,457
84,546
85,428
86,128
87,246
88,197
89,204
90,2859
91,471
92,110
93,1267
94,1488
95,3513
96,1537
97,1586
98,1903
99,1847
100,763
101,3577
102,4553
103,1392
104,1157
105,1271
106,404
107,981
108,251
109,1727
110,496
111,324
112,461
113,507
114,71
115,984
116,1211
117,1769
118,564
119,5765
120,620
121,1484
122,807
123,2121
124,2814
125,1095
126,1194
127,1454
128,361
129,346
130,525
131,559
132,406
133,1068
134,213
135,169
136,1016
137,378
138,376
139,1327
140,311
141,1252
142,143
143,1228
144,224
145,753
146,885
147,959
148,294
149,223
150,243
151,363
152,151
153,340
154,206
155,351
156,90
157,37
158,66
159,258
160,403
161,319
162,59
163,328
164,105
165,825
166,211
167,187
168,326
169,547
170,233
171,219
172,139
173,57
174,82
175,131
176,30
177,790
178,313
179,271
180,323
181,899
182,916
183,1160
184,360
185,1003
186,314
187,1320
188,885
189,691
190,1083
191,966
192,1087
193,1082
194,388
195,306
196,336
197,358
198,151
199,731
200,298
201,275
202,64
203,1163
204,1829
205,3076
206,585
207,1205
208,577
209,3764
210,1304
211,1538
212,3098
213,1889
214,1312
215,1230
216,748
217,349
218,278
219,550
220,132
221,141
222,351
223,270
224,265
225,1084
226,766
227,1766
228,712
229,1461
230,699
231,1049
232,805
233,1213
234,2209
235,2148
236,914
237,1052
238,725
239,229
240,492
241,1341
242,119
243,63
244,422
245,292
246,56
247,842
248,566
249,1181
250,773
251,1074
252,526
253,612
254,551
255,1335
256,1370
257,695
258,526
259,708
260,285
261,385
262,359
263,835
264,252
265,115
266,824
267,495
268,65
269,1348
270,1150
271,1880
272,747
273,1059
274,640
275,1218
276,880
277,1856
278,1993
279,1025
280,1018
281,904
282,429
283,324
284,390
285,710
286,504
287,331
288,1192
289,851
290,238
291,2385
292,2167
293,4629
294,897
295,2761
296,810
297,3817
298,1260
299,2713
300,4932
301,2267
302,1815
303,2105
304,761
305,982
306,797
307,1020
308,632
309,572
310,416
311,456
312,665
313,722
314,848
315,1292
316,676
317,535
318,180
319,1424
320,368
321,1394
322,1176
323,714
324,346
325,477
326,269
327,197
328,355
329,506
330,82
331,37
332,973
333,705
334,219
335,1936
336,402
337,3213
338,865
339,1543
340,409
341,612
342,370
343,2587
344,1689
345,586
346,432
347,992
348,423
349,945
350,196
351,640
352,1028
353,1237
354,949
355,493
356,314
357,1679
358,1951
359,3715
360,1050
361,1256
362,492
363,3630
364,1335
365,2542
366,4399
367,1585
368,1263
369,1543
370,863
371,510
372,729
373,1081
374,253
375,295
376,739
377,701
378,93
379,1356
380,1130
381,4105
382,1345
383,581
384,306
385,1268
386,455
387,2806
388,2073
389,681
390,274
391,496
392,330
393,789
394,281
395,838
396,585
397,304
398,452
399,480
400,836
401,1001
402,671
403,1657
404,470
405,1014
406,283
407,1269
408,399
409,1548
410,1585
411,805
412,577
413,509
414,456
415,721
416,367
417,532
418,806
419,315
420,233
421,65
422,91
423,372
424,386
425,547
426,53
427,439
428,120
429,646
430,295
431,312
432,331
433,672
434,291
435,361
436,206
437,140
438,146
439,114
440,88
441,413
442,502
443,483
444,279
445,1608
446,1217
447,1754
448,489
449,972
450,318
451,2375
452,540
453,2473
454,2391
455,1551
456,734
457,725
458,533
459,664
460,332
461,582
462,496
463,427
464,199
465,195
466,302
467,465
468,446
469,1156
470,174
471,426
472,139
473,1322
474,229
475,1013
476,760
477,1119
478,267
479,267
480,229
481,212
482,66
483,245
484,178
485,25
486,42
487,48
488,20
489,150
490,335
491,555
492,213
493,84
494,80
495,205
496,72
497,497
498,321
499,72
500,145
501,144
502,31
503,142
504,62
505,105
506,77
507,586
508,229
509,96
