id,forecastVolum
1,300
2,359
3,189
4,304
5,415
6,214
7,528
8,273
9,2984
10,419
11,817
12,201
13,386
14,399
15,689
16,454
17,363
18,325
19,651
20,122
21,355
22,243
23,455
24,464
25,302
26,322
27,763
28,493
29,1256
30,473
31,8153
32,1095
33,2023
34,537
35,988
36,1092
37,1756
38,864
39,778
40,1411
41,1582
42,283
43,482
44,774
45,166
46,332
47,251
48,370
49,428
50,164
51,429
52,180
53,1884
54,213
55,513
56,150
57,431
58,406
59,467
60,295
61,295
62,134
63,521
64,174
65,280
66,193
67,133
68,269
69,121
70,94
71,362
72,261
73,342
74,148
75,3247
76,387
77,909
78,320
79,371
80,559
81,1144
82,493
83,494
84,483
85,365
86,132
87,239
88,157
89,202
90,2447
91,527
92,99
93,1292
94,1480
95,2764
96,1410
97,1719
98,1526
99,1958
100,726
101,2813
102,3168
103,1310
104,1162
105,1324
106,437
107,954
108,231
109,1508
110,515
111,306
112,467
113,560
114,87
115,883
116,1229
117,1793
118,526
119,5756
120,667
121,1542
122,855
123,1970
124,2308
125,1019
126,1295
127,1500
128,350
129,323
130,492
131,519
132,435
133,1272
134,171
135,199
136,1333
137,432
138,455
139,1366
140,425
141,1311
142,155
143,1327
144,233
145,977
146,1064
147,1078
148,328
149,286
150,255
151,415
152,161
153,419
154,256
155,240
156,75
157,41
158,55
159,239
160,283
161,232
162,46
163,247
164,97
165,494
166,172
167,165
168,221
169,348
170,210
171,200
172,112
173,51
174,64
175,104
176,26
177,927
178,348
179,338
180,403
181,1059
182,921
183,1246
184,434
185,1041
186,347
187,1623
188,930
189,770
190,1194
191,1098
192,1262
193,1258
194,508
195,335
196,360
197,374
198,153
199,742
200,378
201,379
202,72
203,1298
204,1813
205,2805
206,597
207,1265
208,764
209,3222
210,1326
211,1405
212,2372
213,1841
214,1140
215,1389
216,854
217,375
218,391
219,583
220,199
221,116
222,382
223,292
224,279
225,1033
226,833
227,1748
228,651
229,1146
230,743
231,968
232,867
233,1171
234,2178
235,1586
236,1009
237,1102
238,742
239,168
240,554
241,1010
242,117
243,63
244,414
245,322
246,57
247,760
248,540
249,1163
250,806
251,809
252,476
253,498
254,466
255,1292
256,1308
257,506
258,533
259,667
260,300
261,300
262,334
263,818
264,182
265,91
266,947
267,606
268,62
269,1454
270,1277
271,2066
272,823
273,1008
274,788
275,1263
276,910
277,1931
278,2193
279,1016
280,1129
281,975
282,491
283,361
284,410
285,850
286,609
287,320
288,1055
289,815
290,215
291,1894
292,1758
293,3226
294,796
295,1832
296,751
297,2462
298,1138
299,2076
300,3870
301,1797
302,1588
303,1757
304,689
305,857
306,755
307,852
308,685
309,731
310,533
311,578
312,834
313,788
314,940
315,1338
316,885
317,528
318,253
319,1646
320,425
321,1599
322,1099
323,738
324,409
325,580
326,289
327,204
328,500
329,616
330,95
331,76
332,1158
333,857
334,195
335,2143
336,380
337,2543
338,951
339,1633
340,464
341,644
342,373
343,2630
344,1725
345,630
346,469
347,1246
348,445
349,1007
350,216
351,719
352,1287
353,1415
354,1042
355,593
356,266
357,1740
358,2150
359,3352
360,1268
361,1221
362,552
363,3518
364,1389
365,2771
366,3819
367,1548
368,1267
369,1633
370,848
371,489
372,839
373,1193
374,285
375,305
376,599
377,662
378,88
379,1331
380,959
381,3470
382,1677
383,510
384,283
385,1208
386,530
387,3272
388,2306
389,650
390,265
391,548
392,310
393,682
394,294
395,864
396,613
397,315
398,496
399,572
400,936
401,1126
402,785
403,2034
404,574
405,967
406,270
407,1222
408,416
409,1988
410,1807
411,798
412,703
413,568
414,599
415,893
416,386
417,627
418,988
419,407
420,316
421,111
422,156
423,581
424,529
425,754
426,93
427,600
428,150
429,938
430,388
431,472
432,488
433,950
434,427
435,506
436,279
437,151
438,179
439,165
440,112
441,424
442,491
443,475
444,344
445,1692
446,1113
447,1984
448,576
449,905
450,336
451,2147
452,551
453,2595
454,2361
455,1573
456,822
457,706
458,521
459,681
460,399
461,555
462,533
463,577
464,236
465,222
466,386
467,576
468,537
469,1465
470,213
471,513
472,163
473,1636
474,309
475,1303
476,916
477,1417
478,383
479,370
480,285
481,239
482,102
483,313
484,190
485,26
486,38
487,61
488,27
489,130
490,288
491,482
492,188
493,108
494,49
495,166
496,53
497,449
498,234
499,55
500,137
501,137
502,42
503,113
504,55
505,100
506,74
507,673
508,201
509,92
510,592
511,578
512,371
513,570
514,132
515,1296
516,166
517,1524
518,246
519,397
520,360
521,1435
522,367
523,330
524,457
525,252
526,225
527,236
528,78
529,279
530,177
531,91
532,220
533,346
534,235
535,311
536,98
537,436
538,93
539,692
540,147
541,263
542,228
543,614
544,262
545,227
546,261
547,115
548,127
549,146
550,59
551,723
552,279
553,124
554,799
555,598
556,309
557,562
558,163
559,1177
560,182
561,1126
562,218
563,334
564,354
565,1036
566,465
567,309
568,446
569,271
570,234
571,252
572,94
573,130
574,41
575,23
576,95
577,104
578,72
579,165
580,24
581,153
582,30
583,370
584,37
585,96
586,85
587,390
588,79
589,64
590,46
591,48
592,31
593,52
594,19
595,854
596,340
597,231
598,777
599,747
600,663
601,836
602,211
603,1232
604,206
605,1811
606,417
607,697
608,662
609,2126
610,665
611,654
612,449
613,577
614,247
615,504
616,197
617,311
618,134
619,114
620,197
621,304
622,223
623,375
624,102
625,520
626,103
627,700
628,177
629,245
630,237
631,816
632,312
633,220
634,197
635,127
636,91
637,132
638,61
639,555
640,288
641,180
642,770
643,620
644,379
645,556
646,130
647,1366
648,187
649,1169
650,297
651,448
652,405
653,1261
654,500
655,440
656,309
657,381
658,207
659,303
660,107
661,574
662,251
663,66
664,532
665,592
666,437
667,573
668,81
669,1383
670,188
671,1236
672,218
673,441
674,432
675,1648
676,345
677,437
678,393
679,218
680,213
681,196
682,64
683,215
684,645
685,170
686,84
687,470
688,1230
689,2181
690,511
691,3189
692,1964
693,1573
694,522
695,1281
696,4038
697,796
698,610
699,974
700,352
701,406
702,147
703,657
704,406
705,371
706,184
707,261
708,60
709,470
710,277
711,697
712,168
713,193
714,91
715,791
716,220
717,487
718,402
719,348
720,170
721,333
722,180
723,64
724,91
725,418
726,67
727,307
728,140
729,55
730,107
731,173
732,146
733,258
734,63
735,120
736,37
737,366
738,77
739,194
740,210
741,240
742,91
743,124
744,71
745,42
746,61
747,135
748,27
749,277
750,78
751,110
752,568
753,518
754,310
755,850
756,213
757,1970
758,364
759,948
760,344
761,575
762,373
763,792
764,620
765,538
766,742
767,326
768,360
769,210
770,91
771,223
772,368
773,539
774,570
775,829
776,298
777,878
778,356
779,2040
780,381
781,708
782,362
783,964
784,777
785,667
786,1408
787,686
788,440
789,692
790,484
791,608
792,368
793,77
794,122
795,97
796,43
797,247
798,160
799,215
800,90
801,546
802,158
803,409
804,208
805,195
806,282
807,331
808,191
809,241
810,158
811,109
812,109
813,93
814,65
815,329
816,287
