id,forecastVolum
1,215
2,260
3,124
4,201
5,305
6,142
7,352
8,146
9,2176
10,273
11,545
12,143
13,241
14,271
15,547
16,316
17,254
18,224
19,509
20,96
21,232
22,213
23,308
24,292
25,220
26,207
27,609
28,418
29,920
30,320
31,6178
32,665
33,1514
34,344
35,742
36,721
37,1291
38,736
39,522
40,916
41,1162
42,211
43,361
44,544
45,121
46,242
47,152
48,246
49,310
50,111
51,296
52,124
53,1379
54,156
55,348
56,92
57,287
58,239
59,317
60,203
61,170
62,94
63,383
64,119
65,205
66,205
67,145
68,249
69,145
70,99
71,359
72,213
73,352
74,158
75,3177
76,324
77,842
78,254
79,368
80,467
81,1040
82,479
83,435
84,474
85,427
86,131
87,216
88,183
89,177
90,2850
91,455
92,76
93,1354
94,1544
95,2881
96,1617
97,1359
98,1928
99,1894
100,839
101,3814
102,4444
103,1289
104,1259
105,1491
106,397
107,908
108,222
109,1699
110,463
111,308
112,458
113,497
114,64
115,1033
116,1171
117,1705
118,565
119,5133
120,613
121,1607
122,822
123,2181
124,2445
125,1010
126,1229
127,1373
128,318
129,315
130,567
131,542
132,389
133,967
134,206
135,145
136,980
137,273
138,277
139,1032
140,235
141,993
142,122
143,1016
144,179
145,597
146,686
147,766
148,243
149,180
150,179
151,273
152,145
153,255
154,168
155,361
156,92
157,40
158,72
159,226
160,415
161,285
162,66
163,288
164,107
165,946
166,224
167,188
168,291
169,570
170,250
171,233
172,134
173,62
174,94
175,155
176,30
177,815
178,274
179,243
180,342
181,836
182,884
183,1083
184,373
185,927
186,266
187,1352
188,833
189,732
190,1070
191,901
192,1018
193,1003
194,378
195,273
196,352
197,294
198,141
199,837
200,344
201,321
202,60
203,1353
204,1913
205,2631
206,636
207,1314
208,638
209,3293
210,1578
211,1709
212,2624
213,1980
214,1393
215,1316
216,883
217,386
218,459
219,579
220,141
221,122
222,303
223,225
224,135
225,1063
226,742
227,1763
228,672
229,1428
230,648
231,1015
232,841
233,1359
234,2154
235,1907
236,881
237,997
238,569
239,231
240,525
241,1409
242,112
243,55
244,429
245,295
246,44
247,860
248,618
249,1352
250,852
251,1152
252,548
253,596
254,580
255,1612
256,1471
257,689
258,528
259,722
260,273
261,470
262,354
263,963
264,276
265,86
266,864
267,509
268,41
269,1481
270,1113
271,1954
272,746
273,959
274,610
275,1251
276,904
277,2017
278,2074
279,929
280,1067
281,946
282,427
283,287
284,420
285,727
286,443
287,286
288,1322
289,939
290,183
291,2284
292,2084
293,3170
294,926
295,2242
296,884
297,2752
298,1353
299,2583
300,4950
301,2090
302,1753
303,1993
304,786
305,1048
306,969
307,1109
308,586
309,481
310,371
311,386
312,601
313,609
314,834
315,1176
316,569
317,383
318,122
