id,forecastVolum
1,253
2,304
3,155
4,253
5,367
6,176
7,423
8,187
9,2051
10,330
11,633
12,174
13,307
14,328
15,595
16,372
17,301
18,273
19,556
20,111
21,295
22,244
23,340
24,341
25,247
26,252
27,653
28,436
29,992
30,347
31,6202
32,730
33,1503
34,423
35,778
36,773
37,1340
38,737
39,596
40,1019
41,1219
42,252
43,402
44,576
45,143
46,294
47,203
48,315
49,386
50,137
51,370
52,153
53,1413
54,190
55,424
56,123
57,361
58,317
59,390
60,249
61,220
62,118
63,433
64,152
65,254
66,230
67,153
68,260
69,149
70,110
71,391
72,242
73,383
74,169
75,3111
76,360
77,860
78,295
79,396
80,503
81,1046
82,498
83,473
84,501
85,421
86,141
87,234
88,192
89,198
90,2866
91,490
92,92
93,1295
94,1530
95,2932
96,1560
97,1398
98,1877
99,1792
100,785
101,3417
102,3847
103,1297
104,1228
105,1409
106,431
107,957
108,252
109,1575
110,483
111,324
112,484
113,516
114,82
115,970
116,1159
117,1593
118,567
119,5079
120,636
121,1454
122,794
123,1982
124,2375
125,1009
126,1152
127,1304
128,362
129,348
130,574
131,562
132,416
133,1011
134,212
135,160
136,1036
137,344
138,348
139,1118
140,286
141,1055
142,133
143,1090
144,207
145,688
146,762
147,845
148,277
149,208
150,220
151,322
152,144
153,330
154,204
155,333
156,88
157,38
158,70
159,247
160,383
161,295
162,57
163,300
164,100
165,830
166,207
167,177
168,282
169,515
170,232
171,217
172,132
173,53
174,86
175,139
176,31
177,798
178,317
179,282
180,381
181,811
182,866
183,1037
184,377
185,878
186,297
187,1291
188,829
189,701
190,1038
191,920
192,1002
193,1012
194,410
195,293
196,369
197,352
198,157
199,768
200,335
201,320
202,69
203,1229
204,1792
205,2460
206,597
207,1156
208,615
209,3065
210,1351
211,1527
212,2392
213,1861
214,1223
215,1195
216,816
217,359
218,396
219,583
220,145
221,126
222,329
223,234
224,212
225,1049
226,724
227,1672
228,631
229,1307
230,639
231,1001
232,757
233,1267
234,2187
235,1925
236,886
237,935
238,608
239,230
240,515
241,1259
242,119
243,63
244,443
245,309
246,59
247,836
248,607
249,1257
250,797
251,1058
252,544
253,618
254,566
255,1478
256,1424
257,683
258,557
259,726
260,299
261,414
262,370
263,912
264,265
265,99
266,803
267,497
268,55
269,1342
270,1025
271,1745
272,707
273,930
274,589
275,1168
276,830
277,1762
278,1822
279,865
280,968
281,887
282,431
283,299
284,411
285,712
286,468
287,321
288,1224
289,878
290,227
291,2214
292,2018
293,3274
294,860
295,2200
296,831
297,2786
298,1275
299,2419
300,4293
301,2015
302,1675
303,2029
304,750
305,988
306,882
307,1044
308,622
309,532
310,407
311,436
312,670
313,670
314,815
315,1161
316,610
317,462
318,151
319,1345
320,343
321,1289
322,1055
323,642
324,324
325,450
326,248
327,172
328,377
329,511
330,74
331,43
332,1033
333,683
334,227
335,1902
336,383
337,2359
338,891
339,1472
340,400
341,634
342,355
343,2451
344,1627
345,569
346,429
347,1041
348,433
349,937
350,204
351,632
352,1094
353,1498
354,1002
355,514
356,332
357,1767
358,1876
359,2649
360,1062
361,1089
362,502
363,2877
364,1268
365,2805
366,3556
