id,forecastVolum
1,247
2,292
3,146
4,235
5,359
6,168
7,406
8,177
9,2071
10,314
11,617
12,165
13,292
14,308
15,600
16,366
17,289
18,260
19,559
20,108
21,279
22,243
23,335
24,316
25,239
26,228
27,640
28,443
29,970
30,336
31,5666
32,708
33,1481
34,402
35,760
36,748
37,1304
38,743
39,583
40,989
41,1200
42,238
43,392
44,578
45,138
46,278
47,189
48,292
49,364
50,127
51,346
52,145
53,1402
54,182
55,402
56,114
57,337
58,293
59,368
60,234
61,205
62,110
63,428
64,142
65,239
66,224
67,158
68,265
69,150
70,103
71,398
72,238
73,386
74,171
75,3078
76,366
77,862
78,287
79,398
80,500
81,1040
82,508
83,469
84,507
85,436
86,139
87,229
88,193
89,197
90,2705
91,487
92,84
93,1311
94,1508
95,3135
96,1524
97,1397
98,1882
99,1786
100,795
101,3477
102,3850
103,1323
104,1231
105,1411
106,425
107,967
108,253
109,1568
110,490
111,333
112,473
113,516
114,71
115,967
116,1132
117,1555
118,551
119,4730
120,630
121,1413
122,786
123,1944
124,2290
125,997
126,1157
127,1291
128,354
129,344
130,582
131,564
132,412
133,994
134,209
135,150
136,1002
137,323
138,328
139,1079
140,275
141,1032
142,124
143,1050
144,195
145,653
146,723
147,820
148,263
149,195
150,204
151,311
152,138
153,306
154,195
155,382
156,91
157,39
158,75
159,251
160,433
161,308
162,61
163,333
164,104
165,916
166,213
167,188
168,320
169,569
170,249
171,233
172,139
173,56
174,89
175,149
176,33
177,833
178,313
179,278
180,374
181,855
182,898
183,1084
184,389
185,930
186,297
187,1309
188,853
189,721
190,1056
191,935
192,1016
193,1036
194,411
195,298
196,391
197,354
198,153
199,783
200,339
201,316
202,61
203,1210
204,1717
205,2476
206,601
207,1182
208,635
209,3078
210,1378
211,1514
212,2410
213,1838
214,1260
215,1217
216,827
217,369
218,430
219,575
220,144
221,135
222,334
223,238
224,183
225,1056
226,745
227,1656
228,685
229,1338
230,680
231,1035
232,795
233,1296
234,2151
235,1919
236,910
237,980
238,637
239,243
240,538
241,1283
242,119
243,63
244,446
245,303
246,52
247,844
248,619
249,1284
250,802
251,1096
252,555
253,622
254,584
255,1497
256,1429
257,709
258,571
259,761
260,296
261,448
262,386
263,920
264,278
265,97
266,800
267,491
268,48
269,1332
270,1034
271,1720
272,717
273,943
274,584
275,1183
276,834
277,1720
278,1777
279,892
280,969
281,893
282,422
283,292
284,414
285,715
286,453
287,324
288,1237
289,910
290,222
291,2172
292,2002
293,3384
294,902
295,2317
296,851
297,2838
298,1280
299,2456
300,4219
301,2103
302,1664
303,2005
304,787
305,1016
306,927
307,1086
308,629
309,523
310,392
311,421
312,662
313,666
314,830
315,1171
316,614
317,451
318,141
319,1364
320,335
321,1336
322,1061
323,651
324,312
325,447
326,241
327,162
328,362
329,494
330,70
331,41
332,1037
333,709
334,228
335,1911
336,399
337,2415
338,918
339,1489
340,398
341,638
342,365
343,2391
344,1626
345,579
346,438
347,1061
348,440
349,972
350,206
351,648
352,1114
353,1528
354,1027
355,543
356,353
357,1814
358,1860
359,2703
360,1093
361,1137
362,526
363,2886
364,1305
365,2793
366,3563
367,1595
368,1194
369,1526
370,925
371,565
372,876
373,1011
374,277
375,285
376,733
377,755
378,89
379,1188
380,1078
381,3107
382,1480
383,514
384,292
385,1277
386,468
387,3052
388,1894
389,649
390,268
391,501
392,325
393,836
394,299
395,879
396,591
397,286
398,402
399,447
400,783
401,935
402,588
403,1509
404,417
405,849
406,247
407,1118
408,336
409,1443
410,1400
411,741
412,528
413,477
414,417
415,609
416,361
417,482
418,722
419,294
420,219
421,71
422,87
423,310
424,370
425,490
426,58
427,390
428,109
429,603
430,259
431,286
432,287
433,607
434,265
435,335
436,184
437,121
438,148
439,117
440,95
441,447
442,508
443,508
444,298
445,1635
446,1091
447,1625
448,506
449,908
450,313
451,2015
452,521
453,2170
454,2014
455,1459
456,759
457,668
458,548
459,647
460,380
461,575
462,553
463,502
464,229
465,204
466,381
467,511
468,481
469,1201
470,181
471,510
472,159
473,1386
474,257
475,1059
476,902
477,1204
478,301
479,306
480,253
481,218
482,102
483,286
484,200
485,25
486,44
487,48
488,22
489,140
490,333
491,567
492,207
493,80
494,79
495,199
496,64
497,523
498,293
499,62
500,154
501,150
502,31
503,129
504,62
505,104
506,78
507,536
508,210
509,78
510,533
511,526
512,306
513,462
514,109
515,1015
516,142
517,1235
518,205
519,325
520,296
521,1150
522,321
523,274
524,375
525,205
526,223
527,201
528,63
529,306
530,159
531,85
532,227
533,346
534,206
535,305
536,88
537,556
538,120
539,679
540,145
541,203
542,205
543,639
544,258
545,205
546,252
547,126
548,139
549,135
550,50
551,509
552,238
553,99
554,592
555,459
556,251
557,428
558,124
559,914
560,139
561,918
562,177
563,259
564,271
565,828
566,345
567,248
568,312
569,205
570,202
571,194
572,68
573,146
574,37
575,19
576,111
577,102
578,95
579,177
580,23
581,151
582,25
583,366
584,28
585,129
586,80
587,374
588,57
589,45
590,31
591,43
592,28
593,44
594,14
595,547
596,196
597,146
598,463
599,542
600,389
601,544
602,142
603,751
604,126
605,1138
606,247
607,422
608,384
609,1242
610,370
611,359
612,261
613,380
614,192
615,303
616,127
617,324
618,144
619,112
620,199
621,292
622,216
623,408
624,108
625,524
626,105
627,727
628,167
629,260
630,231
631,847
632,297
633,233
634,199
635,124
636,101
637,126
638,59
639,444
640,214
641,141
642,660
643,473
644,300
645,528
646,130
647,1099
648,164
649,1013
650,248
651,374
652,351
653,1039
654,412
655,359
656,265
657,332
658,175
659,262
660,122
661,474
662,226
663,63
664,434
665,444
666,344
667,413
668,70
669,1051
670,143
671,1028
672,186
673,341
674,313
675,1323
676,272
677,336
678,294
679,193
680,196
681,196
682,65
683,223
684,635
685,150
686,75
687,432
688,1045
689,1807
690,503
691,2664
692,1831
693,1370
694,476
695,1173
696,3775
697,805
698,530
699,863
700,325
701,476
702,162
703,643
704,397
705,583
706,236
707,361
708,54
709,674
710,388
711,869
712,222
713,192
714,93
715,1107
716,331
717,685
718,621
719,571
720,219
721,426
722,237
723,83
724,131
725,707
726,85
727,372
728,138
729,60
730,79
731,186
732,149
733,283
734,65
735,121
736,34
737,428
738,78
739,201
740,212
741,299
742,85
743,131
744,80
745,40
746,84
747,125
748,28
749,182
750,79
751,86
752,362
753,385
754,214
755,630
756,172
757,1580
758,291
759,731
760,243
761,433
762,293
763,611
764,493
765,388
766,516
767,222
768,284
769,173
770,77
771,186
772,324
773,451
774,494
775,717
776,237
777,691
778,296
779,1567
780,297
781,555
782,289
783,815
784,651
785,575
786,1071
787,538
788,333
789,595
790,447
791,481
792,325
793,91
794,160
795,117
796,46
797,337
798,199
799,292
800,117
801,840
802,191
803,519
804,257
805,278
806,412
807,483
808,217
809,320
810,207
811,166
812,138
813,112
814,88
815,253
816,267
817,418
818,232
819,938
820,570
821,2016
822,954
823,5452
824,1496
825,1794
826,1074
827,1762
828,1607
829,1260
830,1082
831,1342
832,1031
833,1332
834,482
835,374
836,744
837,225
838,370
839,316
840,333
841,423
842,428
843,987
844,436
845,2046
846,307
847,826
848,360
849,833
850,1012
851,766
852,1148
853,559
854,520
855,699
856,197
857,398
858,495
859,152
860,282
861,199
862,123
863,328
864,356
865,544
866,249
867,1500
868,252
869,774
870,287
871,477
872,614
873,708
874,676
875,327
876,382
877,335
878,131
879,220
880,231
881,143
882,13
883,19
884,170
885,34
886,48
887,243
888,81
889,691
890,17
891,279
892,26
893,205
894,131
895,324
896,43
897,29
898,50
899,97
900,14
901,23
902,28
903,192
904,261
905,117
906,135
907,384
908,260
909,580
910,191
911,2377
912,263
913,630
914,271
915,503
916,392
917,734
918,506
919,388
920,483
921,334
922,150
923,155
924,156
925,276
926,112
927,174
928,331
929,323
930,311
931,784
932,312
933,1934
934,124
935,844
936,201
937,706
938,561
939,1124
940,464
941,437
942,380
943,752
944,134
945,198
946,364
947,221
948,54
949,41
950,248
951,206
952,100
953,187
954,37
955,307
956,30
957,193
958,54
959,119
960,106
961,97
962,108
963,106
964,84
965,74
966,97
967,101
968,43
969,117
970,80
971,50
972,9
973,185
974,416
975,419
976,96
977,389
978,51
979,586
980,299
981,282
982,548
983,667
984,252
985,222
986,162
987,33
988,25
989,70
990,22
991,30
992,74
993,48
994,26
995,192
996,246
997,454
998,27
999,149
1000,27
1001,415
1002,176
1003,338
1004,391
1005,406
1006,248
1007,278
1008,131
1009,96
1010,26
1011,153
1012,47
1013,298
1014,108
1015,44
1016,116
1017,655
1018,660
1019,731
1020,125
1021,954
1022,174
1023,1663
1024,445
1025,488
1026,1445
1027,1230
1028,456
1029,460
1030,380
1031,139
1032,278
1033,231
1034,65
1035,41
1036,186
1037,335
1038,24
1039,512
1040,267
1041,1340
1042,828
1043,408
1044,245
1045,375
1046,192
1047,1523
1048,953
1049,499
1050,213
1051,249
1052,229
1053,704
1054,98
1055,342
1056,379
1057,329
1058,285
1059,197
1060,204
1061,596
1062,866
1063,831
1064,206
1065,735
1066,166
1067,1065
1068,592
1069,839
1070,1258
1071,1379
1072,561
1073,481
1074,310
1075,146
1076,244
1077,344
1078,100
1079,153
1080,161
1081,34
1082,41
1083,266
1084,247
1085,447
1086,77
1087,351
1088,120
1089,646
1090,168
1091,457
1092,409
1093,403
1094,191
1095,158
1096,194
1097,62
1098,109
1099,146
1100,36
1123,367
1124,213
1125,42
1126,76
1127,601
1128,614
1129,454
1130,58
1131,1154
1132,219
1133,1127
1134,322
1135,395
1136,560
1137,910
1138,400
1139,373
1140,504
1141,87
1142,314
1143,175
1144,52
1145,264
1146,287
1147,154
1148,318
1149,466
1150,218
1151,522
1152,131
1153,928
1154,152
1155,464
1156,153
1157,446
1158,424
1159,342
1160,263
1161,320
1162,160
1163,193
1164,332
1165,213
1166,199
1167,213
1168,293
1169,156
1170,79
1171,690
1172,1081
1173,989
1174,285
1175,815
1176,415
1177,1195
1178,434
1179,777
1180,1577
1181,548
1182,366
1183,818
1184,408
1185,143
1186,382
1187,730
1188,91
1189,27
1190,67
1191,125
1192,17
1193,129
1194,162
1195,338
1196,77
1197,35
1198,17
1199,97
1200,118
1201,196
1202,330
1203,57
1204,156
1205,468
1206,18
1207,52
1208,86
1209,286
1210,76
1211,93
1212,429
1213,414
1214,92
1215,1157
1216,450
1217,826
1218,800
1219,592
1220,233
1221,675
1222,333
1223,1311
1224,1107
1225,432
1226,300
1227,553
1228,198
1229,152
1230,700
1231,777
1232,132
1233,311
1234,758
1235,700
1236,203
1237,1599
1238,760
1239,969
1240,531
1241,1136
1242,318
1243,1395
1244,450
