id,forecastVolum
1,253
2,302
3,154
4,249
5,369
6,175
7,421
8,186
9,2050
10,327
11,633
12,173
13,306
14,323
15,602
16,374
17,299
18,271
19,562
20,111
21,293
22,246
23,341
24,333
25,246
26,244
27,650
28,441
29,988
30,344
31,5937
32,725
33,1492
34,419
35,772
36,766
37,1326
38,741
39,596
40,1013
41,1215
42,249
43,401
44,580
45,143
46,291
47,200
48,309
49,383
50,135
51,365
52,152
53,1410
54,189
55,420
56,121
57,356
58,312
59,385
60,246
61,217
62,116
63,435
64,150
65,251
66,229
67,156
68,263
69,150
70,108
71,398
72,243
73,387
74,171
75,3090
76,366
77,863
78,294
79,400
80,505
81,1044
82,504
83,475
84,507
85,429
86,141
87,233
88,194
89,199
90,2788
91,492
92,89
93,1298
94,1518
95,3038
96,1537
97,1401
98,1875
99,1780
100,786
101,3413
102,3796
103,1311
104,1226
105,1403
106,431
107,966
108,255
109,1561
110,488
111,331
112,481
113,518
114,78
115,963
116,1144
117,1564
118,559
119,4901
120,635
121,1420
122,788
123,1946
124,2327
125,1003
126,1148
127,1291
128,362
129,349
130,579
131,565
132,417
133,1006
134,212
135,156
136,1025
137,340
138,344
139,1107
140,286
141,1050
142,130
143,1076
144,204
145,678
146,750
147,840
148,274
149,204
150,215
151,321
152,140
153,325
154,202
155,355
156,89
157,38
158,72
159,251
160,405
161,303
162,59
163,318
164,101
165,863
166,208
167,181
168,301
169,537
170,239
171,223
172,135
173,54
174,87
175,143
176,32
177,814
178,319
179,283
180,382
181,831
182,881
183,1056
184,384
185,899
186,299
187,1294
188,841
189,709
190,1044
191,929
192,1008
193,1025
194,414
195,298
196,382
197,358
198,157
199,769
200,337
201,318
202,66
203,1209
204,1744
205,2454
206,596
207,1155
208,623
209,3052
210,1344
211,1505
212,2381
213,1839
214,1226
215,1196
216,815
217,361
218,407
219,579
220,145
221,131
222,334
223,236
224,205
225,1051
226,733
227,1656
228,655
229,1311
230,659
231,1017
232,769
233,1273
234,2172
235,1924
236,899
237,952
238,626
239,236
240,526
241,1258
242,120
243,64
244,445
245,307
246,57
247,838
248,612
249,1262
250,795
251,1069
252,549
253,622
254,574
255,1476
256,1422
257,696
258,566
259,744
260,300
261,426
262,379
263,912
264,270
265,99
266,796
267,493
268,53
269,1325
270,1022
271,1714
272,709
273,935
274,584
275,1168
276,825
277,1719
278,1778
279,873
280,960
281,885
282,427
283,297
284,412
285,713
286,463
287,326
288,1222
289,889
290,229
291,2187
292,2004
293,3339
294,875
295,2255
296,836
297,2815
298,1271
299,2424
300,4198
301,2053
302,1663
303,2020
304,766
305,997
306,897
307,1060
308,629
309,533
310,403
311,433
312,672
313,674
314,821
315,1165
316,616
317,464
318,148
319,1346
320,343
321,1308
322,1055
323,649
324,323
325,452
326,248
327,170
328,374
329,508
330,73
331,43
332,1029
333,696
334,229
335,1908
336,392
337,2398
338,901
339,1472
340,403
341,639
342,364
343,2422
344,1613
345,576
346,436
347,1051
348,441
349,954
350,207
351,641
352,1098
353,1505
354,1006
355,528
356,344
357,1770
358,1854
359,2665
360,1072
361,1106
362,514
363,2867
364,1278
365,2763
366,3503
367,1585
368,1163
369,1515
370,900
371,545
372,845
373,1014
374,277
375,285
376,712
377,739
378,92
379,1190
380,1053
381,3005
382,1473
383,515
384,283
385,1242
386,449
387,2938
388,1870
389,629
390,263
391,484
392,318
