id,forecastVolum
1,253
2,303
3,154
4,250
5,369
6,176
7,421
8,186
9,2048
10,328
11,633
12,173
13,306
14,324
15,602
16,375
17,300
18,272
19,562
20,111
21,293
22,246
23,341
24,334
25,246
26,245
27,650
28,441
29,988
30,344
31,5942
32,726
33,1491
34,420
35,772
36,766
37,1326
38,740
39,596
40,1014
41,1215
42,250
43,401
44,580
45,143
46,291
47,201
48,310
49,383
50,135
51,366
52,152
53,1410
54,190
55,420
56,121
57,357
58,313
59,386
60,247
61,217
62,116
63,435
64,150
65,252
66,230
67,156
68,263
69,150
70,108
71,398
72,243
73,387
74,171
75,3088
76,366
77,863
78,295
79,400
80,505
81,1044
82,504
83,475
84,507
85,428
86,141
87,233
88,193
89,199
90,2789
91,492
92,90
93,1297
94,1517
95,3035
96,1536
97,1400
98,1874
99,1779
100,785
101,3407
102,3789
103,1310
104,1226
105,1401
106,431
107,966
108,255
109,1559
110,488
111,330
112,481
113,518
114,78
115,962
116,1144
117,1563
118,559
119,4903
120,635
121,1419
122,787
123,1944
124,2326
125,1002
126,1146
127,1290
128,362
129,349
130,579
131,565
132,417
133,1006
134,212
135,156
136,1025
137,341
138,345
139,1108
140,286
141,1050
142,130
143,1077
144,204
145,679
146,751
147,840
148,274
149,204
150,216
151,322
152,140
153,326
154,203
155,354
156,89
157,38
158,72
159,251
160,404
161,302
162,58
163,317
164,101
165,860
166,208
167,181
168,300
169,536
170,239
171,223
172,135
173,54
174,87
175,143
176,32
177,813
178,319
179,283
180,382
181,830
182,880
183,1055
184,384
185,898
186,300
187,1293
188,840
189,708
190,1043
191,929
192,1007
193,1024
194,414
195,297
196,381
197,359
198,157
199,768
200,337
201,318
202,66
203,1208
204,1743
205,2451
206,596
207,1153
208,622
209,3048
210,1341
211,1502
212,2377
213,1837
214,1224
215,1194
216,814
217,361
218,406
219,579
220,145
221,130
222,334
223,236
224,206
225,1050
226,733
227,1654
228,653
229,1309
230,658
231,1016
232,767
233,1271
234,2172
235,1923
236,898
237,950
238,626
239,236
240,525
241,1256
242,120
243,64
244,445
245,307
246,57
247,837
248,611
249,1260
250,794
251,1067
252,549
253,622
254,574
255,1474
256,1421
257,695
258,566
259,743
260,300
261,425
262,379
263,911
264,270
265,99
266,796
267,493
268,53
269,1324
270,1021
271,1711
272,708
273,934
274,584
275,1167
276,824
277,1716
278,1776
279,871
280,958
281,884
282,427
283,297
284,411
285,712
286,463
287,326
288,1221
289,888
290,229
291,2186
292,2003
293,3336
294,873
295,2252
296,835
297,2813
298,1270
299,2421
300,4191
301,2050
302,1662
303,2020
304,765
305,996
306,895
307,1058
308,629
309,533
310,403
311,434
312,672
313,674
314,820
315,1164
316,616
317,465
318,149
319,1344
320,344
321,1306
322,1054
323,649
324,323
325,452
326,248
327,170
328,374
329,509
330,74
331,43
332,1028
333,696
334,229
335,1907
336,392
337,2397
338,900
339,1471
340,403
341,639
342,364
343,2422
344,1611
345,575
346,436
347,1050
348,441
349,953
350,207
351,640
352,1096
353,1503
354,1004
355,528
356,344
357,1766
358,1852
359,2661
360,1071
361,1104
362,513
363,2864
364,1276
365,2758
366,3496
367,1583
368,1161
369,1514
370,899
371,544
372,843
373,1014
374,277
375,285
376,711
377,738
378,92
379,1189
380,1051
381,2997
382,1470
383,515
384,282
385,1239
386,448
387,2928
388,1868
389,628
390,263
391,483
392,317
393,803
394,293
395,861
396,569
397,296
398,416
399,462
400,804
401,962
402,608
403,1526
404,432
405,859
406,258
407,1146
408,352
409,1462
410,1420
411,754
412,544
413,492
414,436
415,624
416,376
417,501
418,737
419,309
420,234
421,78
422,97
423,322
424,384
425,506
426,63
427,407
428,114
429,623
430,278
431,308
432,309
433,631
434,286
435,353
436,200
437,127
438,154
439,126
440,98
441,432
442,509
443,498
444,304
445,1620
446,1086
447,1602
448,504
449,894
450,315
451,1995
452,527
453,2179
454,2031
455,1459
456,749
457,665
458,541
459,638
460,377
461,571
462,538
463,483
464,221
465,205
466,365
467,498
468,463
469,1150
470,181
471,490
472,156
473,1341
474,250
475,1022
476,864
477,1163
478,294
479,293
480,249
481,214
482,101
483,275
484,198
485,26
486,43
487,49
488,24
489,141
490,327
491,549
492,205
493,79
494,76
495,196
496,64
497,503
498,293
499,60
500,151
501,150
502,32
503,127
504,61
505,105
506,79
507,562
508,221
509,85
510,552
511,546
512,324
513,484
514,117
515,1038
516,150
517,1259
518,220
519,344
520,310
521,1173
522,339
523,290
524,400
525,218
526,231
527,214
528,70
529,308
530,166
531,88
532,232
533,358
534,215
535,315
536,91
537,553
538,123
539,689
540,149
541,212
542,211
543,645
544,267
545,211
546,254
547,129
548,140
549,139
550,53
551,537
552,253
553,108
554,622
555,491
556,270
557,460
558,134
559,947
560,150
561,964
562,192
563,279
564,292
565,856
566,368
567,265
568,337
569,221
570,213
571,212
572,75
573,141
574,39
575,21
576,106
577,103
578,93
579,173
580,23
581,150
582,26
583,344
584,30
585,123
586,81
587,350
588,59
589,47
590,33
591,43
592,28
593,46
594,15
595,557
596,207
597,156
598,481
599,558
600,417
601,565
602,149
603,759
604,133
605,1176
606,262
607,438
608,408
609,1283
610,396
611,381
612,277
613,390
614,199
615,324
616,133
617,325
618,147
619,114
620,202
621,294
622,225
623,402
624,108
625,515
626,105
627,724
628,169
629,268
630,237
631,826
632,301
633,236
634,207
635,124
636,101
637,130
638,59
639,453
640,227
641,148
642,636
643,486
644,315
645,534
646,133
647,1083
648,168
649,1013
650,255
651,383
652,361
653,1041
654,424
655,373
656,275
657,334
658,182
659,271
660,123
661,488
662,237
663,67
664,448
665,456
666,360
667,438
668,75
669,1060
670,152
671,1049
672,198
673,363
674,335
675,1319
676,289
677,354
678,315
679,203
680,207
681,207
682,69
683,222
684,633
685,155
686,80
687,430
688,1041
689,1786
690,495
691,2694
692,1848
693,1371
694,476
695,1165
696,3716
697,799
698,526
699,843
700,332
701,467
702,166
703,636
704,396
705,541
706,227
707,335
708,55
709,641
710,367
711,822
712,206
713,196
714,92
715,1058
716,310
717,647
718,587
719,546
720,208
721,394
722,226
723,79
724,126
725,669
726,81
727,372
728,143
729,60
730,84
731,193
732,152
733,288
734,65
735,120
736,35
737,425
738,81
739,205
740,217
741,295
742,89
743,134
744,81
745,41
746,84
747,131
748,29
749,191
750,82
751,91
752,377
753,405
754,222
755,641
756,176
757,1585
758,294
759,737
760,252
761,441
762,305
