id,forecastVolum
1,256
2,306
3,156
4,253
5,373
6,178
7,426
8,189
9,2041
10,332
11,639
12,175
13,310
14,328
15,604
16,378
17,303
18,275
19,564
20,112
21,297
22,248
23,343
24,338
25,248
26,249
27,653
28,441
29,993
30,346
31,5982
32,730
33,1492
34,425
35,775
36,770
37,1331
38,740
39,601
40,1021
41,1219
42,253
43,403
44,582
45,144
46,295
47,204
48,315
49,388
50,137
51,371
52,154
53,1413
54,192
55,425
56,123
57,362
58,318
59,391
60,250
61,221
62,118
63,438
64,152
65,255
66,231
67,156
68,263
69,150
70,109
71,399
72,245
73,388
74,172
75,3088
76,367
77,863
78,297
79,401
80,507
81,1045
82,504
83,477
84,508
85,427
86,142
87,234
88,194
89,200
90,2801
91,494
92,91
93,1293
94,1518
95,3022
96,1536
97,1402
98,1871
99,1775
100,782
101,3385
102,3762
103,1308
104,1224
105,1398
106,433
107,968
108,257
109,1554
110,489
111,331
112,483
113,519
114,80
115,960
116,1146
117,1561
118,561
119,4926
120,637
121,1415
122,787
123,1938
124,2329
125,1003
126,1143
127,1288
128,365
129,351
130,578
131,565
132,418
133,1010
134,212
135,158
136,1030
137,345
138,350
139,1114
140,289
141,1054
142,131
143,1083
144,206
145,686
146,757
147,846
148,276
149,207
150,219
151,325
152,141
153,331
154,205
155,349
156,88
157,38
158,72
159,252
160,399
161,302
162,58
163,315
164,100
165,849
166,207
167,180
168,297
169,529
170,237
171,221
172,135
173,53
174,86
175,141
176,32
177,810
178,321
179,285
180,384
181,825
182,877
183,1049
184,383
185,892
186,301
187,1289
188,839
189,705
190,1041
191,928
192,1006
193,1023
194,415
195,298
196,380
197,361
198,158
199,764
200,336
201,318
202,67
203,1204
204,1743
205,2442
206,594
207,1144
208,620
209,3037
210,1329
211,1495
212,2366
213,1834
214,1214
215,1187
216,811
217,359
218,401
219,580
220,145
221,130
222,335
223,236
224,211
225,1049
226,730
227,1651
228,648
229,1302
230,655
231,1013
232,761
233,1265
234,2176
235,1925
236,896
237,944
238,626
239,235
240,523
241,1247
242,120
243,64
244,446
245,308
246,58
247,835
248,610
249,1254
250,791
251,1060
252,548
253,623
254,572
255,1466
256,1419
257,693
258,566
259,740
260,302
261,420
262,378
263,908
264,268
265,100
266,793
267,493
268,54
269,1318
270,1016
271,1704
272,705
273,932
274,583
275,1162
276,821
277,1708
278,1768
279,866
280,954
281,881
282,427
283,298
284,411
285,711
286,465
287,327
288,1215
289,883
290,232
291,2186
292,2001
293,3333
294,867
295,2242
296,832
297,2811
298,1266
299,2411
300,4167
301,2040
302,1659
303,2023
304,760
305,991
306,888
307,1052
308,630
309,536
310,406
311,437
312,676
313,677
314,818
315,1163
316,618
317,469
318,151
319,1338
320,346
321,1300
322,1052
323,650
324,326
325,454
326,251
327,173
328,377
329,513
330,75
331,44
332,1025
333,694
334,230
335,1907
336,392
337,2397
338,896
339,1465
340,405
341,640
342,365
343,2427
344,1604
345,576
346,436
347,1048
348,442
349,950
350,207
351,639
352,1092
353,1497
354,998
355,526
356,343
357,1752
358,1846
359,2652
360,1066
361,1097
362,512
363,2856
364,1269
365,2741
366,3467
367,1578
368,1155
369,1509
370,893
371,541
372,837
373,1015
374,278
375,286
376,708
377,734
378,93
379,1189
380,1043
381,2961
382,1463
383,517
384,281
385,1230
386,443
387,2879
388,1859
389,625
390,262
391,480
392,317
393,795
394,292
395,857
396,566
397,299
398,419
399,466
400,807
401,967
402,612
403,1527
404,436
405,860
406,261
407,1151
408,356
409,1463
410,1423
411,756
412,549
413,495
414,441
415,628
416,380
417,506
418,740
419,312
420,238
421,80
422,99
423,326
424,388
425,511
426,65
427,412
428,116
429,629
430,283
431,313
432,314
433,638
434,292
435,358
436,205
437,128
438,156
439,128
440,99
441,430
442,510
443,497
444,306
445,1614
446,1084
447,1595
448,504
449,891
450,316
451,1990
452,528
453,2174
454,2031
455,1458
456,747
457,666
458,540
459,636
460,377
461,571
462,535
463,479
464,220
465,205
466,363
467,495
468,459
469,1139
470,182
471,487
472,155
473,1330
474,249
475,1013
476,856
477,1154
478,294
479,291
480,248
481,214
482,101
483,273
484,198
485,26
486,44
487,49
488,24
489,141
490,326
491,547
492,204
493,79
494,75
495,196
496,64
497,499
498,294
499,60
500,151
501,150
502,32
503,126
504,61
505,105
506,79
507,569
508,223
509,87
510,557
511,551
512,328
513,489
514,119
515,1044
516,152
517,1264
518,224
519,348
520,314
521,1180
522,344
523,294
524,405
525,221
526,233
527,217
528,72
529,310
530,167
531,89
532,234
533,361
534,217
535,318
536,92
537,554
538,124
539,693
540,150
541,214
542,213
543,647
544,269
545,212
546,255
547,131
548,141
549,141
550,54
551,544
552,257
553,110
554,629
555,500
556,275
557,468
558,136
559,956
560,152
561,975
562,195
563,284
564,297
565,864
566,374
567,269
568,343
569,225
570,216
571,216
572,77
573,140
574,39
575,21
576,105
577,104
578,92
579,172
580,23
581,150
582,27
583,339
584,30
585,121
586,80
587,345
588,59
589,48
590,33
591,43
592,29
593,46
594,15
595,561
596,210
597,159
598,487
599,563
600,424
601,571
602,151
603,763
604,135
605,1186
606,267
607,442
608,414
609,1294
610,402
611,388
612,282
613,393
614,201
615,329
616,135
617,326
618,148
619,114
620,203
621,295
622,227
623,401
624,107
625,514
626,105
627,723
628,170
629,270
630,239
631,821
632,303
633,237
634,209
635,124
636,100
637,132
638,59
639,457
640,230
641,150
642,630
643,490
644,319
645,536
646,134
647,1080
648,170
649,1013
650,257
651,386
652,364
653,1041
654,428
655,377
656,278
657,335
658,184
659,274
660,124
661,492
662,240
663,68
664,452
665,460
666,364
667,444
668,76
669,1062
670,154
671,1054
672,201
673,369
674,341
675,1316
676,293
677,358
678,320
679,206
680,210
681,210
682,70
683,222
684,633
685,157
686,81
687,430
688,1040
689,1782
690,493
691,2709
692,1851
693,1370
694,477
695,1162
696,3695
697,799
698,526
699,838
700,334
701,466
702,167
703,636
704,395
705,534
706,226
707,330
708,56
709,636
710,364
711,814
712,203
713,197
714,91
715,1050
716,308
717,640
718,582
719,541
720,206
721,389
722,224
723,79
724,126
725,660
726,80
727,372
728,144
729,60
730,85
731,195
732,152
733,289
734,65
735,120
736,35
737,424
738,81
739,206
740,218
741,294
742,90
743,134
744,82
745,42
746,84
747,132
748,29
749,193
750,83
751,93
752,380
753,410
754,224
755,644
756,177
757,1584
758,295
759,739
760,255
761,443
762,308
763,619
764,505
765,406
766,536
767,231
768,303
769,179
770,86
771,187
772,332
773,455
774,510
775,724
776,240
777,699
778,294
779,1561
780,307
781,567
782,298
783,810
784,657
785,584
786,1074
787,545
788,348
789,595
790,448
791,494
792,324
793,86
794,154
795,114
796,46
797,315
798,187
799,276
800,111
801,757
802,182
803,494
804,245
805,262
806,378
807,456
808,209
809,299
810,199
811,155
812,134
813,110
814,84
815,258
816,268
817,397
818,236
819,903
820,565
821,1933
822,917
823,5637
824,1490
825,1763
826,1056
827,1681
828,1592
829,1227
830,1053
831,1321
832,1011
833,1295
834,461
835,364
836,690
837,232
838,380
839,325
840,325
841,423
842,416
843,985
844,431
845,2086
846,313
847,799
848,365
849,831
850,1006
851,755
852,1115
853,563
854,517
855,679
856,204
857,401
858,491
859,160
860,301
861,215
862,126
863,353
864,381
865,575
866,261
867,1579
868,272
869,807
870,305
871,510
872,639
873,741
874,689
875,351
876,406
877,343
878,139
879,236
880,241
881,150
882,16
883,22
884,184
885,38
886,52
887,254
888,86
889,693
890,20
891,295
892,30
893,216
894,139
895,331
896,48
897,34
898,55
899,100
900,17
901,27
902,32
903,195
904,269
905,121
906,137
907,398
908,274
909,577
910,201
911,2402
912,276
913,622
914,279
915,499
916,411
917,724
918,511
919,397
920,497
921,331
922,153
923,165
924,161
925,276
926,119
927,182
928,345
929,335
930,311
931,775
932,316
933,1885
934,131
935,835
936,212
937,709
938,557
939,1115
940,466
941,437
942,390
943,727
944,138
945,207
946,358
947,230
948,58
949,46
950,276
951,225
952,104
953,204
954,40
955,328
956,34
957,209
958,59
959,125
960,112
961,104
962,115
963,115
964,90
965,79
966,104
967,111
968,47
969,114
970,78
971,52
972,11
973,180
974,394
975,404
976,98
977,381
978,52
979,555
980,291
981,286
982,521
983,628
984,238
985,214
986,159
987,34
988,26
989,72
990,23
991,40
992,73
993,52
994,33
995,174
996,225
997,423
998,36
999,145
1000,36
1001,370
1002,164
1003,306
1004,342
1005,355
1006,227
1007,253
1008,119
1009,92
1010,34
1011,144
1012,49
1013,284
1014,112
1015,47
1016,117
1017,645
1018,642
1019,711
1020,126
1021,910
1022,173
1023,1609
1024,446
1025,472
1026,1416
1027,1191
1028,451
1029,455
1030,373
1031,139
1032,280
1033,235
1034,66
1035,43
1036,182
1037,315
1038,26
1039,474
1040,263
1041,1242
1042,757
1043,377
1044,237
1045,363
1046,190
1047,1450
1048,896
1049,476
1050,204
1051,249
1052,222
1053,638
1054,94
1055,319
1056,343
1057,305
1058,278
1059,198
1060,200
1061,572
1062,817
1063,773
1064,203
1065,688
1066,165
1067,1009
1068,570
1069,789
1070,1208
1071,1335
1072,543
1073,466
1074,297
1075,146
1076,231
1077,328
1078,99
1079,147
1080,158
1081,33
1082,41
1083,261
1084,239
1085,417
1086,72
1087,333
1088,116
1089,612
1090,170
1091,424
1092,386
1093,382
1094,181
1095,157
1096,193
1097,57
1098,109
1099,145
1100,34
1123,362
1124,224
1125,44
1126,80
1127,597
1128,613
1129,456
1130,60
1131,1143
1132,225
1133,1117
1134,329
1135,396
1136,565
1137,899
1138,406
1139,380
1140,503
1141,89
1142,324
1143,182
1144,52
1145,279
1146,307
1147,167
1148,336
1149,479
1150,232
1151,542
1152,139
1153,940
1154,164
1155,488
1156,164
1157,469
1158,454
1159,361
1160,280
1161,345
1162,169
1163,203
1164,342
1165,231
1166,210
1167,210
1168,286
1169,160
1170,83
1171,646
1172,1051
1173,941
1174,278
1175,763
1176,405
1177,1143
1178,425
1179,731
1180,1547
1181,531
1182,360
1183,775
1184,403
1185,143
1186,363
1187,701
1188,90
1189,29
1190,69
1191,130
1192,20
1193,131
1194,164
1195,349
1196,78
1197,37
1198,20
1199,99
1200,121
1201,203
1202,331
1203,58
1204,159
1205,466
1206,21
1207,52
1208,88
1209,286
1210,75
1211,93
1212,416
1213,387
1214,94
1215,1116
1216,429
1217,781
1218,745
1219,573
1220,232
1221,644
1222,328
1223,1285
1224,1060
1225,418
1226,299
1227,529
1228,193
1229,150
1230,674
1231,743
1232,129
1233,305
1234,754
1235,689
1236,212
1237,1592
1238,755
1239,940
1240,525
1241,1111
1242,324
1243,1378
1244,449
1245,1238
1246,1674
1247,1104
1248,609
1249,1049
1250,409
1251,220
1252,1333
1253,891
1254,200
1255,22
1256,632
1257,39
1258,111
1259,359
1260,123
1261,317
1262,86
1263,369
1264,25
1265,402
1266,56
1267,434
1268,499
1269,270
1270,292
1271,213
1272,75
1273,133
1274,399
1275,133
1276,25
1277,70
1278,130
1279,97
1280,60
1281,487
1282,179
1283,311
1284,136
1285,252
1286,125
1287,366
1288,116
1289,508
1290,460
1291,185
1292,56
1293,229
1294,89
1295,25
1296,660
1297,354
1298,12
1299,732
1300,73
1301,76
1302,26
1303,410
1304,411
1305,405
1306,171
1307,385
1308,158
1309,733
1310,320
1311,320
1312,846
1313,344
1314,322
1315,370
1316,121
1317,42
1318,73
1319,193
1320,12
1321,108
1322,89
1323,62
