id,forecastVolum
1,262
2,317
3,155
4,259
5,385
6,176
7,439
8,183
9,2092
10,336
11,681
12,177
13,310
14,339
15,620
16,388
17,304
18,281
19,595
20,113
21,303
22,262
23,353
24,352
25,259
26,261
27,686
28,442
29,1039
30,353
31,6440
32,749
33,1487
34,448
35,822
36,793
37,1333
38,746
39,628
40,1064
41,1245
42,261
43,399
44,631
45,157
46,321
47,229
48,346
49,419
50,149
51,392
52,171
53,1460
54,203
55,448
56,129
57,393
58,343
59,423
60,256
61,224
62,128
63,464
64,158
65,266
66,254
67,153
68,242
69,146
70,112
71,389
72,249
73,392
74,165
75,2754
76,367
77,900
78,285
79,420
80,530
81,1018
82,501
83,474
84,498
85,434
86,136
87,225
88,192
89,199
90,3193
91,491
92,100
93,1374
94,1577
95,3167
96,1595
97,1519
98,2013
99,1936
100,818
101,3457
102,3890
103,1418
104,1284
105,1460
106,454
107,1060
108,247
109,1788
110,522
111,325
112,520
113,561
114,86
115,1107
116,1268
117,1721
118,612
119,5018
120,687
121,1545
122,832
123,2185
124,2529
125,1107
126,1230
127,1393
128,372
129,356
130,634
131,606
132,454
133,1140
134,226
135,153
136,1176
137,362
138,368
139,1216
140,291
141,1114
142,132
143,1169
144,212
145,711
146,803
147,913
148,286
149,208
150,232
151,359
152,147
153,347
154,220
155,346
156,93
157,40
158,74
159,242
160,377
161,312
162,65
163,290
164,104
165,898
166,207
167,174
168,290
169,546
170,231
171,221
172,127
173,58
174,89
175,137
176,33
177,822
178,330
179,284
180,399
181,905
182,874
183,1052
184,364
185,1002
186,308
187,1298
188,823
189,697
190,1041
191,936
192,1027
193,1033
194,388
195,284
196,371
197,362
198,160
199,896
200,337
201,328
202,67
203,1270
204,1809
205,2458
206,628
207,1284
208,644
209,3155
210,1314
211,1636
212,2202
213,2043
214,1272
215,1226
216,853
217,368
218,375
219,616
220,146
221,128
222,331
223,243
224,240
225,1140
226,780
227,1695
228,699
229,1236
230,689
231,1072
232,806
233,1299
234,2145
235,1897
236,891
237,981
238,647
239,230
240,545
241,1186
242,124
243,64
244,449
245,311
246,65
247,852
248,625
249,1318
250,768
251,1001
252,557
253,647
254,606
255,1504
256,1431
257,729
258,584
259,766
260,290
261,401
262,360
263,880
264,270
265,110
266,853
267,498
268,60
269,1382
270,1096
271,1818
272,735
273,978
274,606
275,1277
276,897
277,1824
278,1905
279,935
280,993
281,923
282,458
283,310
284,422
285,752
286,498
287,348
288,1320
289,878
290,253
291,2290
292,2177
293,3200
294,875
295,2179
296,847
297,2804
298,1314
299,2504
300,4042
301,1997
302,1717
303,2063
304,784
305,995
306,887
307,1073
308,684
309,582
310,446
311,478
312,768
313,726
314,837
315,1247
316,673
317,473
318,152
319,1414
320,367
321,1374
322,1145
323,687
324,355
325,468
326,278
327,196
328,411
329,540
330,85
331,47
332,1029
333,678
334,244
335,1741
336,383
337,2245
338,862
339,1340
340,405
341,653
342,360
343,2267
344,1557
345,568
346,433
347,1054
348,431
349,960
350,201
351,617
352,1050
353,1427
354,946
355,493
356,372
357,1525
358,1638
359,2288
360,964
361,1118
362,465
363,2448
364,1158
365,2367
366,2886
367,1462
368,1101
369,1311
370,816
371,528
372,766
373,1001
374,275
375,284
376,696
377,704
378,99
379,1182
380,978
381,2580
382,1385
383,497
384,260
385,1250
386,407
387,2390
388,1744
389,614
390,248
391,459
392,271
393,755
394,250
395,795
396,535
397,324
398,463
399,522
400,982
401,982
402,654
403,1527
404,478
405,882
406,276
407,1255
408,389
409,1544
410,1450
411,776
412,587
413,529
414,439
415,735
416,411
417,525
418,844
419,323
420,244
421,82
422,91
423,339
424,380
425,509
426,70
427,413
428,120
429,648
430,293
431,310
432,317
433,636
434,298
435,346
436,210
437,134
438,169
439,132
440,105
441,400
442,520
443,474
444,327
445,1554
446,1087
447,1528
448,487
449,928
450,307
451,1967
452,510
453,2071
454,1877
455,1377
456,721
457,641
458,517
459,614
460,361
461,573
462,515
463,503
464,231
465,214
466,402
467,529
468,488
