id,forecastVolum
1,238
2,269
3,151
4,201
5,317
6,169
7,358
8,173
9,1966
10,270
11,550
12,165
13,250
14,284
15,528
16,354
17,261
18,244
19,502
20,122
21,266
22,229
23,295
24,266
25,207
26,148
27,567
28,425
29,892
30,299
31,8478
32,647
33,1347
34,380
35,721
36,725
37,1099
38,707
39,558
40,914
41,1021
42,205
43,359
44,497
45,177
46,313
47,230
48,366
49,382
50,170
51,359
52,177
53,1466
54,215
55,399
56,148
57,344
58,325
59,382
60,276
61,253
62,129
63,449
64,171
65,249
66,263
67,136
68,251
69,142
70,51
71,369
72,220
73,344
74,151
75,4148
76,377
77,822
78,283
79,370
80,477
81,880
82,490
83,440
84,487
85,417
86,128
87,204
88,199
89,195
90,3248
91,472
92,34
93,1449
94,1613
95,2596
96,1565
97,1405
98,1933
99,1801
100,812
101,3567
102,4394
103,1312
104,1391
105,1464
106,411
107,1068
108,305
109,1774
110,497
111,343
112,477
113,492
114,0
115,1007
116,1193
117,1607
118,540
119,6250
120,622
121,1335
122,783
123,1936
124,2539
125,955
126,1170
127,1442
128,335
129,313
130,597
131,576
132,413
133,968
134,210
135,153
136,1083
137,303
138,336
139,1138
140,261
141,995
142,135
143,1074
144,203
145,605
146,699
147,767
148,270
149,204
150,203
151,310
152,162
153,298
154,195
155,441
156,114
157,31
158,80
159,296
160,497
161,350
162,65
163,393
164,127
165,1001
166,250
167,220
168,395
169,603
170,278
171,258
172,158
173,62
174,118
175,168
176,29
177,787
178,303
179,279
180,295
181,813
182,915
183,1052
184,366
185,840
186,303
187,1207
188,897
189,685
190,980
191,885
192,1057
193,995
194,354
195,308
196,372
197,371
198,165
199,932
200,346
201,294
202,6
203,1325
204,2281
205,2582
206,691
207,1128
208,648
209,3609
210,1493
211,1913
212,3275
213,2175
214,1607
215,1478
216,881
217,370
218,440
219,630
220,120
221,122
222,359
223,251
224,158
225,1105
226,824
227,1720
228,788
229,1225
230,727
231,1016
232,873
233,1273
234,2211
235,2261
236,1004
237,1067
238,636
239,222
240,546
241,1356
242,114
243,50
244,424
245,269
246,12
247,890
248,615
249,1131
250,803
251,944
252,532
253,589
254,567
255,1581
256,1450
257,657
258,559
259,792
260,267
261,420
262,402
263,888
264,277
265,111
266,735
267,440
268,0
269,1153
270,1067
271,1623
272,644
273,788
274,521
275,1038
276,863
277,1694
278,1818
279,780
280,996
281,878
282,359
283,257
284,419
285,592
286,414
287,311
288,1365
289,894
290,176
291,2554
292,2490
293,3990
294,839
295,2661
296,852
297,3404
298,1446
299,2638
300,5008
301,1848
302,1975
303,2392
304,612
305,895
306,915
307,965
308,440
309,524
310,390
311,433
312,620
313,675
314,870
315,1154
316,608
317,427
318,171
319,1320
320,359
321,1231
322,1137
323,620
324,324
325,466
326,230
327,173
328,364
329,503
330,66
331,0
332,1067
333,718
334,186
335,1932
336,454
337,2654
338,883
339,1361
340,395
341,559
342,383
343,2911
344,1689
345,539
346,461
347,980
348,441
349,937
350,249
351,612
352,1030
353,1662
354,966
355,407
356,242
357,1963
358,1978
359,3005
360,814
361,1053
362,451
363,3366
364,1390
365,2659
366,3766
367,1744
368,1199
369,1647
370,774
371,359
372,726
373,837
374,225
375,246
376,837
377,800
378,0
379,1281
380,1325
381,4001
382,1405
383,373
384,268
385,1220
386,439
387,3750
388,2413
389,573
390,315
391,521
392,273
393,775
394,322
395,833
396,537
397,267
398,434
399,443
400,717
401,861
402,625
403,1334
404,420
405,777
406,273
407,1153
408,365
409,1284
410,1356
411,627
412,564
413,507
414,372
415,566
416,367
417,496
418,688
419,311
420,248
421,72
422,87
423,324
424,368
425,473
426,63
427,431
428,133
429,592
430,313
431,312
432,328
433,640
434,302
435,358
436,225
437,160
438,168
439,132
440,115
441,374
442,485
443,441
444,209
445,1540
446,1238
447,1682
448,440
449,751
450,315
451,2472
452,495
453,2476
454,2563
455,1512
456,703
457,685
458,456
459,540
460,349
461,543
462,385
463,434
464,224
465,200
466,270
467,469
468,473
469,1098
470,175
471,409
472,160
473,1387
474,250
475,985
476,850
477,1059
478,302
479,321
480,240
481,204
482,91
483,309
484,181
485,26
486,40
487,48
488,9
489,169
490,482
491,647
492,269
493,100
494,98
495,244
496,75
497,595
498,421
499,80
500,188
501,192
502,30
503,183
504,75
505,129
506,104
507,550
508,246
509,93
510,517
511,558
512,334
513,468
514,135
515,1085
516,172
517,1320
518,229
519,324
520,337
521,1227
522,334
523,293
524,369
525,230
526,257
527,233
528,57
529,333
530,188
531,100
532,273
533,379
534,246
535,329
536,104
537,519
538,138
539,659
540,174
541,237
542,248
543,630
544,283
545,227
546,265
547,160
548,166
549,167
550,65
551,520
552,256
553,120
554,608
555,479
556,287
557,410
558,146
559,826
560,166
561,857
562,203
563,267
564,307
565,808
566,366
567,267
568,278
569,219
570,222
571,202
572,77
573,175
574,46
575,10
576,135
577,132
578,107
579,195
580,11
581,171
582,18
583,392
584,33
585,148
586,103
587,391
588,63
589,57
590,31
591,52
592,26
593,54
594,3
595,494
596,205
597,146
598,440
599,503
600,360
601,519
602,143
603,671
604,142
605,1108
606,233
607,380
608,374
609,1250
610,347
611,319
612,242
613,365
614,203
615,288
616,133
617,344
618,160
619,127
620,207
621,306
622,246
623,395
624,119
625,504
626,113
627,738
628,185
629,271
630,257
631,857
632,296
633,257
634,214
635,141
636,109
637,130
638,50
639,436
640,249
641,164
642,681
643,483
644,291
645,512
646,161
647,1075
648,186
649,994
650,262
651,355
652,352
653,1091
654,394
655,374
656,260
657,324
658,208
659,276
660,152
661,444
662,220
663,68
664,409
665,440
666,339
667,363
668,69
669,1010
670,150
671,1058
672,188
673,287
674,313
675,1241
676,257
677,289
678,256
679,188
680,214
681,189
682,61
683,195
684,559
685,166
686,21
687,415
688,1085
689,1666
690,445
691,2868
692,2025
693,1461
694,441
695,1197
696,4244
697,806
698,472
699,927
700,280
701,419
702,177
703,602
704,348
705,610
706,263
707,389
708,26
709,761
710,441
711,1040
712,305
713,219
714,105
715,1390
716,388
717,779
718,716
719,676
720,290
721,519
722,281
723,85
724,155
725,839
726,101
727,478
728,159
729,65
730,72
731,194
732,159
