id,forecastVolum
1,254
2,282
3,157
4,231
5,369
6,189
7,414
8,178
9,2045
10,308
11,605
12,171
13,280
14,322
15,570
16,375
17,291
18,260
19,547
20,118
21,277
22,244
23,301
24,306
25,216
26,126
27,601
28,413
29,912
30,308
31,8916
32,653
33,1289
34,395
35,776
36,739
37,1080
38,669
39,567
40,952
41,1088
42,207
43,390
44,529
45,159
46,300
47,197
48,314
49,380
50,151
51,362
52,177
53,1426
54,208
55,407
56,139
57,328
58,318
59,383
60,250
61,229
62,126
63,482
64,152
65,235
66,244
67,172
68,301
69,180
70,113
71,413
72,276
73,369
74,172
75,4051
76,415
77,863
78,341
79,362
80,507
81,932
82,544
83,484
84,540
85,459
86,167
87,249
88,208
89,188
90,3487
91,483
92,80
93,1454
94,1674
95,3595
96,1714
97,1484
98,2131
99,2067
100,864
101,3917
102,4198
103,1219
104,1411
105,1520
106,389
107,940
108,288
109,2090
110,464
111,349
112,448
113,498
114,15
115,1120
116,1244
117,1775
118,549
119,8712
120,584
121,1547
122,857
123,2271
124,2773
125,965
126,1232
127,1537
128,410
129,310
130,607
131,543
132,392
133,975
134,178
135,144
136,972
137,307
138,310
139,1082
140,239
141,827
142,118
143,1077
144,176
145,610
146,704
147,746
148,235
149,180
150,198
151,285
152,139
153,279
154,186
155,405
156,115
157,42
158,82
159,283
160,486
161,360
162,73
163,376
164,125
165,1035
166,242
167,187
168,335
169,673
170,293
171,272
172,175
173,73
174,110
175,165
176,25
177,785
178,326
179,274
180,293
181,929
182,996
183,1095
184,381
185,879
186,311
187,1429
188,939
189,697
190,1132
191,856
192,1103
193,1162
194,374
195,287
196,375
197,381
198,146
199,697
200,333
201,298
202,17
203,1282
204,1682
205,3419
206,624
207,1231
208,567
209,3643
210,1066
211,1795
212,3331
213,2812
214,1130
215,1197
216,860
217,362
218,350
219,607
220,68
221,121
222,400
223,255
224,211
225,1231
226,955
227,1801
228,857
229,1255
230,647
231,1107
232,966
233,1344
234,2407
235,2837
236,1104
237,1147
238,683
239,277
240,436
241,1090
242,103
243,34
244,393
245,303
246,16
247,808
248,556
249,1217
250,660
251,789
252,462
253,584
254,537
255,1405
256,1376
257,594
258,554
259,730
260,271
261,336
262,299
263,726
264,232
265,84
266,820
267,485
268,16
269,1326
270,1123
271,1725
272,666
273,809
274,606
275,1143
276,869
277,1873
278,2011
279,831
280,1052
281,878
282,389
283,262
284,443
285,684
286,423
287,270
288,1534
289,849
290,174
291,2892
292,2238
293,3722
294,911
295,2509
296,741
297,3227
298,1450
299,2917
300,4306
301,2173
302,2038
303,2306
304,633
305,997
306,830
307,957
308,507
309,531
310,393
311,426
312,682
313,724
314,911
315,1216
316,611
317,409
318,153
319,1415
320,366
321,1326
322,1179
323,626
324,335
325,482
326,218
327,144
328,357
329,516
330,55
331,0
332,1002
333,680
334,191
335,2009
336,416
337,2952
338,976
339,1543
340,369
341,550
342,391
343,3070
344,1712
345,478
346,477
347,987
348,366
349,971
350,245
351,639
352,1076
353,1411
354,743
355,431
356,228
357,1478
358,1644
359,3172
360,770
361,983
362,425
363,3370
364,1255
365,2940
366,4284
367,1394
368,1040
369,1339
370,573
371,396
372,618
373,911
374,183
375,275
376,577
377,538
378,63
379,1142
380,999
381,4034
382,1484
383,406
384,286
385,1086
386,417
387,3051
388,1895
389,555
390,334
391,563
392,284
393,609
394,345
395,790
396,469
397,239
398,428
399,466
400,758
401,891
402,584
403,1383
404,400
405,689
406,203
407,1145
408,340
409,1398
410,1306
411,633
412,496
413,424
414,387
415,644
416,328
417,506
418,766
419,316
420,239
421,92
422,128
423,432
424,373
425,487
426,68
427,377
428,112
429,653
430,276
431,350
432,351
433,632
434,325
435,353
436,240
437,131
438,160
439,151
440,112
441,366
442,551
443,473
444,233
445,1723
446,1238
447,1826
448,501
449,827
450,373
451,2341
452,599
453,2612
454,2024
455,1632
456,828
457,693
458,480
459,593
460,405
461,606
462,493
463,461
464,260
465,207
466,300
467,525
468,528
469,1256
470,183
471,395
472,168
473,1587
474,294
475,1109
476,857
477,1144
478,336
479,343
480,240
481,198
482,108
483,347
484,171
485,31
486,50
487,58
488,20
489,172
490,483
491,594
492,271
493,92
494,99
495,239
496,84
497,627
498,387
499,79
500,197
501,192
502,37
503,172
504,74
505,129
506,106
507,565
508,262
509,95
510,530
511,570
512,336
513,511
514,130
515,1057
516,165
517,1413
518,235
519,323
520,331
521,1342
522,324
523,295
524,396
525,228
526,247
527,233
528,60
529,307
530,187
531,98
532,262
533,355
534,227
535,312
536,97
537,541
538,116
539,710
540,164
541,209
542,206
543,656
544,276
545,211
546,231
547,147
548,149
549,157
550,55
551,473
552,220
553,96
554,584
555,425
556,241
557,366
558,128
559,855
560,146
561,843
562,171
563,229
564,259
565,755
566,325
567,217
568,250
569,197
570,186
571,167
572,67
573,156
574,47
575,18
576,130
577,139
578,90
579,164
580,23
581,169
582,25
583,394
584,47
585,107
586,95
587,369
588,73
589,65
590,36
591,59
592,34
593,57
594,9
595,517
596,210
597,162
598,460
599,554
600,366
601,549
602,160
603,775
604,145
605,1101
606,243
607,404
608,386
609,1273
610,361
611,338
612,238
613,380
614,195
615,280
616,151
617,348
618,155
619,124
620,203
621,314
622,236
623,382
624,114
625,537
626,110
627,734
628,185
629,257
630,242
631,885
632,311
633,260
634,199
635,126
636,99
637,132
638,48
639,481
640,252
641,164
642,750
643,524
644,310
645,541
646,163
647,1119
648,195
649,1069
650,275
651,394
652,383
653,1104
654,417
655,391
656,269
657,367
658,204
659,273
660,151
661,470
662,209
663,66
664,459
665,486
666,331
667,391
668,67
669,1060
670,142
671,1138
672,185
673,314
674,320
675,1307
676,265
677,314
678,252
679,182
680,210
681,167
682,62
683,236
684,690
685,189
686,71
687,509
688,1274
689,2238
690,548
691,3216
692,2383
693,1920
694,563
695,1380
696,4596
697,982
698,581
699,1096
700,332
701,507
702,232
703,790
704,384
705,683
706,293
707,403
708,47
709,770
710,446
711,1067
712,276
713,216
714,111
715,1394
716,393
717,723
718,706
719,692
720,293
721,463
722,308
723,91
724,162
725,887
726,103
727,409
728,180
729,70
730,79
731,207
732,163
733,311
734,75
735,136
736,37
737,563
738,84
739,205
740,238
741,306
742,90
743,159
744,80
745,30
746,100
747,140
748,25
749,192
750,109
751,112
752,414
753,404
754,247
755,710
756,196
757,1791
758,307
759,705
760,273
761,463
762,316
763,620
764,517
765,429
766,544
767,254
768,329
769,198
770,91
771,202
772,337
773,464
774,510
775,764
776,277
777,740
778,304
779,1539
780,311
781,585
782,314
783,833
784,675
785,592
786,1158
787,584
788,329
789,640
790,469
791,513
792,340
793,114
794,211
795,181
796,63
797,452
798,287
799,458
800,171
801,886
802,243
803,650
804,376
805,349
806,469
807,689
808,296
809,448
810,303
811,279
812,199
813,149
814,127
815,170
816,193
817,287
818,117
819,705
820,402
821,1547
822,644
823,6887
824,1469
825,1578
826,902
827,1375
828,1526
829,903
830,764
831,1243
832,876
833,1207
834,352
835,254
836,437
837,247
838,471
839,385
840,383
841,493
842,545
843,1098
844,460
845,2529
846,360
847,829
848,439
849,934
850,1219
851,738
852,1283
853,721
854,613
855,675
856,262
857,508
858,514
859,189
860,286
861,233
862,173
863,359
864,405
865,620
866,258
867,1580
868,281
869,843
870,329
871,518
872,713
873,769
874,739
875,351
876,387
877,379
878,168
879,249
880,254
881,174
882,19
883,20
884,197
885,40
886,56
887,231
888,88
889,572
890,20
891,290
892,34
893,210
894,146
895,330
896,46
897,35
898,48
899,120
900,17
901,23
902,35
903,193
904,251
905,119
906,117
907,360
908,244
909,553
910,168
911,2117
912,229
913,540
914,254
915,464
916,385
917,623
918,464
919,361
920,404
921,323
922,141
923,139
924,152
925,300
926,117
927,173
928,331
929,343
930,323
931,760
932,331
933,1923
934,128
935,865
936,223
937,684
938,558
939,1053
940,495
941,456
942,359
943,747
944,148
945,205
946,370
947,228
948,54
949,44
950,266
951,227
952,107
953,212
954,44
955,286
956,36
957,210
958,62
959,131
960,126
961,112
962,118
963,123
964,93
965,84
966,104
967,108
968,43
969,176
970,104
971,73
972,0
973,240
974,526
975,636
976,139
977,553
978,70
979,842
980,459
981,387
982,640
983,857
984,329
985,284
986,220
987,43
988,36
989,104
990,25
991,110
992,114
993,74
994,62
995,308
996,381
997,577
998,88
999,350
1000,74
1001,522
1002,286
1003,491
1004,525
1005,485
1006,356
1007,403
1008,200
1009,202
1010,88
1011,275
1012,103
1013,270
1014,134
1015,45
1016,128
1017,657
1018,667
1019,712
1020,154
1021,902
1022,193
1023,1872
1024,476
1025,490
1026,1690
1027,1261
1028,484
1029,506
1030,398
1031,157
1032,304
1033,249
1034,51
1035,41
1036,260
1037,464
1038,30
1039,735
1040,401
1041,1952
1042,1077
1043,701
1044,353
1045,531
1046,281
1047,2193
1048,1277
1049,524
1050,283
1051,329
1052,316
1053,638
1054,163
1055,503
1056,466
1057,318
1058,293
1059,239
1060,226
1061,604
1062,919
1063,839
1064,220
1065,706
1066,176
1067,1087
1068,568
1069,813
1070,1362
1071,1659
1072,563
1073,505
1074,320
1075,154
1076,273
1077,377
