id,forecastVolum
1,258
2,314
3,143
4,211
5,365
6,167
7,420
8,175
9,2221
10,323
11,606
12,162
13,292
14,323
15,616
16,373
17,314
18,296
19,557
20,113
21,312
22,256
23,306
24,339
25,244
26,180
27,622
28,417
29,975
30,305
31,5740
32,690
33,1394
34,357
35,698
36,719
37,1275
38,703
39,564
40,1074
41,1238
42,267
43,356
44,537
45,159
46,335
47,225
48,323
49,402
50,132
51,400
52,168
53,1521
54,209
55,435
56,121
57,387
58,335
59,428
60,259
61,239
62,118
63,498
64,162
65,268
66,273
67,154
68,278
69,154
70,82
71,367
72,251
73,387
74,175
75,3769
76,389
77,809
78,330
79,379
80,521
81,1072
82,554
83,473
84,646
85,477
86,151
87,271
88,214
89,176
90,2502
91,374
92,65
93,1102
94,1275
95,3415
96,1274
97,1495
98,1714
99,1611
100,650
101,3060
102,3889
103,1143
104,1026
105,1141
106,336
107,876
108,254
109,1593
110,416
111,286
112,431
113,413
114,56
115,910
116,1053
117,1800
118,532
119,5467
120,583
121,1312
122,740
123,2195
124,2827
125,970
126,1109
127,1391
128,338
129,297
130,548
131,549
132,383
133,861
134,194
135,123
136,841
137,290
138,296
139,1021
140,227
141,962
142,108
143,881
144,168
145,522
146,617
147,700
148,244
149,172
150,189
151,277
152,128
153,283
154,174
155,448
156,102
157,47
158,55
159,284
160,484
161,377
162,68
163,437
164,110
165,945
166,248
167,194
168,386
169,619
170,297
171,273
172,164
173,65
174,101
175,154
176,42
177,749
178,305
179,261
180,263
181,840
182,867
183,1122
184,321
185,1050
186,293
187,1145
188,914
189,602
190,1048
191,873
192,1017
193,1028
194,353
195,264
196,374
197,318
198,159
199,623
200,327
201,275
202,70
203,1098
204,1542
205,2904
206,487
207,1357
208,538
209,2872
210,1254
211,1385
212,2526
213,1793
214,1232
215,1187
216,773
217,340
218,406
219,551
220,143
221,117
222,321
223,243
224,222
225,1050
226,749
227,1682
228,734
229,1597
230,719
231,1021
232,780
233,1173
234,2070
235,1988
236,881
237,1019
238,799
239,229
240,548
241,1476
242,125
243,67
244,422
245,292
246,45
247,902
248,579
249,1270
250,831
251,1147
252,554
253,649
254,557
255,1441
256,1347
257,765
258,555
259,741
260,307
261,426
262,400
263,883
264,293
265,96
266,748
267,407
268,45
269,1173
270,992
271,1752
272,633
273,987
274,556
275,1063
276,780
277,1648
278,1703
279,898
280,892
281,822
282,382
283,285
284,382
285,642
286,440
287,282
288,1257
289,782
290,194
291,2109
292,1802
293,4033
294,787
295,2979
296,821
297,3271
298,1183
299,2797
300,4116
301,2481
302,1693
303,1908
304,773
305,1022
306,842
307,1070
308,521
309,475
310,373
311,380
312,554
313,652
314,758
315,1172
316,540
317,432
318,149
319,1241
320,333
321,1153
322,1032
323,648
324,314
325,415
326,242
327,164
328,346
329,443
330,80
331,42
332,1035
333,661
334,182
335,2131
336,385
337,3293
338,968
339,1654
340,350
341,627
342,320
343,2258
344,1684
345,583
346,421
347,990
348,429
349,1065
350,242
351,679
352,1188
353,1061
354,814
355,345
356,238
357,1601
358,1790
359,2583
360,847
361,1161
362,390
363,2361
364,1073
365,2021
366,2994
367,1429
368,1009
369,1229
370,766
371,364
372,679
373,919
374,243
375,256
376,788
377,642
378,71
379,1146
380,1044
381,3216
382,1254
383,569
384,267
385,1140
386,389
387,2247
388,1690
389,588
390,263
391,495
392,331
393,775
394,294
395,871
396,518
397,258
398,348
399,337
400,609
401,783
402,497
403,1382
404,329
405,791
406,240
407,993
408,317
409,1297
410,1296
411,644
412,440
413,404
414,345
415,558
416,332
417,398
418,656
419,293
420,209
421,62
422,79
423,286
424,344
425,481
426,55
427,414
428,110
429,556
430,264
431,285
432,277
433,571
434,254
435,313
436,182
437,130
438,158
439,101
440,95
441,406
442,551
443,487
444,244
445,1689
446,1232
447,1886
448,498
449,1201
450,306
451,2018
452,573
453,2187
454,2138
455,1637
456,804
457,804
458,616
459,657
460,341
461,675
462,540
463,430
464,205
465,211
466,313
467,472
468,467
469,1072
470,184
471,481
472,148
473,1390
474,210
475,988
476,742
477,1060
478,231
479,225
480,234
481,224
482,94
483,224
484,229
485,43
486,66
487,73
488,39
489,187
490,473
491,832
492,310
493,123
494,117
495,291
496,97
497,700
498,439
499,99
500,216
501,211
502,52
503,209
504,97
505,151
506,128
507,465
508,215
509,76
510,478
511,492
512,317
513,444
514,107
515,957
516,139
517,1115
518,218
519,304
520,309
521,1072
522,326
523,266
524,379
525,195
526,236
527,203
528,58
529,348
530,174
531,93
532,199
533,364
534,222
535,321
536,90
537,615
538,126
539,754
540,145
541,209
542,213
543,738
544,276
545,216
546,278
547,136
548,151
549,140
550,59
551,433
552,228
553,86
554,538
555,411
556,226
557,402
558,106
559,901
560,124
561,885
562,172
563,233
564,250
565,812
566,344
567,231
568,290
569,197
570,197
571,188
572,62
573,162
574,47
575,23
576,100
577,103
578,88
579,168
580,26
581,162
582,29
583,327
584,37
585,124
586,78
587,380
588,60
589,53
590,43
591,55
592,37
593,50
594,20
595,509
596,195
597,133
598,394
599,525
600,365
601,514
602,125
603,789
604,116
605,1088
606,219
607,367
608,365
609,1315
610,353
611,355
612,246
613,339
614,188
615,285
616,121
617,404
618,194
619,155
620,198
621,413
622,303
623,501
624,136
625,720
626,130
627,877
628,228
629,329
630,310
631,1041
632,399
633,332
634,283
635,167
636,130
637,168
638,82
639,395
640,228
641,132
642,663
643,438
644,293
645,484
646,123
647,1112
648,163
649,943
650,246
651,353
652,349
653,1051
654,381
655,374
656,264
657,316
658,181
659,276
660,129
661,442
662,227
663,69
664,424
665,417
666,342
667,388
668,70
669,1068
670,142
671,1003
672,176
673,312
674,339
675,1270
676,264
677,333
678,302
679,192
680,206
681,193
682,66
683,220
684,582
685,146
686,64
687,324
688,866
689,1748
690,431
691,3622
692,1856
693,1387
694,391
695,1131
696,3576
697,791
698,393
699,807
700,312
701,461
702,159
703,630
704,349
705,722
706,302
707,392
708,55
709,805
710,449
711,1088
712,285
713,251
714,110
715,1304
716,410
717,763
718,749
719,740
720,283
721,530
722,310
723,96
724,160
725,910
726,107
727,336
728,170
729,77
730,75
731,226
732,161
733,328
734,77
735,143
736,42
737,521
738,89
739,229
740,256
