id,forecastVolum
1,269
2,321
3,152
4,190
5,387
6,186
7,454
8,187
9,2373
10,326
11,693
12,183
13,318
14,352
15,641
16,376
17,328
18,302
19,603
20,115
21,310
22,259
23,336
24,322
25,229
26,177
27,644
28,423
29,1014
30,315
31,7406
32,693
33,1426
34,418
35,830
36,789
37,1266
38,670
39,565
40,911
41,1191
42,238
43,411
44,524
45,140
46,289
47,191
48,229
49,377
50,140
51,368
52,151
53,1362
54,179
55,392
56,117
57,347
58,312
59,389
60,244
61,237
62,114
63,445
64,138
65,248
66,223
67,161
68,266
69,123
70,103
71,425
72,259
73,463
74,166
75,3445
76,395
77,890
78,310
79,408
80,500
81,1188
82,527
83,480
84,558
85,443
86,134
87,252
88,199
89,206
90,2979
91,427
92,104
93,1300
94,1569
95,3760
96,1473
97,1479
98,2011
99,1730
100,729
101,2918
102,4073
103,1233
104,1236
105,1414
106,420
107,869
108,241
109,1623
110,453
111,380
112,508
113,497
114,79
115,1033
116,1188
117,1963
118,520
119,6327
120,636
121,1738
122,816
123,2404
124,2802
125,1156
126,1427
127,1804
128,343
129,336
130,611
131,574
132,448
133,891
134,158
135,128
136,727
137,324
138,311
139,1134
140,231
141,904
142,108
143,1119
144,167
145,579
146,630
147,825
148,220
149,210
150,212
151,302
152,114
153,283
154,164
155,334
156,76
157,43
158,75
159,269
160,353
161,361
162,51
163,305
164,81
165,994
166,193
167,160
168,264
169,577
170,237
171,220
172,119
173,60
174,70
175,112
176,25
177,802
178,334
179,273
180,380
181,967
182,912
183,1346
184,397
185,1129
186,319
187,1479
188,796
189,729
190,1152
191,1121
192,1106
193,1255
194,447
195,303
196,386
197,404
198,168
199,618
200,322
201,284
202,87
203,1180
204,1434
205,3079
206,465
207,1209
208,468
209,3273
210,1012
211,1511
212,1952
213,1880
214,991
215,1144
216,589
217,326
218,310
219,485
220,143
221,159
222,338
223,271
224,205
225,952
226,683
227,1772
228,701
229,1307
230,604
231,1215
232,692
233,1131
234,1658
235,2341
236,736
237,1032
238,717
239,252
240,380
241,970
242,123
243,74
244,364
245,284
246,76
247,720
248,483
249,1394
250,592
251,956
252,454
253,639
254,469
255,1196
256,1083
257,688
258,507
259,690
260,296
261,395
262,265
263,668
264,226
265,134
266,820
267,426
268,76
269,1465
270,1215
271,1803
272,611
273,1119
274,586
275,1385
276,777
277,1858
278,1750
279,1152
280,996
281,982
282,487
283,320
284,375
285,738
286,516
287,405
288,1270
289,762
290,243
291,2358
292,2053
293,3222
294,806
295,2271
296,759
297,3033
298,1245
299,2414
300,4405
301,2433
302,1918
303,2081
304,804
305,1024
306,775
307,950
308,691
309,468
310,372
311,373
312,532
313,673
314,719
315,1313
316,519
317,508
318,139
319,1379
320,347
321,1341
322,1064
323,695
324,321
325,468
326,259
327,169
328,318
329,484
330,77
331,47
332,959
333,683
334,223
335,2118
336,456
337,2618
338,899
339,1374
340,417
341,699
342,411
343,2463
344,1509
345,580
346,493
347,1099
348,480
349,1089
350,227
351,718
352,1161
353,1264
354,821
355,484
356,471
357,1517
358,1984
359,3441
360,1171
361,1619
362,515
363,3282
364,1320
365,2699
366,3696
367,1682
368,1224
369,1526
370,882
371,595
372,685
373,1117
374,290
375,341
376,586
377,566
378,119
379,1092
380,991
381,3378
382,1283
383,567
384,331
385,1206
386,485
387,2573
388,1689
389,784
390,343
391,664
392,344
393,635
394,340
395,723
396,526
397,260
398,367
399,385
400,681
401,814
402,544
403,1531
404,364
405,742
406,205
407,1114
408,336
409,1372
410,1244
411,628
412,457
413,404
414,404
415,563
416,314
417,461
418,679
419,335
420,272
421,99
422,138
423,445
424,390
425,601
426,78
427,398
428,128
429,788
430,302
431,381
432,386
433,802
434,366
435,403
436,285
437,164
438,172
439,168
440,128
441,397
442,532
443,457
444,305
445,1708
446,1208
447,1762
448,516
449,1099
450,322
451,2184
452,623
453,2922
454,1886
455,1665
456,743
457,786
458,564
459,694
460,385
461,648
462,554
463,415
464,207
465,190
466,305
467,464
468,446
469,1285
470,164
471,443
472,140
473,1512
474,210
475,1110
476,821
477,1235
478,235
479,276
480,208
481,199
482,81
483,242
484,194
485,40
486,63
487,60
488,40
489,150
490,443
491,717
492,245
493,84
494,97
495,269
496,90
497,619
498,404
499,93
500,182
501,187
502,41
503,171
504,78
505,127
506,103
507,529
508,221
509,81
510,467
511,487
512,319
513,511
514,129
515,1163
516,145
517,1362
518,234
519,347
520,302
521,1230
522,358
523,305
524,381
525,213
526,222
527,195
528,59
529,320
