id,forecastVolum
1,244
2,307
3,148
4,193
5,363
6,173
7,428
8,176
9,2241
10,334
11,607
12,173
13,289
14,323
15,607
16,384
17,308
18,295
19,565
20,122
21,303
22,249
23,278
24,303
25,207
26,135
27,519
28,345
29,795
30,274
31,6203
32,586
33,1133
34,351
35,605
36,632
37,1022
38,549
39,496
40,872
41,974
42,224
43,364
44,455
45,140
46,319
47,217
48,277
49,399
50,135
51,383
52,160
53,1441
54,200
55,435
56,133
57,377
58,332
59,420
60,248
61,237
62,124
63,503
64,160
65,259
66,262
67,146
68,286
69,153
70,69
71,387
72,252
73,414
74,155
75,3771
76,400
77,836
78,319
79,375
80,485
81,1099
82,556
83,482
84,618
85,460
86,150
87,265
88,199
89,168
90,2805
91,407
92,64
93,1304
94,1495
95,3808
96,1563
97,1697
98,2103
99,1895
100,702
101,3407
102,4263
103,1269
104,1245
105,1372
106,398
107,918
108,261
109,2049
110,420
111,272
112,419
113,409
114,59
115,890
116,1090
117,1850
118,481
119,6203
120,535
121,1456
122,709
123,2019
124,2807
125,967
126,1168
127,1415
128,318
129,267
130,517
131,498
132,326
133,910
134,163
135,114
136,947
137,300
138,289
139,1032
140,230
141,817
142,105
143,917
144,156
145,512
146,595
147,705
148,208
149,165
150,176
151,269
152,119
153,284
154,160
155,383
156,102
157,45
158,56
159,283
160,445
161,373
162,69
163,390
164,108
165,1036
166,233
167,188
168,352
169,681
170,284
171,272
172,163
173,65
174,95
175,172
176,26
177,787
178,303
179,250
180,247
181,872
182,928
183,1186
184,335
185,1083
186,287
187,1271
188,920
189,673
190,1110
191,877
192,1087
193,1107
194,408
195,251
196,379
197,368
198,132
199,639
200,342
201,261
202,63
203,1146
204,1479
205,3067
206,503
207,1189
208,520
209,3129
210,1118
211,1509
212,2091
213,1613
214,1062
215,1136
216,780
217,326
218,355
219,556
220,128
221,111
222,326
223,241
224,155
225,1128
226,831
227,2006
228,764
229,1495
230,681
231,1136
232,860
233,1228
234,2046
235,2433
236,876
237,1111
238,846
239,242
240,416
241,1244
242,124
243,63
244,401
245,304
246,52
247,824
248,549
249,1385
250,706
251,1013
252,491
253,629
254,540
255,1370
256,1323
257,691
258,574
259,773
260,317
261,370
262,313
263,807
264,244
265,84
266,770
267,398
268,43
269,1169
270,983
271,1871
272,629
273,986
274,526
275,1004
276,779
277,1701
278,1849
279,878
280,846
281,810
282,406
283,234
284,397
285,663
286,407
287,304
288,1418
289,861
290,187
291,2572
292,2171
293,4252
294,929
295,2673
296,815
297,3326
298,1436
299,2568
300,4216
301,2131
302,2088
303,2223
304,873
305,1071
306,815
307,1078
308,548
309,463
310,377
311,386
312,595
313,676
314,813
315,1305
316,559
317,455
318,138
319,1253
320,336
321,1282
322,1139
323,629
324,310
325,438
326,254
327,145
328,352
329,463
330,70
331,32
332,1123
333,703
334,158
335,1951
336,343
337,2475
338,960
339,1699
340,373
341,577
342,339
343,2221
344,1732
345,536
346,432
347,1073
348,431
349,1095
350,233
351,731
352,1135
353,1163
354,691
355,375
356,276
357,1328
358,1482
359,2675
360,837
361,1093
362,372
363,2553
364,1173
365,2486
366,3287
367,1188
368,980
369,1303
370,689
371,416
372,578
373,938
374,216
375,277
376,635
377,589
378,77
379,1176
380,1055
381,3364
382,1478
383,610
384,278
385,1137
386,402
387,2719
388,1814
389,660
390,315
391,622
392,336
393,689
394,362
395,834
396,552
397,209
398,356
399,358
400,602
401,794
402,470
403,1414
404,309
405,784
406,179
407,999
408,281
409,1248
410,1283
411,585
412,397
413,359
414,359
415,548
416,308
417,421
418,676
419,335
420,267
421,100
422,136
423,407
424,387
425,547
426,74
427,456
428,129
429,769
430,295
431,383
432,375
433,787
434,340
435,363
436,290
437,158
438,179
439,161
440,126
441,347
442,547
443,446
444,223
445,1745
446,1169
447,1833
448,490
449,1125
450,321
451,1927
452,599
453,2134
454,2036
455,1536
456,792
457,718
458,536
459,711
460,351
461,692
462,546
463,447
464,220
465,208
466,249
467,462
468,474
469,1198
470,179
471,474
472,139
473,1494
474,233
475,1074
476,856
477,1135
478,264
479,275
480,233
481,223
482,87
483,266
484,206
485,43
486,72
487,70
488,35
489,191
490,494
491,854
492,303
493,121
494,115
495,263
496,95
497,721
498,456
499,88
500,224
501,211
502,52
503,188
504,93
505,144
506,116
507,560
508,224
509,84
510,509
511,539
512,336
513,494
514,119
515,1094
516,151
517,1277
518,250
519,352
520,321
521,1225
522,354
523,294
524,402
525,227
526,244
527,224
528,58
529,279
530,166
531,84
532,179
533,351
534,195
535,303
536,78
537,494
538,102
539,661
540,143
541,182
542,175
543,588
544,262
545,195
546,233
547,115
548,134
549,139
550,48
551,472
552,245
553,98
554,604
555,441
556,242
557,438
558,130
559,966
560,145
561,912
562,183
563,261
564,265
565,827
566,351
567,244
568,313
569,219
570,209
571,202
572,72
573,140
574,43
575,23
576,98
577,96
578,70
579,156
580,26
581,147
582,25
583,348
584,34
585,99
586,75
587,329
588,56
589,48
590,39
591,55
592,33
593,50
594,17
595,493
596,194
597,137
598,408
599,512
600,350
601,524
602,133
603,795
604,129
605,1106
606,230
607,375
608,363
609,1332
610,359
611,350
612,251
613,351
614,188
615,283
616,114
617,416
618,194
619,158
620,209
621,412
622,305
623,511
624,143
625,763
626,145
627,958
628,229
629,344
630,313
631,1143
632,391
633,339
634,291
635,163
636,127
637,178
638,80
639,434
640,233
641,138
642,761
643,479
644,293
645,535
646,128
647,1175
648,177
649,992
650,249
651,380
652,362
653,1143
654,414
655,404
656,274
657,316
658,183
659,289
660,115
661,451
662,243
663,67
664,429
665,447
666,346
667,405
668,70
669,1075
670,141
671,1025
672,182
673,308
674,338
675,1296
676,279
677,345
678,296
679,181
680,212
681,192
682,62
683,205
684,608
685,141
686,65
687,371
688,996
689,2009
690,458
691,3567
692,2292
693,1460
694,440
695,1251
696,3722
697,901
698,423
699,879
700,320
701,497
702,165
703,709
704,357
705,796
706,348
707,456
708,62
709,855
710,473
711,1223
712,314
713,264
714,110
715,1431
716,443
717,787
718,772
719,793
720,325
721,537
722,359
723,95
724,174
725,988
726,109
727,430
728,189
729,74
730,79
731,249
732,171
733,374
734,86
735,161
736,52
737,549
738,94
739,243
740,286
741,357
742,91
743,173
744,106
745,44
746,115
747,158
748,40
749,158
750,80
751,86
752,380
753,378
754,217
755,666
756,170
757,1655
758,302
759,657
760,264
761,420
762,271
763,601
764,491
765,399
766,550
767,226
768,333
769,180
770,67
771,141
772,294
773,375
774,373
775,622
776,212
777,651
778,254
779,1457
780,259
781,449
782,261
783,693
784,525
785,497
786,987
787,469
788,306
789,534
790,393
791,440
792,270
793,103
794,221
795,157
796,53
797,460
798,297
799,475
800,153
801,1115
802,254
803,744
804,409
805,384
806,511
807,762
808,318
809,415
810,325
811,257
812,186
813,127
814,104
815,195
816,225
817,280
818,144
819,695
820,409
821,1800
822,627
823,5573
824,1400
825,1437
826,871
827,1427
828,1386
829,978
830,756
831,1159
832,996
833,1192
834,396
835,304
836,391
837,212
838,392
839,287
840,309
841,389
842,432
843,948
844,372
845,2182
846,316
847,702
848,343
849,741
850,1034
851,662
852,1144
853,685
854,593
855,632
856,195
857,415
858,457
859,136
860,273
861,196
862,103
863,329
864,339
865,558
866,239
867,1701
868,268
869,764
870,296
871,440
872,637
873,736
874,681
875,333
876,370
877,305
878,141
879,237
880,219
881,143
882,13
883,21
884,148
885,29
886,43
887,223
888,75
889,646
890,15
891,264
892,24
893,192
894,118
895,316
896,37
897,25
898,49
899,96
900,14
901,18
902,32
903,166
904,246
905,101
906,85
907,320
908,236
909,604
910,164
911,2521
912,234
913,561
914,238
915,443
916,355
917,667
918,455
919,351
920,452
921,281
922,141
923,152
924,129
925,246
926,95
927,123
928,238
929,291
930,267
931,654
932,283
933,1812
934,96
935,682
936,167
937,543
938,472
939,912
940,408
941,376
942,346
943,626
944,109
945,174
946,308
947,208
948,58
949,47
950,239
951,218
952,98
953,217
954,35
955,318
956,31
957,199
958,54
959,126
960,118
961,98
962,114
963,109
964,89
965,81
966,104
967,105
968,46
969,190
970,126
971,88
972,19
973,268
974,594
975,685
976,149
977,664
978,88
979,840
980,467
981,420
982,746
983,989
984,383
985,346
986,286
987,65
988,41
989,118
990,48
991,15
992,114
993,93
994,60
995,272
996,296
997,465
998,18
999,285
1000,81
1001,335
1002,244
1003,283
1004,360
1005,404
1006,345
1007,381
1008,193
1009,147
1010,22
1011,253
1012,78
1013,257
1014,126
1015,41
1016,87
1017,669
1018,629
1019,757
1020,119
1021,1078
1022,188
1023,1610
1024,461
1025,460
1026,1476
1027,1257
1028,467
1029,501
1030,431
1031,126
1032,319
1033,242
1034,62
1035,31
1036,241
1037,426
1038,22
1039,542
1040,354
1041,1616
1042,948
1043,432
1044,367
1045,330
1046,238
1047,1672
1048,883
1049,435
1050,227
1051,359
1052,312
1053,606
1054,103
1055,387
1056,394
1057,294
1058,302
1059,191
1060,204
1061,573
1062,884
1063,859
1064,195
1065,779
1066,162
1067,1060
1068,599
1069,816
1070,1253
1071,1409
1072,578
1073,510
1074,364
1075,125
1076,256
1077,383
1078,84
1079,118
1080,153
1081,38
1082,33
1083,280
1084,280
1085,492
1086,77
1087,407
1088,114
1089,603
1090,184
1091,491
1092,450
1093,485
1094,192
1095,159
1096,210
1097,59
1098,99
1099,141
1100,43
1123,389
1124,222
1125,44
1126,62
1127,585
1128,588
1129,488
1130,58
1131,1425
1132,246
1133,1155
1134,357
1135,384
1136,587
1137,980
1138,404
1139,412
1140,521
1141,94
1142,376
1143,185
1144,54
1145,243
1146,302
1147,158
1148,289
1149,485
1150,203
1151,519
1152,135
1153,1073
1154,152
1155,446
1156,146
1157,424
1158,427
1159,358
1160,251
1161,323
1162,157
1163,219
1164,348
1165,223
1166,212
1167,246
1168,326
1169,141
1170,62
1171,739
1172,1082
1173,1014
1174,291
1175,1010
1176,411
1177,1146
1178,457
1179,749
1180,1691
1181,646
1182,382
1183,795
1184,467
1185,133
1186,426
1187,768
1188,87
1189,31
1190,83
1191,137
1192,24
1193,130
1194,164
1195,425
1196,82
1197,46
1198,20
1199,106
1200,121
1201,215
1202,374
1203,70
1204,168
1205,560
1206,26
1207,63
1208,103
1209,358
1210,94
1211,79
1212,447
1213,386
1214,67
1215,1168
1216,450
1217,897
1218,655
1219,668
1220,257
1221,668
1222,364
1223,1185
1224,1106
1225,463
1226,344
1227,599
1228,213
1229,133
1230,835
1231,785
1232,116
1233,262
1234,753
1235,553
1236,113
1237,1628
1238,673
1239,949
1240,524
1241,1231
1242,278
1243,1284
1244,374
1245,1011
1246,1627
1247,1126
1248,590
1249,1033
1250,338
1251,184
1252,1344
1253,828
1254,176
1255,26
1256,751
1257,49
1258,128
1259,421
1260,115
1261,356
1262,111
1263,481
1264,27
1265,454
1266,59
1267,519
1268,505
1269,317
1270,321
1271,236
1272,95
1273,160
1274,490
1275,170
1276,33
1277,106
1278,196
1279,145
1280,85
1281,674
1282,274
1283,444
1284,200
1285,380
1286,185
1287,488
1288,168
1289,690
1290,589
1291,320
1292,79
1293,293
1294,142
1295,37
1296,753
1297,538
1298,22
1299,659
1300,96
1301,83
1302,25
1303,565
1304,485
1305,513
1306,192
1307,529
1308,194
1309,936
1310,428
1311,405
1312,1078
1313,458
1314,403
1315,492
1316,145
1317,56
1318,89
1319,256
1320,18
1321,119
1322,98
1323,74
1324,55
1325,229
1326,182
1327,168
1328,34
1329,573
1330,181
1331,381
1332,94
1333,116
1334,134
1335,342
1336,221
1337,317
1338,113
1339,94
1340,129
1341,274
1342,55
1343,148
1344,174
1345,103
1346,143
1347,215
1348,106
1349,274
1350,117
1351,1925
1352,197
1353,400
1354,107
1355,185
1356,190
1357,372
1358,244
1359,172
1360,179
1361,399
1362,84
1363,182
1364,158
1365,243
1366,237
1367,148
1368,125
1369,374
1370,255
1371,626
1372,243
1373,6143
1374,509
1375,1021
1376,278
1377,465
1378,541
1379,877
1380,406
1381,359
1382,724
1383,847
1384,162
1385,287
1386,361
1387,96
1388,182
1389,129
1390,210
1391,232
1392,91
1393,224
1394,103
1395,1024
1396,118
1397,246
1398,90
1399,228
1400,203
1401,230
1402,158
1403,146
1404,87
1405,304
1406,102
1407,148
1408,152
1409,108
1410,182
1411,108
1412,61
1413,241
1414,150
1415,280
1416,111
1417,3619
1418,277
1419,615
1420,213
1421,278
1422,336
1423,833
1424,354
1425,340
1426,388
1427,330
1428,104
1429,169
1430,138
1431,117
1432,1739
1433,308
1434,55
1435,827
1436,905
1437,2841
1438,941
1439,1087
1440,1123
1441,1045
1442,426
1443,2246
1444,2881
1445,838
1446,714
1447,873
1448,322
1449,575
1450,168
1451,1025
1452,343
1453,155
1454,227
1455,257
1456,43
1457,436
1458,707
1459,1081
1460,276
1461,5034
1462,302
1463,897
1464,346
1465,1596
1466,2045
1467,588
1468,718
1469,870
1470,211
1471,176
1472,301
1473,275
1474,228
1475,733
1476,121
1477,100
1478,791
1479,211
1480,225
1481,786
1482,153
1483,650
1484,87
1485,729
1486,117
1487,421
1488,435
1489,520
1490,146
1491,124
1492,130
1493,214
1494,99
1495,221
1496,129
1497,311
1498,85
1499,44
1500,51
1501,180
1502,293
1503,242
1504,60
1505,228
1506,82
1507,781
1508,130
1509,124
1510,201
1511,488
1512,185
1513,164
1514,105
1515,54
1516,80
1517,104
1518,22
1519,506
1520,168
1521,144
1522,189
1523,421
1524,421
1525,693
1526,199
1527,672
1528,165
1529,806
1530,430
1531,359
1532,681
1533,527
1534,686
1535,612
1536,242
1537,134
1538,195
1539,212
1540,81
1541,528
1542,227
1543,201
1544,59
1545,859
1546,1120
1547,2060
1548,447
1549,861
1550,434
1551,2323
1552,842
1553,1249
1554,1506
1555,1271
1556,805
1557,857
1558,611
1559,256
1560,253
1561,477
1562,120
1563,82
1564,201
1565,146
1566,158
1567,605
1568,444
1569,1104
1570,402
1571,894
1572,392
1573,729
1574,448
1575,728
1576,1122
1577,1514
1578,459
1579,586
1580,454
1581,147
1582,264
1583,768
1584,94
1585,47
1586,249
1587,194
1588,45
1589,463
1590,347
1591,920
1592,436
1593,591
1594,286
1595,382
1596,322
1597,964
1598,775
1599,446
1600,345
1601,436
1602,211
1603,228
1604,206
1605,458
1606,162
1607,61
1608,403
1609,243
1610,33
1611,737
1612,572
1613,1057
1614,377
1615,576
1616,315
1617,652
1618,412
1619,1149
1620,1000
1621,537
1622,452
1623,408
1624,239
1625,147
1626,212
1627,364
1628,294
1629,209
1630,905
1631,525
1632,157
1633,1344
1634,1028
1635,2760
1636,532
1637,1555
1638,405
1639,2063
1640,725
1641,1731
1642,2702
1643,1289
1644,1029
1645,1054
1646,449
1647,720
1648,405
1649,639
1650,387
1651,379
1652,281
1653,333
1654,567
1655,442
1656,469
1657,979
1658,413
1659,335
1660,100
1661,970
1662,215
1663,995
1664,837
1665,409
1666,202
1667,259
1668,183
1669,115
1670,240
1671,359
1672,57
1673,29
1674,746
1675,427
1676,137
1677,1564
1678,242
1679,1959
1680,624
1681,1236
1682,287
1683,402
1684,220
1685,1941
1686,1071
1687,363
1688,288
1689,795
1690,304
1691,849
1692,136
1693,406
1694,924
1695,864
1696,491
1697,314
1698,263
1699,1048
1700,1028
1701,1937
1702,693
1703,876
1704,297
1705,2085
1706,841
1707,1772
1708,2074
1709,1000
1710,713
1711,1045
1712,607
1713,359
1714,420
1715,731
1716,174
1717,207
1718,365
1719,373
1720,67
1721,749
1722,556
1723,2454
1724,966
1725,375
1726,192
1727,652
1728,223
1729,2290
1730,1177
1731,398
1732,193
1733,332
1734,185
1735,418
1736,210
1737,411
1738,374
1739,155
1740,264
1741,317
1742,597
1743,476
1744,352
1745,1074
1746,255
1747,468
1748,122
1749,777
1750,193
1751,1031
1752,1009
1753,409
1754,307
1755,263
1756,248
1757,425
1758,228
1759,294
1760,585
1761,257
1762,173
1763,78
1764,98
1765,293
1766,287
1767,383
1768,57
1769,330
1770,91
1771,532
1772,213
1773,294
1774,276
1775,573
1776,248
1777,281
1778,198
1779,117
