id,forecastVolum
1,259
2,283
3,137
4,249
5,400
6,138
7,392
8,137
9,2827
10,351
11,634
12,137
13,279
14,279
15,587
16,407
17,288
18,259
19,665
20,78
21,279
22,288
23,401
24,382
25,288
26,283
27,728
28,511
29,1303
30,401
31,3851
32,930
33,1751
34,459
35,917
36,966
37,1751
38,930
39,728
40,1446
41,1613
42,279
43,480
44,739
45,113
46,279
47,154
48,303
49,351
50,79
51,342
52,113
53,1462
54,154
55,382
56,75
57,342
58,279
59,377
60,158
61,154
62,69
63,463
64,98
65,184
66,249
67,184
68,382
69,154
70,126
71,511
72,288
73,472
74,167
75,3851
76,511
77,1111
78,382
79,455
80,569
81,1462
82,686
83,554
84,728
85,665
86,137
87,303
88,283
89,212
90,2927
91,480
92,96
93,1354
94,1613
95,3077
96,1613
97,1613
98,2099
99,2099
100,860
101,3077
102,3077
103,1612
104,1315
105,1462
106,455
107,1228
108,279
109,1917
110,554
111,387
112,480
113,491
114,26
115,1111
116,1315
117,2344
118,545
119,3851
120,608
121,1613
122,882
123,2827
124,3011
125,1354
126,1315
127,1613
128,382
129,382
130,513
131,513
132,480
133,1228
134,114
135,96
136,1315
137,321
138,321
139,1298
140,279
141,905
142,52
143,1228
144,114
145,544
146,673
147,882
148,212
149,127
150,156
151,351
152,99
153,286
154,184
155,491
156,89
157,22
158,58
159,279
160,480
161,373
162,33
163,387
164,84
165,1434
166,249
167,187
168,346
169,860
170,312
171,288
172,137
173,26
174,58
175,126
176,22
177,1111
178,346
179,342
180,463
181,1012
182,1228
183,1563
184,442
185,1228
186,351
187,1612
188,1111
189,828
190,1315
191,1228
192,1244
193,1315
194,463
195,351
196,434
197,393
198,156
199,1315
200,543
201,523
202,96
203,1751
204,2612
205,3851
206,1012
207,1751
208,966
209,3851
210,1613
211,2860
212,3851
213,3077
214,1613
215,1812
216,1244
217,569
218,543
219,905
220,225
221,156
222,351
223,351
224,434
225,1244
226,871
227,2099
228,1028
229,1612
230,665
231,1446
232,988
233,1462
234,2116
235,2927
236,1063
237,1244
238,1012
239,346
240,422
241,1354
242,137
243,42
244,414
245,382
246,47
247,882
248,554
249,1563
250,849
251,1017
252,480
253,673
254,491
255,1612
256,1563
257,860
258,554
259,860
260,316
261,434
262,312
263,849
264,342
265,89
266,860
267,480
268,33
269,1563
270,1228
271,1917
272,860
273,1192
274,576
275,1446
276,953
277,2361
278,1917
279,1192
280,1228
281,1012
282,463
283,342
284,434
285,683
286,491
287,392
288,1563
289,1228
290,346
291,2860
292,2116
293,3851
294,1228
295,2860
296,988
297,3851
298,1446
299,3077
300,3851
301,2860
302,2099
303,2116
304,976
305,1446
306,976
307,1228
308,849
309,491
310,401
311,452
312,849
313,728
314,953
315,1446
316,673
317,434
318,114
319,1612
320,382
321,1563
322,1228
323,665
324,288
325,543
326,244
327,137
328,382
329,480
330,47
331,22
332,1315
333,976
334,351
335,2860
336,480
337,3077
338,1228
339,2099
340,459
341,673
342,434
343,3077
344,2116
345,665
346,511
347,1315
348,480
349,1612
350,259
351,860
352,1613
353,2927
354,1228
355,642
356,882
357,2116
358,2612
359,3077
360,1613
361,1917
362,522
363,3851
364,1785
365,3077
366,3077
367,2116
368,1613
369,2116
370,1303
371,860
372,917
373,1463
374,382
375,382
376,665
377,761
378,116
379,1354
380,1232
381,3077
382,1917
383,491
384,283
385,1612
386,491
387,3851
388,2116
389,953
390,382
391,673
392,392
393,905
394,392
395,976
396,761
397,279
398,392
399,480
400,1028
401,976
402,554
403,1613
404,401
405,828
406,156
407,1337
408,307
409,1613
410,1563
411,665
412,480
413,418
414,382
415,684
416,351
417,480
418,894
419,393
420,307
421,75
422,137
423,459
424,459
425,542
426,37
427,463
428,82
429,882
430,346
431,434
432,434
433,882
434,382
435,459
436,313
437,137
438,137
439,116
440,96
441,472
442,591
443,665
444,472
445,2367
446,1613
447,2361
448,728
449,1446
450,459
451,3700
452,796
453,3851
454,2612
455,2162
456,1012
457,953
458,673
459,1063
460,463
461,882
462,894
463,761
464,351
465,283
466,554
467,728
468,728
469,1751
470,265
471,650
472,212
473,2361
474,382
475,1613
476,1342
477,1751
478,418
479,490
480,377
481,342
482,113
483,434
484,283
485,22
486,22
487,26
488,22
489,114
490,459
491,759
492,279
493,26
494,69
495,249
496,37
497,587
498,382
499,37
500,154
501,138
502,22
503,156
504,37
505,99
506,88
507,480
508,176
509,37
510,491
511,531
512,289
513,434
514,72
515,842
516,96
517,1354
518,156
519,286
520,279
521,1315
522,288
523,258
524,377
525,156
526,156
527,137
528,21
529,313
530,137
531,65
532,279
533,352
534,171
535,312
536,53
537,454
538,75
539,739
540,98
541,158
542,137
543,576
544,259
545,156
546,212
547,112
548,99
549,95
550,22
551,480
552,212
553,58
554,554
555,407
556,193
557,414
558,79
559,882
560,94
561,860
562,126
563,184
564,212
565,794
566,351
567,185
568,259
569,156
570,137
571,137
572,25
573,154
574,33
575,22
576,156
577,114
578,73
579,212
580,22
581,156
582,22
583,480
584,22
585,117
586,79
587,442
588,50
589,34
590,22
591,42
592,22
593,31
594,22
595,522
596,156
597,114
598,480
599,543
600,407
601,491
602,113
603,849
604,94
605,1315
606,249
607,392
608,382
609,1563
610,390
611,377
612,259
613,414
614,156
615,279
616,114
617,393
618,154
619,126
620,279
621,390
622,288
623,455
624,114
625,544
626,86
627,976
628,167
629,342
630,279
631,1228
632,390
633,288
634,264
635,137
636,89
637,96
638,53
639,472
640,184
641,114
642,860
643,531
644,297
645,491
646,96
647,1228
648,137
649,1116
650,249
651,387
652,352
653,1303
654,390
655,407
656,264
657,382
658,156
659,259
660,126
661,491
662,196
663,37
664,491
665,511
666,390
667,414
668,37
669,1303
670,114
671,1342
672,154
673,342
674,346
675,1613
676,274
677,369
678,303
679,167
680,184
681,156
682,53
683,286
684,650
685,154
686,85
687,459
688,1228
689,2116
690,542
691,3077
692,2860
693,1917
694,480
695,1612
696,3077
697,1228
698,542
699,1012
700,351
701,591
702,137
703,849
704,480
705,976
706,346
707,472
708,47
709,966
710,480
711,1303
712,316
713,187
714,81
715,1613
716,442
717,851
718,849
719,860
720,321
721,531
722,342
723,89
724,126
725,976
726,96
727,351
728,137
729,37
730,58
731,259
732,137
733,377
734,47
735,69
736,22
737,480
738,47
739,258
740,259
741,346
742,36
743,137
744,53
745,22
746,69
747,114
748,22
749,154
750,47
751,53
752,463
753,390
754,165
755,620
756,137
757,1613
758,307
759,706
760,249
761,434
762,259
763,576
764,480
765,407
766,554
767,259
768,290
769,137
770,53
771,156
772,303
773,452
774,554
775,728
776,188
777,782
778,313
779,1613
780,307
781,491
782,287
783,828
784,491
785,513
786,1244
787,554
788,342
789,761
790,434
791,472
792,382
793,89
794,156
795,137
796,26
797,390
798,249
799,392
800,113
801,1111
802,196
803,650
804,351
805,342
806,392
807,618
808,263
809,418
810,279
811,259
812,128
813,99
814,95
815,351
816,351
817,442
818,351
819,1228
820,632
821,2927
822,1228
823,3851
824,2116
825,2612
826,1315
827,2361
828,2116
829,1613
830,1228
831,1613
832,1612
833,2116
834,491
835,442
836,860
837,264
838,393
839,382
840,463
841,480
842,490
843,1298
844,434
845,3077
846,346
847,905
848,382
849,905
850,1232
851,860
852,1354
853,728
854,576
855,860
856,244
857,434
858,543
859,137
860,279
861,156
862,137
863,390
864,407
865,650
866,264
867,2344
868,259
869,976
870,303
871,463
872,665
873,860
874,796
875,407
876,434
877,393
878,99
879,184
880,259
881,125
882,22
883,22
884,137
885,22
886,18
887,251
888,37
889,491
890,22
891,279
892,22
893,156
894,81
895,313
896,22
897,22
898,22
899,61
900,22
901,22
902,22
903,244
904,303
905,96
906,139
907,390
908,268
909,733
910,212
911,3077
912,283
913,786
914,279
915,455
916,392
917,905
918,480
919,459
920,491
921,392
922,126
923,116
924,156
925,342
926,76
927,156
928,382
929,352
930,312
931,882
932,351
933,2612
934,79
935,917
936,176
937,786
938,491
939,1303
940,480
941,531
942,382
943,905
944,99
945,184
946,452
947,249
948,22
949,22
950,279
951,184
952,44
953,178
954,22
955,259
956,22
957,156
958,22
959,76
960,47
961,42
962,55
963,58
964,33
965,37
966,53
967,37
968,22
969,117
970,47
971,22
972,22
973,156
974,459
975,455
976,82
977,429
978,22
979,782
980,382
981,312
982,491
983,905
984,283
985,245
986,155
987,22
988,22
989,23
990,22
991,22
992,22
993,22
994,22
995,154
996,244
997,434
998,22
999,158
1000,22
1001,434
1002,139
1003,383
1004,454
1005,474
1006,212
1007,295
1008,89
1009,76
1010,22
1011,129
1012,53
1013,342
1014,69
1015,22
1016,116
1017,728
1018,591
1019,860
1020,98
1021,1228
1022,156
1023,2116
1024,463
1025,455
1026,1612
1027,1462
1028,459
1029,511
1030,434
1031,139
1032,303
1033,215
1034,37
1035,22
1036,176
1037,434
1038,22
1039,683
1040,321
1041,1751
1042,1111
1043,454
1044,307
1045,434
1046,184
1047,2612
1048,1111
1049,377
1050,184
1051,351
1052,279
1053,576
1054,82
1055,455
1056,463
1057,434
1058,307
1059,259
1060,346
1061,608
1062,1012
1063,1076
1064,259
1065,905
1066,156
1067,1446
1068,491
1069,1076
1070,1462
1071,1751
1072,542
1073,531
1074,387
1075,168
1076,279
1077,392
1078,96
1079,116
1080,158
1081,22
1082,22
1083,352
1084,322
1085,513
1086,47
1087,449
1088,114
1089,882
1090,196
1091,491
1092,491
1093,491
1094,196
1095,167
1096,249
1097,47
1098,99
1099,137
1100,22
1123,434
1124,215
1125,22
1126,69
1127,632
1128,591
1129,455
1130,22
1131,1462
1132,216
1133,1315
1134,351
1135,387
1136,491
1137,1228
1138,401
1139,418
1140,472
1141,58
1142,377
1143,137
1144,22
1145,249
1146,259
1147,98
1148,346
1149,459
1150,137
1151,455
1152,84
1153,1028
1154,86
1155,434
1156,89
1157,409
1158,392
1159,313
1160,184
1161,290
1162,89
1163,168
1164,287
1165,156
1166,196
1167,279
1168,316
1169,156
1170,84
1171,849
1172,1315
1173,1228
1174,321
1175,1228
1176,452
1177,1462
1178,480
1179,894
1180,1785
1181,741
1182,392
1183,1012
1184,455
1185,168
1186,434
1187,930
1188,96
1189,22
1190,22
1191,98
1192,22
1193,66
1194,96
1195,342
1196,33
1197,22
1198,22
1199,61
1200,76
1201,158
1202,303
1203,22
1204,96
1205,480
1206,22
1207,22
1208,37
1209,279
1210,69
1211,76
1212,455
1213,463
1214,99
1215,1354
1216,480
1217,1017
1218,849
1219,650
1220,259
1221,860
1222,392
1223,1462
1224,1303
1225,455
1226,352
1227,623
1228,249
1229,186
1230,894
1231,805
1232,156
1233,434
1234,860
1235,654
1236,279
1237,1785
1238,796
1239,1111
1240,491
1241,1446
1242,351
1243,1613
1244,455
1245,1228
1246,1751
1247,1446
1248,577
1249,1244
1250,434
1251,259
1252,1462
1253,953
1254,259
1255,22
1256,676
1257,22
1258,154
1259,401
1260,39
1261,312
1262,42
1263,434
1264,22
1265,442
1266,22
1267,454
1268,463
1269,279
1270,279
1271,154
1272,31
1273,96
1274,472
1275,98
1276,22
1277,58
1278,113
1279,98
1280,47
1281,564
1282,259
1283,342
1284,126
1285,264
1286,96
1287,483
1288,98
1289,513
1290,480
1291,249
1292,22
1293,220
1294,89
1295,22
1296,1076
1297,455
1298,22
1299,1063
1300,53
1301,53
1302,22
1303,699
1304,480
1305,455
1306,184
1307,465
1308,158
1309,1111
1310,434
1311,429
1312,1232
1313,455
1314,382
1315,480
1316,99
1317,22
1318,53
1319,244
1320,22
1321,82
1322,33
1323,22
1324,22
1325,137
1326,96
1327,99
1328,22
1329,429
1330,96
1331,346
1332,23
1333,53
1334,69
1335,259
1336,154
1337,248
1338,37
1339,37
1340,53
1341,212
1342,22
1343,212
1344,259
1345,94
1346,156
1347,286
1348,126
1349,342
1350,114
1351,2099
1352,268
1353,454
1354,96
1355,249
1356,259
1357,480
1358,312
1359,259
1360,259
1361,480
1362,55
1363,259
1364,225
1365,321
1366,283
1367,216
1368,156
1369,542
1370,351
1371,882
1372,295
1373,3851
1374,728
1375,1337
1376,382
1377,665
1378,741
1379,1298
1380,569
1381,531
1382,1012
1383,1128
1384,248
1385,351
1386,566
1387,75
1388,249
1389,126
1390,249
1391,312
1392,69
1393,279
1394,81
1395,1192
1396,114
1397,281
1398,53
1399,259
1400,249
1401,342
1402,126
1403,114
1404,53
1405,382
1406,73
1407,176
1408,177
1409,96
1410,265
1411,96
1412,66
1413,313
1414,249
1415,342
1416,114
1417,3077
1418,351
1419,786
1420,290
1421,342
1422,401
1423,1111
1424,511
1425,418
1426,531
1427,418
1428,86
1429,212
1430,188
1431,156
1432,2645
1433,382
1434,43
1435,1063
