id,forecastVolum
1,256
2,365
3,170
4,333
5,390
6,201
7,452
8,210
9,2286
10,378
11,724
12,210
13,292
14,375
15,582
16,444
17,342
18,296
19,589
20,135
21,287
22,271
23,236
24,280
25,128
26,199
27,556
28,268
29,852
30,242
31,6155
32,769
33,1526
34,375
35,560
36,677
37,1190
38,661
39,614
40,873
41,1132
42,172
43,300
44,439
45,154
46,316
47,245
48,458
49,416
50,174
51,423
52,174
53,1479
54,221
55,469
56,154
57,388
58,377
59,390
60,312
61,298
62,150
63,487
64,195
65,293
66,277
67,95
68,187
69,69
70,66
71,330
72,249
73,302
74,85
75,2907
76,322
77,746
78,236
79,306
80,420
81,855
82,461
83,443
84,386
85,333
86,108
87,169
88,103
89,180
90,3411
91,458
92,46
93,1513
94,1832
95,3466
96,1625
97,1431
98,2242
99,1956
100,1080
101,3308
102,4386
103,1158
104,1517
105,1913
106,459
107,870
108,336
109,1681
110,463
111,305
112,452
113,469
114,77
115,1117
116,1355
117,1792
118,514
119,5057
120,741
121,1631
122,883
123,2053
124,2788
125,920
126,1366
127,1527
128,334
129,258
130,605
131,551
132,320
133,1092
134,180
135,123
136,1203
137,284
138,340
139,992
140,232
141,910
142,135
143,1103
144,170
145,670
146,732
147,756
148,239
149,187
150,168
151,262
152,96
153,296
154,153
155,302
156,78
157,22
158,58
159,205
160,331
161,297
162,32
163,183
164,78
165,690
166,164
167,113
168,225
169,424
170,198
171,193
172,84
173,27
174,60
175,103
176,12
177,802
178,342
179,242
180,491
181,953
182,926
183,1077
184,309
185,895
186,310
187,1286
188,759
189,653
190,1059
191,865
192,1019
193,1034
194,427
195,227
196,301
197,362
198,117
199,681
200,269
201,184
202,19
203,1181
204,1523
205,2274
206,369
207,939
208,485
209,2623
210,1147
211,1262
212,2079
213,1466
214,1111
215,1195
216,606
217,180
218,226
219,435
220,72
221,106
222,312
223,200
224,234
225,1013
226,795
227,1583
228,485
229,937
230,592
231,911
232,796
233,1045
234,1933
235,1278
236,832
237,968
238,537
239,147
240,415
241,914
242,76
243,72
244,434
245,315
246,63
247,744
248,539
249,1208
250,612
251,730
252,467
253,525
254,522
255,1241
256,1301
257,471
258,527
259,700
260,260
261,284
262,315
263,730
264,189
265,189
266,964
267,541
268,98
269,1482
270,1213
271,1773
272,752
273,977
274,697
275,1305
276,929
277,1647
278,1898
279,1034
280,1056
281,1076
282,508
283,340
284,487
285,894
286,471
287,347
288,1188
289,744
290,115
291,2302
292,2045
293,2919
294,786
295,1692
296,799
297,2612
298,1306
299,2353
300,4071
301,1560
302,1713
303,2017
304,640
305,834
306,755
307,932
308,552
309,693
310,461
311,477
312,957
313,785
314,897
315,1246
316,799
317,421
318,216
319,1431
320,403
321,1405
322,1149
323,660
324,425
325,498
326,330
327,248
328,459
329,600
330,134
331,53
332,918
333,569
334,137
335,1675
336,281
337,2132
338,683
339,1087
340,396
341,466
342,291
343,2053
344,1549
345,298
346,391
347,1123
348,271
349,797
350,171
351,545
352,860
353,1346
354,712
355,269
356,213
357,1498
358,1557
359,2273
360,800
361,787
362,357
363,2380
364,1044
365,2269
366,2760
367,1014
368,1058
369,1295
370,579
371,237
372,547
373,837
374,113
375,231
376,450
377,465
378,41
379,969
380,770
381,2377
382,1082
383,274
384,278
385,984
386,445
387,2295
388,1672
389,375
390,230
391,500
392,199
393,472
394,261
395,685
396,387
397,329
