iter	RMSE
0	1.273882977
1	1.229765364
2	1.188481297
3	1.150448245
4	1.114996433
5	1.081991081
6	1.05156514
7	1.024623737
8	0.9967255859
9	0.9716697713
10	0.9487391396
11	0.9275939218
12	0.9078087125
13	0.8900115953
14	0.8734033057
15	0.8582488448
16	0.8434288867
17	0.8300014103
18	0.8174532944
19	0.8061445051
20	0.795538348
21	0.7856480556
22	0.7761278149
23	0.7677606139
24	0.7599180084
25	0.7524773383
26	0.7441637269
27	0.737487089
28	0.7319518265
29	0.7211963794
30	0.7098792578
31	0.699381607
32	0.6898764728
33	0.680959814
34	0.6730073951
35	0.6658586665
36	0.6587450575
37	0.6522686948
38	0.6458134582
39	0.6405447484
40	0.6354907487
41	0.6305619747
42	0.6260950797
43	0.6221116652
44	0.6177321698
45	0.6139356273
46	0.6105710305
47	0.6074569028
48	0.6044698924
49	0.6019824057
50	0.5995912848
51	0.5971967967
52	0.5921107494
53	0.590359718
54	0.588733544
55	0.584948169
56	0.5832879652
57	0.5830512981
58	0.578459352
59	0.5767238172
60	0.5747836023
61	0.5731149423
62	0.571541961
63	0.5704642323
64	0.565999571
65	0.5631134648
66	0.5590446126
67	0.5580446837
68	0.5577660219
69	0.5569166417
70	0.5558665144
71	0.5531919804
72	0.5522574712
73	0.5503749797
74	0.5480781842
75	0.5477311321
76	0.5472126887
77	0.5465617814
78	0.5420526477
79	0.5414377597
80	0.5407051251
81	0.5401469479
82	0.5401259456
83	0.5389774139
84	0.5371843214
85	0.5370972524
86	0.5364045697
87	0.5358718356
88	0.5352268917
89	0.5349534433
90	0.5344148779
91	0.5338886928
92	0.5326973453
93	0.5314162581
94	0.5310831838
95	0.5298884483
96	0.529381791
97	0.5277182107
98	0.5275960216
99	0.5249476126
100	0.524675547
101	0.5246722912
102	0.524408065
103	0.5241604555
104	0.5241435364
105	0.5241413598
106	0.5235795047
107	0.5235777209
108	0.5235341938
109	0.5219904122
110	0.5219552198
111	0.5218372677
112	0.5218353281
113	0.5218187731
114	0.5218165553
115	0.5218157372
116	0.5198052117
117	0.5197998233
118	0.5195924364
119	0.519473567
120	0.5194122957
121	0.5193909139
122	0.5193806707
123	0.5192306699
124	0.5181122533
125	0.5144290938
126	0.5144154462
127	0.51441519
128	0.5144149587
129	0.5141551007
130	0.5134188849
131	0.5122969339
132	0.5118614208
133	0.5118256875
134	0.5116534302
135	0.5116533077
136	0.5113073114
137	0.5113072009
138	0.5105145703
139	0.5101340252
140	0.5100674407
141	0.5096063844
142	0.5096052569
143	0.5059137231
144	0.5056400071
145	0.5053629321
146	0.5053628848
147	0.5053623811
