iter	Passed	Remaining
0	132	264255
1	170	170565
2	206	137629
3	259	129450
4	287	114799
5	329	109562
6	355	101120
7	366	91334
8	405	89811
9	444	88505
10	481	87085
11	515	85481
12	548	83790
13	573	81295
14	595	78836
15	613	76125
16	655	76409
17	698	76894
18	733	76449
19	770	76298
20	815	76829
21	854	76839
22	890	76539
23	916	75453
24	952	75254
25	986	74888
26	1026	75027
27	1063	74902
28	1104	75049
29	1137	74718
30	1175	74650
31	1209	74354
32	1243	74103
33	1282	74174
34	1306	73341
35	1334	72796
36	1367	72569
37	1401	72349
38	1439	72396
39	1476	72371
40	1517	72523
41	1554	72472
42	1592	72498
43	1631	72509
44	1669	72545
45	1704	72424
46	1738	72234
47	1774	72153
48	1810	72090
49	1845	71975
50	1878	71773
51	1913	71689
52	1952	71722
53	1986	71596
54	2015	71290
55	2053	71277
56	2085	71104
57	2094	70125
58	2134	70231
59	2171	70206
60	2203	70054
61	2239	70008
62	2273	69914
63	2309	69866
64	2354	70079
65	2402	70391
66	2447	70615
67	2484	70601
68	2505	70129
69	2535	69896
70	2570	69832
71	2607	69832
72	2640	69702
73	2684	69881
74	2725	69945
75	2766	70025
76	2794	69785
77	2833	69827
78	2879	70013
79	2916	69988
80	2954	69988
81	2979	69696
82	2988	69019
83	3023	68962
84	3062	69001
85	3078	68522
86	3112	68438
87	3146	68375
88	3181	68314
89	3198	67886
90	3231	67793
91	3270	67823
92	3308	67833
93	3337	67676
94	3363	67454
95	3407	67576
96	3445	67593
97	3489	67730
98	3508	67377
99	3558	67602
100	3596	67612
101	3604	67078
102	3634	66933
103	3670	66912
104	3682	66455
105	3691	65953
106	3724	65896
107	3733	65405
108	3751	65088
109	3789	65115
110	3813	64899
111	3851	64931
112	3864	64532
113	3876	64126
114	3889	63759
115	3898	63324
116	3939	63409
117	3953	63057
118	3979	62895
119	4001	62696
120	4018	62398
121	4035	62117
122	4046	61746
123	4071	61593
124	4107	61606
125	4152	61756
126	4167	61460
127	4176	61079
128	4185	60711
129	4222	60733
130	4259	60769
131	4291	60733
132	4332	60824
133	4355	60653
134	4384	60577
135	4394	60226
136	4430	60245
137	4448	60021
138	4496	60204
139	4542	60355
140	4570	60262
141	4603	60229
142	4617	59969
143	4664	60124
144	4688	59985
145	4729	60053
146	4739	59749
147	4753	59479
148	4781	59393
149	4789	59072
150	4831	59165
151	4843	58882
152	4882	58942
153	4927	59066
154	4971	59178
155	4980	58869
156	5022	58958
157	5031	58659
158	5039	58353
159	5077	58389
160	5110	58374
161	5133	58244
162	5175	58327
163	5184	58044
164	5210	57946
165	5228	57765
166	5237	57492
167	5250	57251
168	5279	57195
169	5317	57242
170	5336	57078
171	5344	56803
172	5356	56570
173	5369	56345
174	5408	56399
175	5446	56440
176	5482	56462
177	5491	56211
178	5514	56099
179	5555	56172
180	5568	55959
