id,forecastVolum
1,251
2,424
3,190
4,366
5,477
6,194
7,444
8,219
9,2320
10,432
11,755
12,214
13,299
14,427
15,630
16,454
17,386
18,245
19,616
20,158
21,311
22,283
23,164
24,329
25,142
26,253
27,648
28,344
29,624
30,246
31,5633
32,729
33,1482
34,480
35,412
36,645
37,1127
38,589
39,588
40,601
41,855
42,226
43,449
44,424
45,155
46,333
47,256
48,512
49,484
50,180
51,401
52,188
53,1494
54,240
55,476
56,155
57,405
58,385
59,391
60,350
61,298
62,149
63,477
64,216
65,316
66,293
67,32
68,121
69,44
70,24
71,300
72,222
73,235
74,49
75,2187
76,244
77,678
78,172
79,251
80,361
81,606
82,350
83,306
84,186
85,158
86,86
87,142
88,49
89,94
90,4253
91,409
92,0
93,1741
94,2015
95,4397
96,1590
97,1565
98,2052
99,2238
100,1186
101,3286
102,5625
103,1165
104,1829
105,2399
106,520
107,867
108,418
109,1980
110,284
111,259
112,525
113,479
114,28
115,1297
116,1641
117,1871
118,502
119,4797
120,829
121,1767
122,846
123,2159
124,2841
125,814
126,1694
127,1819
128,268
129,183
130,730
131,578
132,250
133,1018
134,135
135,107
136,1338
137,232
138,299
139,967
140,227
141,738
142,83
143,1074
144,102
145,717
146,754
147,732
148,218
149,147
150,83
151,227
152,56
153,231
154,142
155,221
156,36
157,0
158,28
159,161
160,228
161,251
162,10
163,60
164,38
165,519
166,97
167,65
168,154
169,309
170,132
171,114
172,61
173,0
174,38
175,64
176,0
177,623
178,373
179,200
180,559
181,922
182,849
183,999
184,252
185,858
186,371
187,1255
188,627
189,555
190,977
191,681
192,819
193,854
194,410
195,145
196,342
197,339
198,69
199,229
200,161
201,7
202,0
203,1056
204,1190
205,1986
206,107
207,618
208,395
209,2196
210,893
211,732
212,1623
213,1056
214,791
215,797
216,353
217,0
218,207
219,295
220,0
221,105
222,402
223,239
224,155
225,1208
226,922
227,1916
228,511
229,852
230,673
231,895
232,922
233,1043
234,1899
235,732
236,907
237,997
238,499
239,146
240,512
241,863
242,88
243,120
244,472
245,399
246,94
247,809
248,570
249,1332
250,589
251,650
252,498
253,602
254,601
255,1284
256,1320
257,425
258,636
259,694
260,303
261,254
262,356
263,718
264,164
265,205
266,1198
267,700
268,50
269,1640
270,1472
271,1899
272,942
273,1250
274,877
275,1552
276,1137
277,1765
278,2174
279,944
280,1262
281,1264
282,655
283,376
284,631
285,1143
286,485
287,228
288,1409
289,685
290,0
291,2354
292,2370
293,2831
294,645
295,1929
296,837
297,2754
298,1403
299,2480
300,4414
301,1114
302,1879
303,2171
304,527
305,598
306,864
307,966
308,354
309,546
310,474
311,453
312,1151
313,792
314,827
315,1227
316,717
317,386
318,201
319,1374
320,394
321,1447
322,1087
323,609
324,420
325,446
326,342
327,237
328,388
329,576
330,108
331,95
332,792
333,325
334,104
335,1349
336,275
337,2059
338,431
339,892
340,453
341,645
342,299
343,1669
344,1567
345,340
346,446
347,1231
348,170
349,394
350,235
351,533
352,366
353,1286
354,626
355,172
356,0
357,1500
358,1297
359,2256
360,305
361,626
362,359
363,1812
364,610
365,2041
366,1843
367,232
368,636
369,801
370,282
371,123
372,416
373,672
374,0
375,158
376,428
377,370
378,0
379,929
380,507
381,1826
382,684
383,262
384,238
385,888
386,388
387,1636
388,1497
389,259
390,311
391,386
392,142
393,302
394,303
395,566
396,192
397,377
398,434
399,558
400,1144
401,1199
402,729
403,1645
404,510
405,697
406,300
407,1266
408,397
409,1608
410,1475
411,681
412,595
413,566
414,453
415,708
416,456
417,475
418,819
419,454
420,472
421,190
422,101
423,808
424,704
425,866
426,117
427,693
428,245
429,1134
430,551
431,617
432,770
433,840
434,669
435,618
436,474
437,185
438,358
439,371
440,192
441,180
442,308
443,167
444,79
445,1106
446,799
447,1435
448,259
449,305
450,166
451,1255
452,308
453,1530
454,1367
455,434
456,552
457,464
458,296
459,219
460,215
461,416
462,192
463,202
464,101
465,47
466,281
467,413
468,270
469,781
470,30
471,309
472,0
473,882
474,72
475,623
476,484
477,461
478,229
479,229
480,58
481,65
482,2
483,136
484,50
485,41
486,75
487,75
488,33
489,202
490,252
491,501
492,127
493,106
494,56
495,221
496,83
497,486
498,272
499,83
500,169
501,157
502,56
503,76
504,64
505,90
506,53
507,739
508,245
509,133
510,786
511,752
512,445
513,631
514,157
515,1133
516,190
517,1611
518,294
519,397
520,371
521,1431
522,409
523,367
524,521
525,303
526,305
527,279
528,103
529,290
530,149
531,89
532,224
533,399
534,199
535,342
536,93
537,505
538,116
539,782
540,156
541,168
542,183
543,600
544,279
545,217
546,209
547,118
548,135
549,146
550,68
551,897
552,401
553,218
554,907
555,826
556,508
557,713
558,227
559,1146
560,225
561,1415
562,337
563,509
564,491
565,1280
566,581
567,453
568,568
569,386
570,348
571,390
572,161
573,80
574,22
575,6
576,92
577,72
578,47
579,94
580,6
581,97
582,3
583,267
584,12
585,78
586,54
587,189
588,47
589,33
590,21
591,20
592,5
593,33
594,2
595,315
596,118
597,82
598,343
599,400
600,269
601,379
602,60
603,433
604,69
605,815
606,137
607,295
608,234
609,702
610,263
611,201
612,181
613,149
614,98
615,151
616,42
617,202
618,99
619,42
620,110
621,246
622,163
623,299
624,25
625,387
626,45
627,601
628,97
629,137
630,154
631,498
632,236
633,148
634,118
635,46
636,62
637,91
638,7
639,446
640,247
641,171
642,705
643,558
644,297
645,571
646,92
647,1080
648,163
649,1162
650,223
651,377
652,386
653,848
654,510
655,353
656,271
657,182
658,163
659,249
660,82
661,487
662,227
663,62
664,471
665,543
666,327
667,493
668,67
669,1162
670,129
671,1361
672,195
673,384
674,304
675,1353
676,308
677,354
678,326
679,182
680,198
681,200
682,51
683,410
684,941
685,241
686,129
687,827
688,1662
689,2188
690,638
691,2597
692,1869
693,1786
694,644
695,1065
696,4789
697,531
698,1106
699,1454
700,397
701,428
702,274
703,847
704,377
705,243
706,147
707,181
708,67
709,403
710,231
711,532
712,52
713,124
714,8
715,657
716,106
717,371
718,313
719,378
720,103
721,162
722,113
723,0
724,67
725,260
726,0
727,272
728,126
729,63
730,149
731,177
732,118
733,245
734,47
735,113
736,38
737,345
738,83
739,169
740,155
741,203
742,130
743,102
744,88
745,47
746,65
747,137
748,38
749,202
750,108
751,120
752,389
753,446
754,229
755,601
756,149
757,898
758,302
759,731
760,289
761,427
762,359
763,517
764,473
765,393
766,457
767,200
768,301
769,138
770,46
771,179
772,457
773,494
774,671
775,929
776,230
777,702
778,233
779,1622
780,339
781,706
782,341
783,819
784,677
785,535
786,1172
787,656
788,382
789,512
790,529
791,528
792,171
793,53
794,101
795,36
796,64
797,197
798,134
799,227
800,29
801,334
802,101
803,342
804,154
805,140
806,188
807,261
808,181
809,163
810,142
811,69
812,118
813,95
814,20
815,26
816,39
817,129
818,70
819,661
820,348
821,1881
822,355
823,4741
824,1308
825,1427
826,636
827,1010
828,1477
829,867
830,711
831,1071
832,663
833,566
834,322
835,237
836,166
837,228
838,459
839,429
840,332
841,582
842,410
843,1079
844,337
845,2121
846,385
847,889
848,452
849,890
850,1027
851,718
852,1209
853,580
854,567
855,672
856,252
857,413
858,485
859,89
860,387
861,189
862,63
863,420
864,432
865,606
866,182
867,1797
868,238
869,823
870,347
871,471
872,628
873,668
874,907
875,379
876,395
877,218
878,131
879,327
880,133
881,194
882,41
883,40
884,368
885,66
886,93
887,332
888,96
889,533
890,44
891,380
892,66
893,336
894,220
895,343
896,75
897,60
898,84
899,153
900,29
901,60
902,73
903,70
904,326
905,90
906,90
907,450
908,336
909,454
910,69
911,2749
912,265
913,617
914,298
915,351
916,442
917,545
918,552
919,435
920,418
921,142
922,112
923,151
924,0
925,278
926,179
927,224
928,467
929,409
930,457
931,906
932,280
933,2079
934,201
935,997
936,398
937,752
938,679
939,928
940,613
941,576
942,466
943,636
944,158
945,194
946,276
947,220
948,93
949,42
950,330
951,261
952,139
953,256
954,43
955,330
956,45
957,295
958,82
959,139
960,146
961,154
962,159
963,144
964,101
965,58
966,117
967,147
968,46
969,98
970,145
971,86
972,59
973,316
974,536
975,460
976,87
977,328
978,67
979,624
980,352
981,301
982,643
983,512
984,361
985,299
986,207
987,59
988,90
989,144
990,29
991,74
992,138
993,86
994,70
995,209
996,278
997,330
998,57
999,108
1000,61
1001,344
1002,213
1003,186
1004,318
1005,261
1006,280
1007,248
1008,124
1009,88
1010,87
1011,130
1012,55
1013,136
1014,143
1015,25
1016,120
1017,521
1018,795
1019,789
1020,75
1021,523
1022,141
1023,1558
1024,500
1025,344
1026,1470
1027,655
1028,445
1029,388
1030,281
1031,84
1032,220
1033,220
1034,0
1035,56
1036,97
1037,181
1038,103
1039,296
1040,160
1041,784
1042,297
1043,212
1044,117
1045,332
1046,119
1047,678
1048,611
1049,243
1050,129
1051,123
1052,89
1053,213
1054,77
1055,129
1056,89
1057,105
1058,381
1059,165
1060,170
1061,718
1062,837
1063,744
1064,118
1065,450
1066,168
