,index,adcode,bodyType,id,model,regMonth,regYear,popularity,carCommentVolum,newsReplyVolum,label,province_rank,date_block_num,class_id
0,0,310000,SUV,0,3c974920a76ac9c1,1,2016,1479.0,11.0,106.0,292.0,3,1,1
1,30268,110000,Hatchback,0,3e21824be728cbec,1,2016,1618.0,79.0,1763.0,315.0,2,1,230
2,17500,450000,SUV,0,bb9fbec9a2833839,1,2016,971.0,4.0,920.0,131.0,4,1,569
3,6048,210000,Sedan,0,7cf283430b3b5e38,1,2016,1526.0,270.0,3705.0,589.0,4,1,1090
4,30296,510000,Hatchback,0,3e21824be728cbec,1,2016,3076.0,79.0,1763.0,825.0,2,1,290
5,17472,440000,SUV,0,bb9fbec9a2833839,1,2016,5133.0,4.0,920.0,782.0,1,1,509
6,17444,140000,SUV,0,bb9fbec9a2833839,1,2016,1423.0,4.0,920.0,142.0,4,1,449
7,1792,610000,SUV,0,2d0d2c3403909fdb,1,2016,838.0,59.0,698.0,248.0,4,1,1203
8,17416,370000,SUV,0,bb9fbec9a2833839,1,2016,4371.0,4.0,920.0,375.0,1,1,389
9,6076,500000,Sedan,0,7cf283430b3b5e38,1,2016,856.0,270.0,3705.0,370.0,4,1,1150
10,30324,340000,Hatchback,0,3e21824be728cbec,1,2016,1927.0,79.0,1763.0,603.0,3,1,350
11,17388,340000,SUV,0,bb9fbec9a2833839,1,2016,2442.0,4.0,920.0,314.0,3,1,329
12,30352,370000,Hatchback,0,3e21824be728cbec,1,2016,3583.0,79.0,1763.0,1125.0,1,1,410
13,17360,510000,SUV,0,bb9fbec9a2833839,1,2016,4877.0,4.0,920.0,450.0,2,1,269
14,17332,110000,SUV,0,bb9fbec9a2833839,1,2016,3217.0,4.0,920.0,436.0,2,1,209
15,30380,140000,Hatchback,0,3e21824be728cbec,1,2016,1051.0,79.0,1763.0,255.0,4,1,470
16,6104,610000,Sedan,0,7cf283430b3b5e38,1,2016,1985.0,270.0,3705.0,741.0,4,1,1210
17,17304,150000,SUV,0,bb9fbec9a2833839,1,2016,1288.0,4.0,920.0,149.0,5,1,149
18,1764,500000,SUV,0,2d0d2c3403909fdb,1,2016,458.0,59.0,698.0,172.0,4,1,1143
19,17276,530000,SUV,0,bb9fbec9a2833839,1,2016,1693.0,4.0,920.0,199.0,4,1,89
20,30408,440000,Hatchback,0,3e21824be728cbec,1,2016,3537.0,79.0,1763.0,789.0,1,1,530
21,17248,310000,SUV,0,bb9fbec9a2833839,1,2016,2894.0,4.0,920.0,400.0,3,1,29
22,6132,230000,Sedan,0,7cf283430b3b5e38,1,2016,1103.0,270.0,3705.0,299.0,5,1,1270
23,30436,450000,Hatchback,0,3e21824be728cbec,1,2016,820.0,79.0,1763.0,413.0,4,1,590
24,17220,230000,Sedan,0,ef76a85c4b39f693,1,2016,3116.0,1.0,1810.0,165.0,5,1,1288
25,17192,610000,Sedan,0,ef76a85c4b39f693,1,2016,4651.0,1.0,1810.0,337.0,4,1,1228
26,17528,320000,SUV,0,bb9fbec9a2833839,1,2016,6746.0,4.0,920.0,865.0,1,1,629
27,30240,150000,Hatchback,0,3e21824be728cbec,1,2016,797.0,79.0,1763.0,136.0,5,1,170
28,17556,360000,SUV,0,bb9fbec9a2833839,1,2016,1598.0,4.0,920.0,192.0,4,1,689
29,17584,130000,SUV,0,bb9fbec9a2833839,1,2016,3784.0,4.0,920.0,246.0,2,1,749
30,30016,430000,SUV,0,c6833cb891626c17,1,2016,1060.0,95.0,719.0,548.0,3,1,1009
31,17892,530000,SUV,0,da457d15788fe8ee,1,2016,2875.0,7.0,2800.0,351.0,4,1,90
32,30044,350000,SUV,0,c6833cb891626c17,1,2016,597.0,95.0,719.0,374.0,4,1,1069
33,17864,310000,SUV,0,da457d15788fe8ee,1,2016,4284.0,7.0,2800.0,616.0,3,1,30
