id,forecastVolum
1,289
2,373
3,153
4,288
5,398
6,192
7,437
8,207
9,2371
10,347
11,683
12,205
13,308
14,302
15,654
16,445
17,283
18,251
19,541
20,85
21,274
22,211
23,285
24,272
25,199
26,213
27,625
28,407
29,781
30,290
31,4963
32,692
33,1305
34,389
35,657
36,645
37,1103
38,750
39,570
40,884
41,1110
42,217
43,341
44,460
45,157
46,292
47,276
48,329
49,509
50,177
51,421
52,178
53,1647
54,245
55,507
56,152
57,447
58,355
59,424
60,285
61,251
62,137
63,580
64,198
65,280
66,292
67,132
68,260
69,116
70,86
71,435
72,268
73,264
74,133
75,2968
76,366
77,783
78,283
79,341
80,411
81,959
82,482
83,484
84,372
85,233
86,125
87,190
88,117
89,158
90,4392
91,559
92,59
93,1621
94,1911
95,3462
96,1994
97,1290
98,2093
99,2062
100,995
101,3745
102,4204
103,1356
104,1615
105,1718
106,402
107,903
108,273
109,1840
110,417
111,339
112,496
113,472
114,49
115,987
116,1344
117,1631
118,486
119,5638
120,727
121,1390
122,899
123,2336
124,2848
125,716
126,1260
127,1242
128,291
129,286
130,604
131,586
132,302
133,1518
134,298
135,233
136,1678
137,363
138,468
139,1455
140,421
141,1488
142,177
143,1519
144,320
145,1019
146,997
147,1040
148,371
149,238
150,222
151,370
152,131
153,386
154,263
155,312
156,56
157,28
158,46
159,245
160,426
161,275
162,48
163,206
164,96
165,792
166,204
167,130
168,252
169,384
170,235
171,247
172,94
173,31
174,65
175,143
176,20
177,824
178,264
179,243
180,411
181,833
182,947
183,865
184,350
185,661
186,257
187,1264
188,788
189,651
190,883
191,849
192,1005
193,1006
194,391
195,235
196,367
197,328
198,110
199,511
200,248
201,244
202,24
203,959
204,1856
205,1905
206,362
207,660
208,581
209,2363
210,1408
211,1012
212,2193
213,1249
214,1178
215,1086
216,733
217,191
218,352
219,364
220,81
221,65
222,459
223,235
224,47
225,1210
226,798
227,1644
228,429
229,1008
230,943
231,726
232,1004
233,1385
234,2709
235,1137
236,1099
237,1162
238,446
239,185
240,748
241,1535
242,107
243,41
244,492
245,308
246,20
247,748
248,681
249,1169
250,802
251,900
252,605
253,547
254,642
255,1429
256,1563
257,476
258,576
259,760
260,301
261,327
262,413
263,1033
264,235
265,65
266,1046
267,580
268,22
269,1516
270,1014
271,1848
272,774
273,813
274,735
275,1078
276,923
277,1790
278,2208
279,671
280,1023
281,1226
282,402
283,272
284,441
285,875
286,364
287,231
288,1508
289,952
290,134
291,2709
292,2289
293,3366
294,811
295,1790
296,968
297,2670
298,1540
299,2450
300,4914
301,1672
302,1909
303,2259
304,575
305,825
306,987
307,1265
308,582
309,601
310,421
311,491
312,769
313,749
314,1087
315,1224
316,777
317,394
318,150
319,1387
320,347
321,1636
322,1214
323,684
324,371
325,443
326,309
327,186
328,415
329,631
330,58
331,39
332,1129
333,746
334,161
335,1709
336,274
337,1967
338,725
339,1406
340,504
341,591
342,342
343,2241
344,1567
345,481
346,410
347,1290
348,305
349,732
350,179
351,684
352,907
353,1913
354,903
355,359
356,116
357,1938
358,1583
359,2021
360,787
361,574
362,401
363,2339
364,1057
365,2137
366,3118
367,1022
368,1177
369,1340
370,511
371,289
372,797
373,783
374,170
375,216
376,635
377,706
378,48
379,1219
380,1012
381,3165
382,1704
383,386
384,333
385,1175
386,515
387,2993
388,2322
389,497
390,239
391,420
392,208
393,648
394,275
395,933
396,533
397,404
398,464
399,655
400,955
401,1741
402,849
403,2366
404,521
405,821
406,338
407,1556
408,512
409,2283
410,1913
411,990
412,706
413,697
414,627
415,708
416,554
417,753
418,942
419,260
420,246
421,78
422,64
423,334
424,410
425,467
426,55
427,322
428,106
429,557
430,290
431,266
432,269
433,584
434,309
435,380
436,182
437,103
438,153
439,124
440,78
441,330
442,400
443,428
444,153
445,1498
446,1000
447,1370
448,394
449,417
450,228
451,1591
452,424
453,1905
454,1863
455,1130
456,777
457,495
458,419
459,405
460,338
461,419
462,438
463,424
464,143
465,147
466,248
467,371
468,337
469,807
470,109
471,291
472,94
473,946
474,189
475,748
476,570
477,813
478,234
479,207
480,176
481,118
482,48
483,169
484,111
485,18
486,38
487,46
488,12
489,137
490,323
491,513
492,192
493,46
494,68
495,164
496,61
497,507
498,281
499,39
500,133
501,148
502,25
503,98
504,51
505,112
506,61
507,964
508,329
509,125
510,849
511,864
512,510
513,758
514,137
515,1413
516,191
517,2021
518,324
519,518
520,406
521,1812
522,433
523,400
524,623
525,332
526,298
527,272
528,98
529,502
530,182
531,98
532,272
533,554
534,250
535,465
536,123
537,743
538,160
539,965
540,199
541,248
542,242
543,903
544,298
545,262
546,340
547,164
548,170
549,163
550,70
551,987
552,358
553,186
554,963
555,861
556,468
557,756
558,235
559,1539
560,223
561,1618
562,335
563,438
564,379
565,1456
566,509
567,412
568,641
569,331
570,301
571,290
572,95
573,89
574,27
575,20
576,91
577,46
578,69
579,147
580,19
581,84
582,23
583,235
584,9
585,96
586,54
587,203
588,37
589,32
590,13
591,28
592,15
593,40
594,10
595,861
596,246
597,263
598,861
599,840
600,658
601,823
602,237
603,1008
604,195
605,2320
606,477
607,642
608,671
609,1894
610,650
611,611
612,486
613,567
614,268
615,515
616,160
617,319
618,141
619,85
620,142
621,249
622,187
623,372
624,81
625,432
626,98
627,626
628,135
629,197
630,177
631,706
632,323
633,183
634,189
635,83
636,80
637,109
638,44
639,518
640,208
641,159
642,845
643,582
644,325
645,682
646,160
647,1196
648,214
649,1307
650,328
651,422
652,410
653,1122
654,569
655,372
656,329
657,330
658,190
659,318
660,119
661,628
662,274
663,67
664,541
665,658
666,410
667,560
668,78
669,1557
670,141
671,1483
672,238
673,586
674,339
675,1879
676,365
677,483
678,407
679,318
680,234
681,256
682,103
683,180
684,725
685,133
686,42
687,466
688,1283
689,1853
690,452
691,2010
692,1789
693,1438
694,506
695,1063
696,3782
697,581
698,581
699,991
700,245
701,361
702,160
703,653
704,264
705,298
706,166
707,299
708,34
709,533
710,322
711,722
712,125
713,97
714,61
715,891
716,275
717,504
718,517
719,327
720,171
721,351
722,183
723,34
724,96
725,445
726,43
727,754
728,113
729,49
730,97
731,122
732,126
733,249
734,45
735,75
736,26
737,328
738,70
739,174
740,182
741,219
742,182
743,113
744,64
745,33
746,71
747,100
748,19
749,257
750,75
751,144
752,443
753,643
754,345
755,922
756,234
757,2139
758,436
759,1101
760,347
761,596
762,448
763,703
764,803
765,546
766,859
767,254
768,317
769,295
770,90
771,205
772,369
773,525
774,473
775,885
776,282
777,751
778,347
779,1906
780,356
781,599
782,336
783,977
784,855
785,587
786,1468
787,656
788,350
789,545
790,529
791,600
792,292
793,43
794,136
795,84
796,17
797,322
798,149
799,206
800,56
801,489
802,180
803,382
804,256
805,184
806,345
807,280
808,187
809,302
810,140
811,109
812,136
813,68
814,63
815,122
816,213
817,317
818,120
819,683
820,463
821,1494
822,724
823,4480
824,1468
825,1352
826,1018
827,1273
828,1366
829,764
830,895
831,1147
832,759
833,862
834,341
835,265
836,484
837,344
838,787
839,526
840,325
841,784
842,583
843,1567
844,568
845,3596
846,537
847,1258
848,521
849,1348
850,1416
851,1177
852,1804
853,655
854,746
855,1058
856,403
857,580
858,803
859,63
860,355
861,144
862,58
863,287
864,359
865,405
866,196
867,1413
868,217
869,609
870,256
871,420
872,574
873,628
874,672
875,301
876,330
877,261
878,121
879,193
880,170
881,142
882,10
883,25
884,225
885,47
886,64
887,357
888,142
889,817
890,32
891,313
892,51
893,259
894,180
895,400
896,49
897,49
898,68
899,118
900,21
901,40
902,40
903,149
904,252
905,120
906,134
907,403
908,226
909,468
910,141
911,2408
912,265
913,591
914,239
915,412
916,373
917,646
918,443
919,382
920,487
921,264
922,126
923,121
924,104
925,233
926,116
927,227
928,363
929,324
930,330
931,923
932,285
933,2187
934,162
935,818
936,243
937,737
938,584
939,1263
940,526
941,496
942,404
943,746
944,130
945,176
946,296
947,277
948,61
949,35
950,278
951,257
952,145
953,194
954,45
955,378
956,42
957,227
958,70
959,133
960,107
961,104
962,129
963,111
964,102
965,66
966,120
967,122
968,50
969,88
970,88
971,44
972,6
973,184
974,385
975,288
976,65
977,225
978,49
979,441
980,328
981,209
982,434
983,475
984,255
985,188
986,129
987,21
988,34
989,55
990,14
991,56
992,92
993,62
994,32
995,247
996,359
997,510
998,68
999,228
1000,51
1001,498
1002,214
1003,476
1004,664
1005,567
1006,295
1007,377
1008,132
1009,90
1010,57
1011,122
1012,48
1013,291
1014,99
1015,38
1016,81
1017,750
1018,841
1019,810
1020,94
1021,774
1022,181
1023,2190
1024,646
1025,448
1026,1796
1027,1068
1028,601
1029,477
1030,362
1031,121
1032,311
1033,218
1034,79
1035,68
1036,240
1037,359
1038,26
1039,784
1040,665
1041,1809
1042,1125
1043,336
1044,363
1045,734
1046,359
1047,2383
1048,1997
1049,1096
1050,506
