,adcode,bodyType,id,model,province,regMonth,regYear,popularity,carCommentVolum,newsReplyVolum,label
0,310000,SUV,0,3c974920a76ac9c1,上海,1,2016,1479.0,11.0,106.0,292.0
1,530000,SUV,0,3c974920a76ac9c1,云南,1,2016,1594.0,11.0,106.0,466.0
2,150000,SUV,0,3c974920a76ac9c1,内蒙古,1,2016,1479.0,11.0,106.0,257.0
3,110000,SUV,0,3c974920a76ac9c1,北京,1,2016,2370.0,11.0,106.0,408.0
4,510000,SUV,0,3c974920a76ac9c1,四川,1,2016,3562.0,11.0,106.0,610.0
5,340000,SUV,0,3c974920a76ac9c1,安徽,1,2016,1314.0,11.0,106.0,206.0
6,370000,SUV,0,3c974920a76ac9c1,山东,1,2016,3476.0,11.0,106.0,503.0
7,140000,SUV,0,3c974920a76ac9c1,山西,1,2016,1422.0,11.0,106.0,236.0
8,440000,SUV,0,3c974920a76ac9c1,广东,1,2016,7182.0,11.0,106.0,3635.0
9,450000,SUV,0,3c974920a76ac9c1,广西,1,2016,1163.0,11.0,106.0,450.0
10,320000,SUV,0,3c974920a76ac9c1,江苏,1,2016,3670.0,11.0,106.0,876.0
11,360000,SUV,0,3c974920a76ac9c1,江西,1,2016,926.0,11.0,106.0,253.0
12,130000,SUV,0,3c974920a76ac9c1,河北,1,2016,2973.0,11.0,106.0,306.0
13,410000,SUV,0,3c974920a76ac9c1,河南,1,2016,3483.0,11.0,106.0,537.0
14,330000,SUV,0,3c974920a76ac9c1,浙江,1,2016,3167.0,11.0,106.0,650.0
15,420000,SUV,0,3c974920a76ac9c1,湖北,1,2016,2190.0,11.0,106.0,635.0
16,430000,SUV,0,3c974920a76ac9c1,湖南,1,2016,1666.0,11.0,106.0,525.0
17,350000,SUV,0,3c974920a76ac9c1,福建,1,2016,1357.0,11.0,106.0,462.0
18,210000,SUV,0,3c974920a76ac9c1,辽宁,1,2016,2808.0,11.0,106.0,791.0
19,500000,SUV,0,3c974920a76ac9c1,重庆,1,2016,682.0,11.0,106.0,195.0
20,610000,SUV,0,3c974920a76ac9c1,陕西,1,2016,1558.0,11.0,106.0,298.0
21,230000,SUV,0,3c974920a76ac9c1,黑龙江,1,2016,2118.0,11.0,106.0,309.0
22,310000,Sedan,0,3d7554f1f56dd664,上海,1,2016,1519.0,43.0,3996.0,389.0
23,530000,Sedan,0,3d7554f1f56dd664,云南,1,2016,1161.0,43.0,3996.0,306.0
24,150000,Sedan,0,3d7554f1f56dd664,内蒙古,1,2016,1340.0,43.0,3996.0,260.0
25,110000,Sedan,0,3d7554f1f56dd664,北京,1,2016,2388.0,43.0,3996.0,449.0
26,510000,Sedan,0,3d7554f1f56dd664,四川,1,2016,3757.0,43.0,3996.0,757.0
27,340000,Sedan,0,3d7554f1f56dd664,安徽,1,2016,1378.0,43.0,3996.0,275.0
28,370000,Sedan,0,3d7554f1f56dd664,山东,1,2016,3643.0,43.0,3996.0,890.0
29,140000,Sedan,0,3d7554f1f56dd664,山西,1,2016,1425.0,43.0,3996.0,387.0
30,440000,Sedan,0,3d7554f1f56dd664,广东,1,2016,9439.0,43.0,3996.0,8330.0
31,450000,Sedan,0,3d7554f1f56dd664,广西,1,2016,1491.0,43.0,3996.0,801.0
