id,forecastVolum
1,85
2,120
3,92
4,95
5,153
6,109
7,141
8,102
9,167
10,114
11,153
12,106
13,165
14,114
15,150
16,140
17,144
18,102
19,161
20,91
21,117
22,101
23,96
24,144
25,90
26,65
27,169
28,160
29,389
30,136
31,802
32,160
33,451
34,155
35,285
36,313
37,353
38,178
39,193
40,150
41,193
42,97
43,143
44,138
45,90
46,124
47,94
48,90
49,140
50,116
51,173
52,94
53,169
54,107
55,196
56,107
57,170
58,153
59,194
60,121
61,134
62,88
63,131
64,95
65,102
66,92
67,84
68,114
69,86
70,78
71,134
72,120
73,168
74,94
75,268
76,126
77,225
78,124
79,171
80,137
81,206
82,139
83,156
84,128
85,142
86,101
87,106
88,95
89,101
90,312
91,139
92,70
93,212
94,216
95,344
96,204
97,393
98,232
99,265
100,198
101,365
102,461
103,199
104,218
105,240
106,169
107,201
108,129
109,218
110,153
111,124
112,188
113,154
114,159
115,365
116,403
117,354
118,189
119,474
120,195
121,471
122,212
123,401
124,446
125,290
126,373
127,373
128,321
129,197
130,177
131,190
132,158
133,191
134,151
135,128
136,182
137,211
138,175
139,213
140,156
141,197
142,122
143,228
144,142
145,231
146,193
147,202
148,156
149,175
150,144
151,190
152,186
153,159
154,142
155,77
156,40
157,8
158,35
159,92
160,102
161,94
162,31
163,91
164,41
165,141
166,77
167,99
168,70
169,109
170,98
171,104
172,54
173,64
174,31
175,42
176,2
177,197
178,163
179,115
180,149
181,228
182,213
183,214
184,162
185,228
186,153
187,257
188,197
189,234
190,182
191,206
192,232
193,242
194,182
195,176
196,176
197,164
198,110
199,109
200,143
201,102
202,34
203,205
204,226
205,477
206,150
207,379
208,166
209,484
210,183
211,324
212,424
213,299
214,215
215,231
216,163
217,168
218,111
219,149
220,109
221,120
222,174
223,113
224,117
225,222
226,200
227,289
228,176
229,320
230,186
231,287
232,195
233,259
234,261
235,266
236,193
237,211
238,179
239,178
240,152
241,186
242,123
243,58
244,141
245,89
246,68
247,187
248,161
249,197
250,158
251,191
252,140
253,201
254,148
255,213
256,174
257,168
258,165
259,179
260,130
261,160
262,105
263,163
264,103
265,138
266,210
267,158
268,134
269,235
270,228
271,241
272,200
273,190
274,180
275,220
276,207
277,252
278,221
279,201
280,209
281,220
282,191
283,193
284,197
285,192
286,177
287,150
288,236
289,181
290,143
291,327
292,306
293,463
294,213
295,488
296,195
297,426
298,219
299,413
300,603
301,276
302,299
303,316
304,205
305,219
306,192
307,200
308,192
309,152
310,176
311,139
312,149
313,206
314,201
315,269
316,157
317,220
318,154
319,288
320,166
321,226
322,238
323,242
324,177
325,200
326,155
327,156
328,162
329,166
330,116
331,75
332,161
333,128
334,77
335,231
336,175
337,369
338,186
339,215
340,125
341,246
342,146
343,389
344,342
345,134
346,178
347,213
348,155
349,193
350,166
351,172
352,172
353,180
354,224
355,166
356,128
357,263
358,292
359,428
360,223
361,509
362,209
363,397
364,240
365,345
366,378
367,310
368,245
369,272
370,219
371,229
372,196
373,222
374,170
375,92
376,159
377,120
378,65
379,204
380,181
381,313
382,177
383,184
384,122
385,245
386,146
387,328
388,306
389,142
390,157
391,180
392,144
393,182
394,186
395,176
396,130
397,112
398,149
399,106
400,114
401,204
402,184
403,188
404,119
405,170
406,123
407,217
408,138
409,209
410,165
411,174
412,163
413,180
414,141
415,175
416,130
417,139
418,121
419,191
420,175
421,119
422,161
423,256
424,194
425,279
426,160
427,264
428,138
429,289
430,179
431,252
432,221
433,287
434,210
435,229
436,183
437,173
438,188
439,184
440,143
441,87
442,154
443,105
444,94
445,245
446,181
447,369
448,148
449,222
450,126
451,298
452,163
453,350
454,300
455,197
456,171
457,182
458,143
459,168
460,134
461,155
462,146
463,142
464,149
465,117
466,117
467,187
468,200
469,288
470,128
471,263
472,137
473,320
474,153
475,274
476,249
477,283
478,174
479,192
480,147
481,162
482,125
483,147
484,116
485,98
486,118
487,98
488,102
489,138
490,135
491,146
492,125
493,119
494,106
495,152
496,113
497,157
498,122
499,142
500,131
501,131
502,103
503,131
504,111
505,121
506,111
507,139
508,148
509,77
510,118
511,191
512,153
513,175
514,97
515,169
516,111
517,213
518,130
519,177
520,203
521,192
522,139
523,163
524,127
525,124
526,200
527,138
528,98
529,131
530,122
531,86
532,119
533,141
534,145
535,123
536,101
537,134
538,101
539,178
540,122
541,152
542,113
543,166
544,141
545,141
546,122
547,121
548,131
549,120
550,82
551,147
552,135
553,94
554,146
555,162
556,145
557,153
558,103
559,155
560,112
561,198
562,133
563,155
564,123
565,188
566,156
567,165
568,146
569,152
570,129
571,126
572,88
573,35
574,67
575,32
576,11
577,88
578,100
579,0
580,42
581,117
582,49
583,168
584,74
585,89
586,0
587,9
588,59
589,79
590,57
591,60
592,58
593,60
594,24
595,104
596,91
597,49
598,78
599,152
600,168
601,124
602,68
603,211
604,66
605,181
606,100
607,134
608,97
609,163
610,133
611,165
612,77
613,112
614,94
615,114
616,45
617,131
618,119
619,77
620,92
621,180
622,136
623,112
624,102
625,99
626,90
627,206
628,122
629,146
630,112
631,181
632,134
633,152
634,116
635,114
636,131
637,112
638,73
639,125
640,137
641,94
642,135
643,237
644,186
645,160
646,100
647,238
648,102
649,217
650,134
651,177
652,192
653,178
654,175
655,179
656,112
657,127
658,147
659,121
660,92
661,100
662,65
663,0
664,64
665,171
666,103
667,145
668,6
669,161
670,43
671,195
672,54
673,143
674,108
675,210
676,89
677,113
678,74
679,81
680,84
681,79
682,7
683,74
684,172
685,85
686,47
687,234
688,180
689,385
690,162
691,379
692,256
693,342
694,140
695,343
696,447
697,229
698,178
699,193
700,134
701,152
702,114
703,176
704,126
705,115
706,93
707,86
708,61
709,137
710,126
711,148
712,87
713,92
714,58
715,172
716,93
717,154
718,99
719,127
720,105
721,121
722,82
723,84
724,63
725,132
726,60
727,42
728,24
729,14
730,3
731,40
732,85
733,50
734,16
735,0
736,1
737,75
738,40
739,47
740,8
741,53
742,40
743,46
744,26
745,32
746,15
747,36
748,1
749,107
750,100
751,80
752,107
753,151
754,123
755,156
756,105
757,183
758,148
759,171
760,127
761,148
762,118
763,151
764,163
765,154
766,131
767,120
768,126
769,111
770,75
771,158
772,179
773,163
774,162
775,207
776,185
777,215
778,170
779,277
780,198
781,228
782,191
783,235
784,185
785,199
786,230
787,231
788,173
789,194
790,185
791,172
792,153
793,65
794,86
795,51
796,67
797,113
798,99
799,112
800,70
801,145
802,105
803,135
804,107
805,116
806,90
807,119
808,110
809,118
810,95
811,98
812,94
813,73
814,50
815,118
816,143
817,126
818,102
819,194
820,180
821,355
822,159
823,911
824,232
825,364
826,197
827,320
828,318
829,278
830,233
831,264
832,208
833,207
834,157
835,152
836,131
837,163
838,184
839,147
840,153
841,211
842,196
843,213
844,159
845,229
846,165
847,245
848,181
849,220
850,208
851,237
852,206
853,223
854,175
855,178
856,218
857,169
858,148
859,115
860,154
861,123
862,128
863,182
864,180
865,217
866,147
867,224
868,135
869,239
870,150
871,233
872,194
873,208
874,192
875,179
876,169
877,185
878,134
879,145
880,146
881,94
882,63
883,65
884,92
885,97
886,98
887,148
888,86
889,145
890,72
891,157
892,75
893,150
894,109
895,142
896,81
897,97
898,72
899,110
900,70
901,71
902,79
903,105
904,144
905,106
906,97
907,192
908,169
909,161
910,133
911,273
912,143
913,188
914,147
915,182
916,140
917,175
918,168
919,183
920,158
921,158
922,115
923,122
924,114
925,93
926,117
927,89
928,105
929,145
930,147
931,160
932,113
933,199
934,113
935,180
936,114
937,182
938,135
939,162
940,149
941,152
942,126
943,185
944,92
945,110
946,123
947,73
948,74
949,38
950,57
951,113
952,82
953,46
954,45
955,34
956,43
957,59
958,64
959,61
960,20
961,46
962,83
963,94
964,53
965,80
966,85
967,73
968,30
969,80
970,100
971,80
972,80
973,130
974,131
975,118
976,92
977,105
978,72
979,140
980,106
981,146
982,140
983,139
984,102
985,124
986,90
987,96
988,127
989,98
990,72
991,23
992,54
993,25
994,33
995,110
996,87
997,49
998,45
999,35
1000,25
1001,77
1002,56
1003,94
1004,67
1005,64
1006,67
1007,81
1008,44
1009,75
1010,71
1011,56
1012,22
1013,94
1014,106
1015,87
1016,99
1017,152
1018,159
1019,162
1020,110
1021,145
1022,106
1023,205
1024,138
1025,163
1026,157
1027,181
1028,134
1029,153
1030,122
1031,131
1032,116
1033,121
1034,80
1035,58
1036,79
1037,62
1038,58
1039,126
1040,88
1041,165
1042,92
1043,118
1044,83
1045,136
1046,94
1047,179
1048,115
1049,113
1050,82
1051,98
1052,84
1053,107
1054,99
1055,77
1056,64
1057,106
1058,134
1059,118
1060,119
1061,158
1062,168
1063,172
1064,135
1065,136
1066,124
1067,186
1068,143
1069,182
1070,166
1071,189
1072,150
1073,160
1074,119
1075,145
1076,126
1077,136
1078,104
1079,87
1080,110
1081,63
1082,65
1083,136
1084,132
1085,178
1086,85
1087,139
1088,95
1089,221
1090,107
1091,177
1092,159
1093,178
1094,110
1095,128
1096,110
1097,102
1098,108
1099,101
1100,66
1123,46
1124,75
1125,0
1126,18
1127,109
1128,85
1129,39
1130,16
1131,63
1132,45
1133,102
1134,57
1135,67
1136,25
1137,66
1138,64
1139,85
1140,71
1141,42
1142,45
1143,53
1144,11
1145,116
1146,146
1147,93
1148,112
1149,176
1150,143
1151,164
1152,101
1153,166
1154,107
1155,181
1156,121
1157,187
1158,151
1159,165
1160,153
1161,167
1162,104
1163,136
1164,116
1165,136
1166,119
1167,60
1168,94
1169,55
1170,63
1171,168
1172,132
1173,125
1174,94
1175,120
1176,89
1177,155
1178,95
1179,130
1180,149
1181,125
1182,123
1183,135
1184,94
1185,110
1186,111
1187,123
1188,60
1189,44
1190,63
1191,63
1192,35
1193,74
1194,80
1195,91
1196,63
1197,48
1198,50
1199,87
1200,69
1201,95
1202,70
1203,68
1204,76
1205,101
1206,51
1207,79
1208,64
1209,86
1210,49
1211,77
1212,135
1213,98
1214,111
1215,202
1216,127
1217,151
1218,136
1219,134
1220,112
1221,158
1222,124
1223,206
1224,156
1225,138
1226,123
1227,150
1228,103
1229,115
1230,157
1231,150
1232,87
1233,121
1234,189
1235,114
1236,115
1237,247
1238,181
1239,225
1240,146
1241,206
1242,137
1243,225
1244,143
1245,193
1246,220
1247,154
1248,183
1249,198
1250,124
1251,144
1252,225
1253,188
1254,103
1255,94
1256,174
1257,79
1258,121
1259,168
1260,152
1261,167
1262,118
1263,153
1264,122
1265,185
1266,129
1267,181
1268,159
1269,160
1270,182
1271,169
1272,141
1273,138
1274,160
1275,129
1276,93
1277,25
1278,57
1279,22
1280,39
1281,100
1282,53
1283,95
1284,44
1285,64
1286,47
1287,101
1288,43
1289,114
1290,69
1291,75
1292,44
1293,76
1294,33
1295,35
1296,106
1297,78
1298,3
1299,83
1300,95
1301,75
1302,61
1303,125
1304,119
1305,134
1306,88
1307,133
1308,96
1309,153
1310,106
1311,134
1312,105
1313,135
1314,107
1315,117
1316,88
1317,95
1318,92
1319,90
1320,67
1321,92
1322,96
1323,72
1324,68
1325,125
1326,129
1327,114
1328,72
1329,131
1330,104
1331,146
1332,99
1333,138
1334,86
1335,139
1336,135
1337,155
1338,89
1339,132
1340,102
1341,137
1342,76
1343,60
1344,92
1345,70
1346,64
1347,138
1348,82
1349,92
1350,79
1351,164
1352,91
1353,114
1354,83
1355,119
1356,85
1357,115
1358,105
1359,108
1360,82
1361,131
1362,63
1363,91
1364,85
1365,58
1366,112
1367,54
1368,28
1369,170
1370,114
1371,377
1372,103
1373,704
1374,121
1375,405
1376,122
1377,254
1378,355
1379,336
1380,134
1381,148
1382,122
1383,147
1384,54
1385,107
1386,99
1387,29
1388,65
1389,31
1390,41
1391,80
1392,55
1393,113
1394,31
1395,116
1396,46
1397,143
1398,46
1399,121
1400,84
1401,136
1402,63
1403,77
1404,26
1405,77
1406,38
1407,42
1408,24
1409,37
1410,73
1411,40
1412,35
1413,95
1414,79
1415,75
1416,54
1417,218
1418,95
1419,121
1420,87
1421,96
1422,72
1423,133
1424,95
1425,107
1426,86
1427,105
1428,57
1429,74
1430,52
1431,54
1432,236
1433,83
1434,0
1435,194
1436,189
1437,288
1438,172
1439,440
1440,192
1441,265
1442,136
1443,311
1444,399
1445,168
1446,182
1447,199
1448,120
1449,158
1450,74
1451,174
1452,94
1453,50
1454,125
1455,78
1456,47
1457,256
1458,306
1459,373
1460,133
1461,343
1462,129
1463,419
1464,140
1465,335
1466,343
1467,246
1468,315
1469,311
1470,251
1471,135
1472,108
1473,117
1474,97
1475,125
1476,82
1477,60
1478,115
1479,108
1480,116
1481,131
1482,91
1483,125
1484,56
1485,155
1486,73
1487,163
1488,118
1489,136
1490,89
1491,98
1492,79
1493,121
1494,82
1495,91
1496,71
1497,26
1498,0
1499,0
1500,0
1501,40
1502,60
1503,37
1504,0
1505,33
1506,0
1507,103
1508,25
1509,31
1510,11
1511,50
1512,33
1513,50
1514,0
1515,0
1516,0
1517,0
1518,0
1519,118
1520,88
1521,50
1522,97
1523,161
1524,146
1525,132
1526,98
1527,166
1528,74
1529,162
1530,127
1531,146
1532,97
1533,140
1534,161
1535,163
1536,117
1537,95
1538,92
1539,100
1540,39
1541,33
1542,69
1543,20
1544,0
1545,102
1546,159
1547,352
1548,82
1549,194
1550,93
1551,418
1552,113
1553,236
1554,303
1555,204
1556,134
1557,144
1558,92
1559,93
1560,37
1561,80
1562,30
1563,36
1564,108
1565,40
1566,48
1567,133
1568,142
1569,258
1570,140
1571,220
1572,115
1573,246
1574,114
1575,162
1576,133
1577,158
1578,150
1579,136
1580,129
1581,116
1582,83
1583,114
1584,46
1585,18
1586,97
1587,49
1588,38
1589,135
1590,115
1591,164
1592,114
1593,148
1594,98
1595,154
1596,107
1597,178
1598,141
1599,128
1600,129
1601,140
1602,97
1603,115
1604,63
1605,119
1606,58
1607,72
1608,142
1609,91
1610,70
1611,179
1612,160
1613,174
1614,146
1615,118
1616,122
1617,162
1618,137
1619,191
1620,157
1621,150
1622,154
1623,158
1624,127
1625,117
1626,108
1627,132
1628,111
1629,88
1630,205
1631,121
1632,79
1633,244
1634,251
1635,363
1636,146
1637,339
1638,142
1639,382
1640,178
1641,328
1642,425
1643,127
1644,256
1645,270
1646,145
1647,157
1648,127
1649,151
1650,135
1651,141
1652,159
1653,117
1654,122
1655,175
1656,179
1657,179
1658,130
1659,114
1660,132
1661,197
1662,141
1663,178
1664,160
1665,171
1666,151
1667,167
1668,134
1669,129
1670,138
1671,147
1672,90
1673,18
1674,97
1675,74
1676,13
1677,170
1678,134
1679,303
1680,145
1681,153
1682,71
1683,183
1684,94
1685,359
1686,198
1687,81
1688,117
1689,144
1690,105
1691,153
1692,75
1693,112
1694,124
1695,129
1696,179
1697,118
1698,60
1699,201
1700,237
1701,368
1702,163
1703,461
1704,166
1705,323
1706,184
1707,283
1708,315
1709,305
1710,196
1711,211
1712,176
1713,173
1714,153
1715,175
1716,106
1717,44
1718,98
1719,72
1720,16
1721,132
1722,130
1723,243
1724,132
1725,108
1726,74
1727,179
1728,99
1729,258
1730,193
1731,93
1732,98
1733,120
1734,103
1735,123
1736,89
1737,114
1738,75
1739,74
1740,108
1741,68
1742,75
1743,162
1744,147
1745,153
1746,76
1747,100
1748,84
1749,175
1750,100
1751,165
1752,122
1753,144
1754,111
1755,130
1756,95
1757,114
1758,88
1759,95
1760,74
1761,137
1762,109
1763,52
1764,98
1765,209
1766,147
1767,239
1768,103
1769,253
1770,73
1771,225
1772,117
1773,221
1774,157
1775,233
1776,137
1777,156
1778,122
1779,101
1780,112
1781,112
1782,68
1783,50
1784,88
1785,64
1786,40
1787,209
1788,155
1789,333
1790,113
1791,301
1792,85
1793,276
1794,128
1795,329
1796,290
1797,208
1798,123
1799,142
1800,111
1801,131
1802,67
1803,111
1804,95
1805,88
1806,98
1807,62
1808,62
1809,137
1810,146
1811,195
1812,77
1813,172
1814,85
1815,225
1816,108
1817,188
1818,168
1819,194
1820,119
1821,135
1822,99
1823,106
1824,71
1825,99
1826,63
1827,49
1828,67
1829,52
1830,55
1831,87
1832,85
1833,92
1834,78
1835,56
1836,61
1837,94
1838,69
1839,98
1840,62
1841,90
1842,87
1843,79
1844,59
1845,84
1846,61
1847,65
1848,58
1849,64
1850,53
1851,10
1852,43
1853,94
1854,95
1855,102
1856,38
1857,97
1858,45
1859,142
1860,66
1861,101
1862,96
1863,128
1864,68
1865,80
1866,75
1867,64
1868,82
1869,57
1870,25
1871,81
1872,71
1873,32
1874,72
1875,99
1876,94
1877,78
1878,45
1879,79
1880,54
1881,120
1882,75
1883,103
1884,63
1885,114
1886,88
1887,93
1888,76
1889,70
1890,70
1891,64
1892,28
1893,103
1894,86
1895,49
1896,95
1897,108
1898,109
1899,94
1900,55
1901,103
1902,69
1903,134
1904,89
1905,104
1906,66
1907,132
1908,108
1909,113
1910,96
1911,90
1912,82
1913,77
1914,39
1915,15
1916,15
1917,0
1918,0
1919,63
1920,42
1921,0
1922,2
1923,23
1924,2
1925,132
1926,23
1927,31
1928,0
1929,81
1930,16
1931,12
1932,0
1933,10
1934,17
1935,0
1936,0
1937,77
1938,47
1939,14
1940,60
1941,133
1942,122
1943,66
1944,24
1945,132
1946,27
1947,147
1948,73
1949,91
1950,29
1951,146
1952,89
1953,106
1954,71
1955,73
1956,35
1957,80
1958,0
1959,61
1960,63
1961,26
1962,64
1963,95
1964,97
1965,68
1966,44
1967,66
1968,37
1969,101
1970,72
1971,83
1972,74
1973,128
1974,79
1975,80
1976,61
1977,58
1978,63
1979,60
1980,9
1981,91
1982,79
1983,42
1984,117
1985,201
1986,167
1987,162
1988,49
1989,247
1990,60
1991,237
1992,75
1993,136
1994,173
1995,240
1996,132
1997,138
1998,65
1999,78
2000,80
2001,82
2002,43
2003,69
2004,26
2005,0
2006,52
2007,130
2008,69
2009,84
2010,0
2011,122
2012,24
2013,144
2014,34
2015,99
2016,70
2017,180
2018,54
2019,68
2020,45
2021,35
2022,33
2023,53
2024,0
2025,37
2026,129
2027,31
2028,17
2029,178
2030,137
2031,312
2032,118
2033,338
2034,208
2035,311
2036,94
2037,265
2038,368
2039,202
2040,124
2041,152
2042,119
2043,115
2044,53
2045,123
2046,85
2047,54
2048,32
2049,18
2050,0
2051,79
2052,74
2053,93
2054,31
2055,43
2056,0
2057,122
2058,35
2059,116
2060,49
2061,78
2062,35
2063,60
2064,23
2065,23
2066,4
2067,87
2068,0
2069,6
2070,0
2071,0
2072,0
2073,0
2074,3
2075,0
2076,0
2077,0
2078,0
2079,7
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,3
2090,0
2091,66
2092,60
2093,38
2094,73
2095,105
2096,82
2097,118
2098,64
2099,149
2100,104
2101,137
2102,89
2103,115
2104,84
2105,114
2106,123
2107,116
2108,92
2109,80
2110,88
2111,71
2112,35
2113,127
2114,146
2115,131
2116,134
2117,166
2118,142
2119,157
2120,136
2121,202
2122,167
2123,174
2124,155
2125,178
2126,150
2127,169
2128,191
2129,185
2130,141
2131,153
2132,151
2133,144
2134,122
2135,22
2136,52
2137,6
2138,25
2139,64
2140,53
2141,54
2142,26
2143,74
2144,67
2145,78
2146,65
2147,66
2148,36
2149,70
2150,63
2151,74
2152,57
2153,54
2154,54
2155,31
2156,2
2157,85
2158,97
2159,85
2160,66
2161,165
2162,150
2163,329
2164,121
2165,976
2166,197
2167,350
2168,159
2169,283
2170,284
2171,243
2172,197
2173,228
2174,160
2175,165
2176,117
2177,117
2178,91
2179,109
2180,114
2181,90
2182,91
2183,142
2184,151
2185,149
2186,104
2187,181
2188,115
2189,178
2190,124
2191,157
2192,132
2193,177
2194,146
2195,160
2196,129
2197,120
2198,129
2199,111
2200,91
2201,100
2202,132
2203,106
2204,105
2205,173
2206,159
2207,171
2208,127
2209,184
2210,121
2211,192
2212,133
2213,198
2214,149
2215,172
2216,169
2217,156
2218,154
2219,173
2220,99
2221,125
2222,138
2223,60
2224,25
2225,27
2226,60
2227,59
2228,58
2229,81
2230,50
2231,88
2232,37
2233,92
2234,38
2235,98
2236,71
2237,93
2238,42
2239,49
2240,36
2241,67
2242,32
2243,49
2244,42
2245,59
2246,100
2247,59
2248,37
2249,138
2250,116
2251,113
2252,83
2253,242
2254,101
2255,140
2256,96
2257,135
2258,90
2259,141
2260,127
2261,134
2262,114
2263,114
2264,67
2265,78
2266,65
2267,39
2268,60
2269,35
2270,54
2271,107
2272,91
2273,96
2274,65
2275,178
2276,70
2277,120
2278,64
2279,129
2280,82
2281,110
2282,102
2283,104
2284,78
2285,140
2286,39
2287,65
2288,68
2289,25
2290,13
2291,0
2292,0
2293,62
2294,38
2295,0
2296,0
2297,13
2298,0
2299,7
2300,8
2301,19
2302,0
2303,2
2304,37
2305,51
2306,4
2307,20
2308,32
2309,30
2310,0
2311,39
2312,49
2313,36
2314,31
2315,70
2316,85
2317,70
2318,50
2319,50
2320,29
2321,90
2322,65
2323,97
2324,85
2325,93
2326,54
2327,69
2328,51
2329,47
2330,49
2331,47
2332,29
2333,0
2334,0
2335,0
2336,0
2337,51
2338,38
2339,2
2340,0
2341,0
2342,0
2343,31
2344,9
2345,43
2346,0
2347,37
2348,18
2349,28
2350,0
2351,21
2352,2
2353,1
2354,0
2355,57
2356,65
2357,48
2358,63
2359,101
2360,127
2361,127
2362,72
2363,95
2364,64
2365,156
2366,96
2367,121
2368,119
2369,146
2370,93
2371,109
2372,84
2373,88
2374,79
2375,83
2376,42
2377,10
2378,22
2379,22
2380,14
2381,68
2382,49
2383,120
2384,55
2385,70
2386,42
2387,87
2388,52
2389,153
2390,57
2391,70
2392,41
2393,59
2394,46
2395,72
2396,40
2397,36
2398,24
2399,55
2400,85
2401,69
2402,62
2403,106
2404,118
2405,111
2406,82
2407,111
2408,68
2409,139
2410,95
2411,130
2412,113
2413,138
2414,97
2415,112
2416,72
2417,88
2418,73
2419,87
2420,49
2421,29
2422,49
2423,8
2424,17
2425,83
2426,77
2427,112
2428,26
2429,65
2430,36
2431,130
2432,52
2433,120
2434,89
2435,121
2436,49
2437,66
2438,46
2439,33
2440,31
2441,41
2442,7
2465,13
2466,39
2467,0
2468,0
2469,120
2470,70
2471,50
2472,0
2473,114
2474,2
2475,137
2476,34
2477,53
2478,39
2479,58
2480,34
2481,43
2482,25
2483,0
2484,3
2485,8
2486,0
2487,51
2488,97
2489,35
2490,67
2491,150
2492,84
2493,70
2494,44
2495,114
2496,54
2497,86
2498,63
2499,109
2500,56
2501,66
2502,85
2503,106
2504,58
2505,86
2506,69
2507,84
2508,65
2509,23
2510,52
2511,20
2512,11
2513,132
2514,98
2515,91
2516,59
2517,91
2518,53
2519,107
2520,60
2521,92
2522,106
2523,94
2524,78
2525,97
2526,70
2527,69
2528,47
2529,82
2530,21
2531,0
2532,17
2533,14
2534,0
2535,24
2536,32
2537,39
2538,16
2539,0
2540,10
2541,39
2542,25
2543,47
2544,18
2545,21
2546,30
2547,56
2548,6
2549,29
2550,17
2551,39
2552,3
2553,46
2554,102
2555,69
2556,58
2557,151
2558,96
2559,106
2560,118
2561,77
2562,81
2563,104
2564,90
2565,168
2566,115
2567,102
2568,93
2569,112
2570,76
2571,84
2572,131
2573,117
2574,53
2575,47
2576,145
2577,63
2578,90
2579,167
2580,113
2581,179
2582,103
2583,292
2584,69
2585,210
2586,79
2587,205
2588,194
2589,230
2590,121
2591,135
2592,89
2593,85
2594,131
2595,141
2596,34
2597,51
2598,133
2599,39
2600,79
2601,124
2602,126
2603,140
2604,97
2605,109
2606,81
2607,183
2608,100
2609,137
2610,133
2611,121
2612,146
2613,141
2614,98
2615,109
2616,119
2617,90
2618,47
2619,0
2620,2
2621,0
2622,0
2623,48
2624,0
2625,35
2626,0
2627,21
2628,0
2629,51
2630,0
2631,48
2632,18
2633,33
2634,0
2635,13
2636,0
2637,0
2638,55
2639,30
2640,0
2641,60
2642,70
2643,49
2644,39
2645,102
2646,92
2647,106
2648,63
2649,76
2650,69
2651,124
2652,80
2653,101
2654,85
2655,111
2656,82
2657,86
2658,65
2659,67
2660,65
2661,66
2662,32
2663,44
2664,48
2665,23
2666,26
2667,90
2668,77
2669,94
2670,22
2671,98
2672,51
2673,128
2674,52
2675,98
2676,64
2677,130
2678,82
2679,96
2680,42
2681,75
2682,57
2683,95
2684,24
2685,57
2686,93
2687,75
2688,59
2689,76
2690,82
2691,114
2692,76
2693,140
2694,92
2695,134
2696,80
2697,131
2698,99
2699,140
2700,93
2701,104
2702,77
2703,139
2704,59
2705,86
2706,97
2707,96
2708,150
2709,97
2710,51
2711,137
2712,155
2713,376
2714,131
2715,766
2716,162
2717,444
2718,149
2719,266
2720,375
2721,357
2722,160
2723,186
2724,156
2725,210
2726,89
2727,137
2728,139
2729,76
2730,110
2731,84
2732,82
2733,105
2734,97
2735,167
2736,78
2737,181
2738,93
2739,183
2740,83
2741,162
2742,140
2743,189
2744,105
2745,115
2746,64
2747,121
2748,75
2749,94
2750,79
2751,57
2752,93
2753,64
2754,42
2755,109
2756,100
2757,115
2758,71
2759,256
2760,109
2761,162
2762,102
2763,122
2764,195
2765,157
2766,112
2767,130
2768,109
2769,143
2770,79
2771,99
2772,84
2773,63
2774,267
2775,117
2776,16
2777,165
2778,194
2779,318
2780,190
2781,237
2782,213
2783,250
2784,167
2785,339
2786,401
2787,191
2788,185
2789,220
2790,150
2791,192
2792,102
2793,208
2794,134
2795,110
2796,209
2797,138
2798,107
2799,355
