id,forecastVolum
1,235
2,299
3,143
4,247
5,345
6,169
7,394
8,174
9,1956
10,302
11,598
12,175
13,264
14,290
15,533
16,371
17,266
18,235
19,483
20,95
21,249
22,214
23,266
24,269
25,179
26,190
27,542
28,359
29,805
30,261
31,5832
32,631
33,1225
34,340
35,611
36,628
37,1040
38,631
39,525
40,843
41,994
42,195
43,316
44,442
45,145
46,276
47,219
48,326
49,403
50,151
51,367
52,157
53,1401
54,200
55,432
56,130
57,368
58,325
59,363
60,257
61,232
62,119
63,460
64,166
65,250
66,243
67,115
68,235
69,115
70,73
71,326
72,222
73,270
74,124
75,2600
76,299
77,687
78,252
79,309
80,380
81,817
82,411
83,398
84,339
85,263
86,109
87,174
88,126
89,159
90,3381
91,450
92,74
93,1352
94,1609
95,3184
96,1620
97,1236
98,2042
99,1869
100,855
101,3326
102,4161
103,1181
104,1296
105,1565
106,375
107,836
108,243
109,1592
110,412
111,305
112,431
113,445
114,71
115,943
116,1179
117,1522
118,474
119,5452
120,630
121,1362
122,789
123,1940
124,2415
125,798
126,1114
127,1258
128,299
129,288
130,536
131,527
132,342
133,1122
134,217
135,168
136,1189
137,319
138,356
139,1096
140,296
141,1070
142,133
143,1090
144,219
145,725
146,781
147,841
148,275
149,199
150,203
151,318
152,123
153,309
154,203
155,253
156,62
157,15
158,39
159,184
160,332
161,240
162,31
163,194
164,75
165,649
166,168
167,119
168,222
169,340
170,182
171,179
172,91
173,22
174,59
175,105
176,7
177,676
178,266
179,216
180,352
181,735
182,779
183,770
184,289
185,636
186,241
187,1131
188,685
189,537
190,765
191,695
192,820
193,831
194,341
195,206
196,308
197,305
198,115
199,560
200,254
201,230
202,30
203,922
204,1467
205,1766
206,431
207,720
208,491
209,2232
210,1014
211,1075
212,1865
213,1240
214,911
215,870
216,618
217,223
218,289
219,427
220,102
221,91
222,322
223,207
224,130
225,979
226,677
227,1358
228,511
229,860
230,640
231,711
232,753
233,1108
234,2019
235,1250
236,835
237,895
238,471
239,177
240,487
241,1046
242,105
243,48
244,413
245,279
246,33
247,688
248,548
249,1068
250,673
251,752
252,476
253,495
254,520
255,1217
256,1304
257,480
258,509
259,682
260,254
261,335
262,343
263,798
264,214
265,98
266,828
267,480
268,41
269,1317
270,1026
271,1607
272,663
273,786
274,597
275,1047
276,824
277,1550
278,1838
279,735
280,924
281,940
282,401
283,266
284,411
285,755
286,397
287,270
288,1151
289,762
290,162
291,2132
292,1983
293,2686
294,721
295,1519
296,770
297,2364
298,1202
299,2101
300,4146
301,1439
302,1558
303,1924
304,568
305,727
306,765
307,900
308,493
309,537
310,393
311,413
312,713
313,681
314,839
315,1081
316,659
317,389
318,146
319,1240
320,311
321,1315
322,1005
323,607
324,316
325,415
326,261
327,177
328,377
329,513
330,73
331,21
332,853
333,539
334,154
335,1413
336,285
337,1763
338,612
339,1110
340,355
341,469
342,294
343,1881
344,1259
345,384
346,368
347,954
348,299
349,683
350,156
351,503
352,795
353,1301
354,707
355,323
356,150
357,1394
358,1307
359,1723
360,624
361,561
362,355
363,1945
364,819
365,1806
366,2334
367,951
368,856
369,1023
370,468
371,291
372,604
373,649
374,183
375,186
376,538
377,569
378,44
379,951
380,819
381,2204
382,1239
383,327
384,245
385,941
386,394
387,2096
388,1700
389,426
390,205
391,387
392,215
393,561
394,238
395,708
396,418
397,318
398,412
399,507
400,886
401,1199
402,641
