id,forecastVolum
1,30
2,31
3,23
4,29
5,33
6,24
7,34
8,25
9,93
10,30
11,54
12,25
13,33
14,33
15,54
16,34
17,31
18,30
19,52
20,21
21,33
22,29
23,34
24,31
25,29
26,29
27,42
28,45
29,47
30,34
31,524
32,42
33,63
34,39
35,43
36,43
37,59
38,41
39,51
40,52
41,61
42,28
43,40
44,46
45,24
46,31
47,23
48,30
49,33
50,22
51,34
52,25
53,74
54,25
55,36
56,21
57,35
58,34
59,35
60,28
61,26
62,20
63,39
64,23
65,30
66,27
67,27
68,33
69,25
70,23
71,40
72,32
73,41
74,30
75,265
76,38
77,54
78,35
79,43
80,55
81,63
82,55
83,46
84,51
85,52
86,23
87,34
88,31
89,28
90,209
91,46
92,22
93,62
94,71
95,278
96,72
97,85
98,77
99,84
100,45
101,263
102,134
103,66
104,62
105,72
106,43
107,57
108,29
109,77
110,48
111,45
112,48
113,51
114,19
115,60
116,59
117,76
118,50
119,2
120,50
121,64
122,46
123,91
124,107
125,63
126,64
127,66
128,38
129,45
130,48
131,53
132,46
133,49
134,27
135,23
136,48
137,31
138,33
139,58
140,32
141,71
142,22
143,53
144,27
145,53
146,48
147,45
148,31
149,26
150,26
151,34
152,23
153,34
154,27
155,50
156,23
157,18
158,22
159,30
160,50
161,40
162,21
163,52
164,23
165,63
166,30
167,31
168,45
169,45
170,33
171,31
172,26
173,20
174,23
175,30
176,17
177,56
178,33
179,31
180,42
181,49
182,59
183,64
184,45
185,82
186,33
187,65
188,60
189,46
190,65
191,62
192,60
193,59
194,45
195,38
196,44
197,41
198,26
199,54
200,45
201,36
202,21
203,62
204,67
205,145
206,47
207,78
208,42
209,143
210,68
211,78
212,164
213,112
214,70
215,72
216,56
217,50
218,49
219,45
220,25
221,28
222,38
223,31
224,31
225,57
226,43
227,68
228,54
229,94
230,41
231,63
232,48
233,62
234,110
235,258
236,53
237,59
238,44
239,33
240,40
241,59
242,23
243,20
244,46
245,33
246,19
247,46
248,43
249,64
250,55
251,70
252,48
253,46
254,46
255,74
256,66
257,48
258,52
259,45
260,33
261,50
262,44
263,55
264,37
265,23
266,44
267,46
268,18
269,67
270,58
271,77
272,44
273,73
274,49
275,63
276,46
277,81
278,80
279,60
280,54
281,46
282,43
283,33
284,45
285,44
286,45
287,43
288,64
289,55
290,33
291,101
292,67
293,180
294,57
295,187
296,52
297,175
298,62
299,158
300,90
301,161
302,79
303,65
304,46
305,62
306,52
307,63
308,42
309,47
310,34
311,36
312,53
313,52
314,47
315,59
316,54
317,58
318,23
319,70
320,34
321,64
322,60
323,52
324,31
325,44
326,29
327,25
328,31
329,47
330,18
331,19
332,56
333,42
334,31
335,60
336,46
337,153
338,57
339,88
340,42
341,43
342,43
343,160
344,72
345,44
346,48
347,62
348,45
349,62
350,29
351,46
352,58
353,84
354,57
355,43
356,38
357,125
358,87
359,201
360,58
361,80
362,45
363,216
364,66
365,187
366,200
367,54
368,69
369,50
370,62
371,43
372,55
373,61
374,32
375,38
376,53
377,50
378,21
379,61
380,59
381,290
382,72
383,66
384,40
385,72
386,49
387,291
388,218
389,44
390,43
391,40
392,44
393,60
394,41
395,56
396,40
397,31
398,39
399,43
400,44
401,47
402,52
403,68
404,41
405,68
406,30
407,63
408,34
409,71
410,64
411,48
412,50
413,46
414,38
415,53
416,32
417,48
418,44
419,31
420,25
421,17
422,18
423,32
424,33
425,47
426,19
427,45
428,21
429,52
430,31
431,34
432,33
433,52
434,30
435,33
436,25
437,25
438,22
439,22
440,18
441,50
442,50
443,50
444,43
445,74
446,65
447,73
448,49
449,87
450,43
451,204
452,46
453,217
454,136
455,79
456,49
457,48
458,45
459,47
460,45
461,47
462,44
463,43
464,32
465,31
466,48
467,49
468,50
469,64
470,31
471,60
472,30
473,76
474,34
475,66
476,60
477,66
478,41
479,44
480,33
481,34
482,23
483,45
484,31
485,18
486,19
487,18
488,17
489,24
490,43
491,43
492,30
493,29
494,23
495,31
496,20
497,48
498,38
499,21
500,27
501,25
502,18
503,27
504,18
505,25
506,21
507,42
508,27
509,18
510,42
511,40
512,32
513,36
514,22
515,60
516,23
517,52
518,26
519,34
520,34
521,52
522,33
523,30
524,32
525,27
526,28
527,27
528,18
529,33
530,24
531,19
532,29
533,32
534,27
535,33
536,22
537,63
538,23
539,51
540,25
541,28
542,31
543,48
544,31
545,28
546,30
547,25
548,23
549,26
550,18
551,40
552,29
553,19
554,44
555,34
556,28
557,34
558,23
559,64
560,24
561,50
562,25
563,30
564,31
565,58
566,34
567,29
568,31
569,27
570,25
571,27
572,18
573,29
574,19
575,16
576,26
577,24
578,23
579,30
580,19
581,38
582,18
583,45
584,20
585,28
586,26
587,51
588,21
589,20
590,19
591,20
592,18
593,22
594,15
595,50
596,25
597,23
598,41
599,45
600,33
601,46
602,25
603,59
604,23
605,60
606,30
607,37
608,36
609,61
610,34
611,33
612,30
613,35
614,25
615,34
616,23
617,36
618,25
619,23
620,31
621,33
622,30
623,44
624,25
625,61
626,23
627,48
628,28
629,35
630,35
631,59
632,35
633,31
634,30
635,25
636,23
637,27
638,18
639,40
640,26
641,23
642,43
643,38
644,32
645,44
646,25
647,72
648,24
649,52
650,30
651,35
652,36
653,60
654,35
655,33
656,32
657,33
658,24
659,32
660,23
661,43
662,29
663,18
664,41
665,39
666,32
667,34
668,20
669,66
670,23
671,61
672,26
673,35
674,35
675,66
676,32
677,32
678,31
679,27
680,26
681,28
682,18
683,30
684,46
685,22
686,20
687,41
688,61
689,76
690,50
691,286
692,74
693,77
694,47
695,63
696,31
697,57
698,48
699,44
700,32
701,47
702,23
703,43
704,42
705,45
706,33
707,44
708,20
709,45
710,46
711,57
712,36
713,38
714,23
715,61
716,46
717,47
718,44
719,45
720,33
721,50
722,31
723,24
724,24
725,57
726,22
727,33
728,25
729,18
730,20
731,29
732,25
733,34
734,21
735,33
736,19
737,44
738,21
739,32
740,35
741,39
742,21
743,25
744,20
745,20
746,21
747,27
748,18
749,26
750,20
751,18
752,40
753,34
754,29
755,54
756,27
757,78
758,31
759,50
760,30
761,42
762,34
763,53
764,46
765,35
766,43
767,30
768,30
769,27
770,18
771,28
772,33
773,42
774,50
775,49
776,30
777,47
778,34
779,82
