id,forecastVolum
1,275
2,316
3,176
4,270
5,394
6,180
7,492
8,208
9,2762
10,368
11,732
12,164
13,349
14,336
15,566
16,392
17,296
18,295
19,631
20,117
21,298
22,279
23,550
24,485
25,317
26,390
27,933
28,517
29,1590
30,471
31,10245
32,1192
33,2364
34,610
35,1196
36,1134
37,2250
38,1012
39,927
40,1734
41,2099
42,309
43,526
44,883
45,171
46,338
47,226
48,440
49,369
50,149
51,442
52,166
53,1535
54,172
55,469
56,163
57,364
58,358
59,410
60,281
61,287
62,119
63,510
64,171
65,280
66,243
67,210
68,360
69,189
70,159
71,600
72,326
73,553
74,206
75,5181
76,580
77,1110
78,483
79,634
80,804
81,1775
82,714
83,841
84,960
85,779
86,184
87,339
88,320
89,213
90,2363
91,446
92,113
93,1026
94,1197
95,2774
96,1292
97,1642
98,1544
99,1578
100,679
101,2893
102,2258
103,1303
104,989
105,1134
106,401
107,864
108,221
109,1296
110,544
111,365
112,547
113,628
114,124
115,1137
116,1201
117,2119
118,659
119,6105
120,625
121,1777
122,943
123,2243
124,2840
125,1272
126,1117
127,1585
128,376
129,428
130,591
131,570
132,571
133,1036
134,161
135,185
136,1414
137,419
138,383
139,1085
140,317
141,1076
142,118
143,1263
144,183
145,813
146,864
147,1053
148,275
149,234
150,240
151,420
152,159
153,408
154,254
155,350
156,109
157,58
158,91
159,367
160,400
161,406
162,69
163,427
164,115
165,720
166,208
167,224
168,264
169,450
170,238
171,224
172,162
173,87
174,90
175,136
176,41
177,928
178,312
179,338
180,466
181,1072
182,957
183,1261
184,371
185,1007
186,263
187,1222
188,997
189,662
190,1167
191,1068
192,1209
193,1184
194,455
195,375
196,353
197,394
198,212
199,1275
200,586
201,622
202,137
203,2194
204,2281
205,3926
206,1102
207,2561
208,1005
209,4687
210,1817
211,2343
212,3499
213,3237
214,1774
215,2018
216,1089
217,877
218,547
219,1092
220,376
221,120
222,294
223,227
224,659
225,997
226,683
227,1706
228,525
229,1356
230,575
231,945
232,689
233,1040
234,1826
235,2070
236,931
237,895
238,723
239,164
240,413
241,1060
242,138
243,78
244,380
245,250
246,90
247,832
248,419
249,1145
250,781
251,943
252,383
253,490
254,373
255,1269
256,1204
257,592
258,427
259,600
260,301
261,327
262,312
263,774
264,205
265,95
266,604
267,385
268,75
269,1186
270,738
271,1612
272,611
273,760
274,414
275,958
276,547
277,1583
278,1427
279,767
280,657
281,592
282,301
283,333
284,303
285,498
286,528
287,338
288,1003
289,876
290,310
291,2197
292,1665
293,3365
294,877
295,2280
296,593
297,2769
298,1027
299,2511
300,3350
301,2324
302,1542
303,1712
304,724
305,1144
306,757
307,889
308,865
309,659
310,449
311,530
312,889
313,848
314,845
315,1136
316,706
317,529
318,170
