id,forecastVolum
1,28
2,31
3,26
4,38
5,53
6,35
7,98
8,28
9,234
10,29
11,119
12,25
13,69
14,76
15,104
16,44
17,39
18,32
19,43
20,24
21,30
22,30
23,56
24,74
25,56
26,71
27,121
28,90
29,273
30,79
31,1845
32,121
33,240
34,83
35,199
36,205
37,184
38,111
39,126
40,118
41,152
42,59
43,81
44,95
45,26
46,29
47,24
48,34
49,52
50,31
51,105
52,21
53,145
54,24
55,110
56,24
57,77
58,79
59,102
60,35
61,33
62,26
63,36
64,22
65,24
66,24
67,29
68,29
69,25
70,31
71,55
72,34
73,78
74,24
75,168
76,29
77,113
78,27
79,75
80,77
81,121
82,43
83,41
84,36
85,36
86,27
87,28
88,22
89,57
90,281
91,57
92,50
93,220
94,184
95,294
96,166
97,294
98,226
99,268
100,108
101,334
102,381
103,211
104,158
105,180
106,87
107,163
108,51
109,159
110,84
111,57
112,80
113,61
114,64
115,155
116,120
117,260
118,91
119,125
120,104
121,217
122,105
123,241
124,215
125,143
126,133
127,167
128,74
129,82
130,78
131,83
132,83
133,49
134,29
135,21
136,56
137,59
138,46
139,118
140,28
141,109
142,22
143,127
144,25
145,86
146,86
147,96
148,38
149,38
150,29
151,44
152,36
153,29
154,26
155,32
156,24
157,17
158,28
159,50
160,44
161,99
162,20
163,77
164,22
165,155
166,29
167,56
168,80
169,119
170,35
171,37
172,26
173,21
174,19
175,24
176,16
177,73
178,49
179,44
180,66
181,119
182,102
183,164
184,52
185,114
186,47
187,175
188,73
189,136
190,147
191,141
192,102
193,105
194,53
195,49
196,49
197,53
198,41
199,88
200,63
201,55
202,49
203,237
204,226
205,445
206,94
207,278
208,116
209,410
210,134
211,310
212,330
213,322
214,180
215,211
216,101
217,100
218,52
219,89
220,53
221,36
222,47
223,43
224,47
225,113
226,77
227,189
228,50
229,142
230,47
231,174
232,57
233,152
234,170
235,167
236,74
237,79
238,50
239,44
240,41
241,69
242,38
243,28
244,44
245,37
246,36
247,90
248,59
249,140
250,61
251,110
252,42
253,118
254,44
255,122
256,116
257,112
258,59
259,63
260,43
261,42
262,37
263,69
264,35
265,31
266,44
267,35
268,42
269,110
270,69
271,154
272,47
273,105
274,39
275,139
276,44
277,136
278,149
279,127
280,61
281,64
282,38
283,39
284,39
285,45
286,37
287,74
288,173
289,92
290,60
291,233
292,187
293,583
294,118
295,518
296,116
297,579
298,119
299,264
300,632
301,282
302,164
303,219
304,94
305,130
306,97
307,102
308,93
309,38
310,45
311,40
312,49
313,89
314,66
315,130
316,41
317,79
318,39
319,139
320,43
321,122
322,113
323,106
324,58
325,60
326,40
327,39
328,39
329,48
330,36
331,33
332,81
333,59
334,51
335,189
336,85
337,321
338,96
339,173
340,64
341,170
342,64
343,345
344,264
345,125
346,74
347,109
348,69
349,104
350,69
351,81
352,96
353,127
354,130
355,83
356,90
357,254
358,211
359,336
360,140
361,222
362,97
363,368
364,138
365,309
366,339
367,321
368,137
369,162
370,118
371,115
372,89
373,129
374,58
375,71
376,99
377,78
378,62
379,148
380,105
381,393
382,118
383,133
384,80
385,193
386,86
387,351
388,411
389,137
390,81
391,104
392,77
393,103
394,99
395,101
396,84
397,37
398,52
399,39
400,51
401,93
402,65
403,147
404,40
405,105
406,39
407,136
408,42
409,129
410,139
411,125
412,65
413,64
414,49
415,50
416,39
417,50
418,46
419,59
420,56
421,39
422,50
423,109
424,80
425,137
426,44
427,102
428,39
429,140
430,54
431,131
432,116
433,129
434,80
435,85
436,63
437,46
438,64
439,61
440,43
441,65
442,93
443,66
444,105
445,306
446,159
447,362
448,98
449,213
450,79
451,335
452,94
453,395
454,327
455,302
456,108
457,132
458,87
459,112
460,81
461,94
462,96
463,45
464,35
465,32
466,49
467,93
468,61
469,180
470,32
471,133
472,32
473,193
474,35
475,146
476,153
477,177
478,63
479,58
480,38
481,41
482,32
483,40
484,32
485,21
486,21
487,18
488,22
489,40
490,28
491,66
492,19
493,45
494,20
495,53
496,21
497,55
498,52
499,44
500,28
501,29
502,20
503,20
504,19
505,19
506,17
507,39
508,38
509,27
510,39
511,77
512,42
513,112
514,27
515,133
516,28
517,144
518,30
519,75
520,114
521,131
522,39
523,40
524,36
525,33
526,47
527,33
528,26
529,28
530,25
531,19
532,30
533,46
534,33
535,72
536,20
537,74
538,20
539,97
540,23
541,52
542,61
543,86
544,34
545,32
546,27
547,26
548,24
549,25
550,19
551,49
552,35
553,23
554,53
555,68
556,49
557,120
558,24
559,147
560,25
561,165
562,29
563,65
564,76
565,157
566,46
567,43
568,37
569,36
570,28
571,32
572,23
573,80
574,39
575,24
576,63
577,72
578,60
579,88
580,22
581,3
582,26
583,45
584,34
585,90
586,64
587,54
588,53
589,53
590,39
591,33
592,41
593,39
594,23
595,62
596,39
597,34
598,51
599,81
600,51
601,78
602,33
603,120
604,34
605,143
606,38
607,97
608,45
609,145
610,72
611,65
612,42
613,53
614,39
615,72
616,33
617,39
618,33
619,24
620,37
621,79
622,43
623,109
624,23
625,126
626,23
627,157
628,31
629,114
630,88
631,149
632,42
633,44
634,35
635,32
636,35
637,31
638,23
639,83
640,44
641,37
642,72
643,82
644,67
645,99
646,37
647,113
648,38
649,130
650,39
651,89
652,88
653,129
654,74
655,71
656,44
657,43
658,71
659,42
660,38
661,52
662,37
663,21
664,47
665,75
666,52
667,107
668,21
669,169
670,28
671,190
672,33
673,72
674,91
675,193
676,49
677,49
678,42
679,36
680,41
681,35
682,24
683,62
684,101
685,53
686,59
687,160
688,136
689,327
690,95
691,333
692,193
693,254
694,85
695,234
696,341
697,177
698,107
699,132
700,82
701,108
702,65
703,96
704,85
705,42
706,34
707,34
708,38
709,76
710,53
711,136
712,34
713,65
714,27
715,128
716,36
717,100
718,98
719,101
720,44
721,48
722,34
723,29
724,28
725,56
726,26
727,27
728,25
729,24
730,29
731,40
732,38
733,70
734,24
735,35
736,25
737,65
738,27
739,54
740,46
741,52
742,32
743,31
744,25
745,24
746,24
747,27
748,24
749,27
750,25
751,22
752,32
753,49
754,30
755,79
756,22
757,161
758,28
759,101
760,23
761,57
762,60
763,93
764,38
765,34
766,30
767,28
768,24
769,22
770,21
771,37
772,40
773,40
774,44
775,77
776,50
777,95
778,39
779,160
780,40
781,101
782,40
783,99
784,84
785,92
786,72
787,58
788,39
789,43
790,39
791,45
792,39
793,21
794,22
795,21
796,23
797,43
798,27
799,68
800,21
801,91
802,21
803,78
804,22
805,54
806,60
807,73
808,28
809,28
810,23
811,23
812,21
813,21
814,20
815,47
816,57
817,59
818,57
819,135
820,94
821,259
822,97
823,1792
824,173
825,235
826,112
827,199
828,177
829,189
830,129
831,168
832,120
833,158
834,62
835,68
836,75
837,34
838,38
839,38
840,37
841,74
842,49
843,94
844,40
845,129
846,37
847,105
848,41
849,91
850,95
851,92
852,60
853,57
854,41
855,43
856,41
857,40
858,35
859,34
860,39
861,35
862,38
863,72
864,57
865,159
866,39
867,208
868,35
869,151
870,38
871,110
872,117
873,128
874,64
875,57
876,45
877,59
878,34
879,43
880,41
881,20
882,18
883,18
884,23
885,30
886,21
887,65
888,19
889,61
890,20
891,57
892,20
893,51
894,44
895,53
896,25
897,24
898,19
899,19
900,17
901,20
902,18
903,35
904,39
905,32
906,40
907,66
908,52
909,121
910,36
911,273
912,40
913,132
914,37
915,91
916,101
917,124
918,59
919,57
920,45
921,41
922,29
923,36
924,34
925,39
926,39
927,36
928,48
929,73
930,58
931,184
932,44
933,233
934,40
935,147
936,40
937,116
938,113
939,140
940,58
941,58
942,47
943,70
944,33
945,43
946,48
947,29
948,26
949,20
950,34
951,43
952,36
953,97
954,21
955,90
956,20
957,61
958,23
959,45
960,46
961,50
962,29
963,36
964,25
965,25
966,29
967,27
968,20
969,20
970,22
971,20
972,20
973,48
974,33
975,87
976,20
977,73
978,22
979,93
980,23
981,70
982,94
983,87
984,29
985,29
986,22
987,22
988,22
989,21
990,19
991,14
992,20
993,17
994,23
995,38
996,30
997,57
998,16
999,28
1000,16
1001,55
1002,19
1003,47
1004,52
1005,49
1006,28
1007,28
1008,17
1009,21
1010,21
1011,19
1012,15
1013,30
1014,30
1015,27
1016,35
1017,71
1018,52
1019,136
1020,28
1021,128
1022,30
1023,172
1024,33
1025,94
1026,148
1027,154
1028,42
1029,45
1030,33
1031,33
1032,30
1033,30
1034,25
1035,21
1036,28
1037,23
1038,21
1039,65
1040,29
1041,115
1042,26
1043,66
1044,24
1045,78
1046,28
1047,110
1048,80
1049,69
1050,30
1051,31
1052,27
1053,27
1054,27
1055,26
1056,22
1057,29
1058,32
1059,29
1060,35
1061,66
1062,54
1063,114
1064,30
1065,87
1066,29
1067,114
1068,32
1069,91
1070,112
1071,122
1072,46
1073,45
1074,33
1075,33
1076,30
1077,34
1078,27
1079,27
1080,29
1081,20
1082,28
1083,63
1084,41
1085,110
1086,21
1087,98
1088,23
1089,134
1090,26
1091,91
1092,99
1093,101
1094,34
1095,34
1096,31
1097,25
1098,25
1099,26
1100,18
1123,36
1124,34
1125,21
1126,39
1127,71
1128,51
1129,100
1130,24
1131,162
1132,32
1133,191
1134,34
1135,70
1136,90
1137,187
1138,41
1139,44
1140,41
1141,32
1142,30
1143,31
1144,24
1145,39
1146,40
1147,33
1148,51
1149,73
1150,46
1151,149
1152,32
1153,167
1154,32
1155,141
1156,33
1157,97
1158,100
1159,93
1160,45
1161,49
1162,36
1163,37
1164,35
1165,35
1166,35
1167,37
1168,45
1169,34
1170,40
1171,98
1172,86
1173,127
1174,44
1175,118
1176,42
1177,131
1178,46
1179,110
1180,159
1181,110
1182,63
1183,80
1184,44
1185,41
1186,46
1187,66
1188,37
1189,20
1190,22
1191,21
1192,21
1193,40
1194,30
1195,66
1196,20
1197,31
1198,22
1199,50
1200,23
1201,48
1202,52
1203,42
1204,29
1205,33
1206,20
1207,22
1208,20
1209,25
1210,19
1211,28
1212,47
1213,38
1214,40
1215,100
1216,56
1217,117
1218,47
1219,93
1220,35
1221,104
1222,43
1223,116
1224,101
1225,77
1226,54
1227,62
1228,36
1229,35
1230,49
1231,54
1232,33
1233,65
1234,124
1235,74
1236,86
1237,175
1238,96
1239,197
1240,71
1241,158
1242,64
1243,202
1244,67
1245,199
1246,197
1247,179
1248,89
1249,103
1250,72
1251,64
1252,104
1253,107
1254,53
1255,22
1256,46
1257,22
1258,32
1259,55
1260,35
1261,89
1262,23
1263,70
1264,24
1265,88
1266,24
1267,73
1268,76
1269,72
1270,47
1271,40
1272,28
1273,26
1274,30
1275,24
1276,21
1277,23
1278,26
1279,20
1280,33
1281,63
1282,29
1283,89
1284,22
1285,69
1286,21
1287,80
1288,25
1289,74
1290,73
1291,61
1292,28
1293,31
1294,23
1295,20
1296,36
1297,35
1298,16
1299,30
1300,31
1301,30
1302,27
1303,69
1304,46
1305,109
1306,32
1307,92
1308,32
1309,119
1310,35
1311,91
1312,99
1313,96
1314,48
1315,49
1316,31
1317,29
1318,29
1319,37
1320,26
1321,22
1322,19
1323,16
1324,24
1325,35
1326,29
1327,51
1328,16
1329,44
1330,21
1331,56
1332,21
1333,39
1334,44
1335,47
1336,32
1337,32
1338,20
1339,22
1340,18
1341,27
1342,18
1343,24
1344,27
1345,21
1346,36
1347,55
1348,30
1349,79
1350,22
1351,239
1352,23
1353,112
1354,20
1355,54
1356,71
1357,101
1358,36
1359,32
1360,27
1361,43
1362,20
1363,24
1364,27
1365,53
1366,78
1367,54
1368,76
1369,137
1370,88
1371,251
1372,85
1373,1744
1374,121
1375,231
1376,90
1377,194
1378,204
1379,186
1380,107
1381,119
1382,113
1383,147
1384,57
1385,80
1386,93
1387,20
1388,23
1389,16
1390,25
1391,46
1392,22
1393,75
1394,15
1395,112
1396,17
1397,91
1398,18
1399,58
1400,63
1401,83
1402,26
1403,25
1404,20
1405,28
1406,17
1407,17
1408,17
1409,26
1410,26
1411,22
1412,29
1413,50
1414,33
1415,73
1416,21
1417,117
1418,26
1419,121
1420,25
1421,67
1422,74
1423,133
1424,41
1425,37
1426,33
1427,31
1428,24
1429,26
1430,19
1431,55
1432,260
1433,54
1434,39
1435,265
1436,176
1437,287
1438,160
1439,258
