id,forecastVolum
1,280
2,400
3,290
4,360
5,530
6,430
7,1060
8,300
9,2130
10,340
11,1510
12,350
13,630
14,1140
15,1370
16,500
17,440
18,370
19,390
20,290
21,360
22,270
23,660
24,1000
25,740
26,770
27,1350
28,910
29,2800
30,1000
31,2190
32,1220
33,2630
34,1070
35,2490
36,2960
37,1770
38,1180
39,1250
40,1110
41,1220
42,790
43,1000
44,850
45,240
46,390
47,290
48,300
49,510
50,400
51,830
52,300
53,1320
54,320
55,980
56,340
57,610
58,960
59,980
60,420
61,400
62,340
63,340
64,290
65,330
66,260
67,360
68,470
69,350
70,410
71,720
72,540
73,1330
74,330
75,2410
76,410
77,1630
78,430
79,1050
80,1550
81,1580
82,660
83,600
84,430
85,360
86,370
87,430
88,330
89,520
90,1710
91,810
92,470
93,1780
94,1420
95,3240
96,1480
97,2150
98,1470
99,2640
100,1480
101,3280
102,3730
103,1810
104,1330
105,1650
106,1010
107,1280
108,730
109,1470
110,940
111,490
112,1050
113,800
114,560
115,1350
116,1080
117,3000
118,1070
119,2270
120,1160
121,2570
122,1080
123,2850
124,3260
125,1540
126,1080
127,1300
128,860
129,900
130,770
131,1020
132,830
133,340
134,380
135,280
136,320
137,430
138,450
139,910
140,290
141,1060
142,310
143,1010
144,350
145,630
146,960
147,990
148,450
149,430
150,340
151,330
152,280
153,370
154,250
155,180
156,260
157,180
158,170
159,410
160,310
161,750
162,180
163,840
164,210
165,910
166,250
167,430
168,850
169,860
170,310
171,300
172,230
173,160
174,180
175,250
176,150
177,400
178,650
179,520
180,570
181,1290
182,810
183,1990
184,550
185,2110
186,590
187,1960
188,680
189,1550
190,2100
191,1800
192,870
193,960
194,550
195,560
196,510
197,660
198,440
199,460
200,980
201,690
202,370
203,1550
204,1290
205,3110
206,1050
207,1730
208,1170
209,2700
210,1090
211,2720
212,3170
213,1910
214,1150
215,1510
216,830
217,1030
218,680
219,900
220,660
221,270
222,570
223,480
224,560
225,1210
226,760
227,2100
228,550
229,2030
230,530
231,1740
232,620
233,1700
234,2200
235,1890
236,800
237,960
238,490
239,470
240,490
241,690
242,410
243,270
244,560
245,480
246,290
247,900
248,630
249,1520
250,500
251,1480
252,510
253,1280
254,550
255,1310
256,1700
257,1320
258,630
259,660
260,460
261,440
262,450
263,590
264,420
265,320
266,640
267,540
268,450
269,1230
270,810
271,1890
272,560
273,1640
274,580
275,1710
276,640
277,1650
278,2050
279,1730
280,830
281,860
282,500
283,510
284,480
285,670
286,480
287,760
288,1650
289,1080
290,810
291,2000
292,1690
293,3340
294,1430
295,1810
296,1440
297,3080
298,1600
299,3270
300,3610
301,2200
302,1500
303,1860
304,1190
305,1450
306,1070
307,1440
308,1040
309,410
310,640
311,550
312,690
313,1260
314,770
315,1870
316,610
317,1520
318,550
319,1810
320,640
321,1810
322,2010
323,1700
324,760
325,800
326,540
327,550
328,530
329,700
330,470
331,210
332,1080
333,680
334,390
335,1560
336,960
337,3220
338,1010
339,2040
340,1100
341,2500
342,940
343,3100
344,3120
345,1680
346,920
347,1310
348,760
349,1040
350,560
351,900
352,780
353,820
354,1480
355,920
356,690
357,1700
358,1430
359,3120
360,1440
361,1660
362,1270
363,2830
364,1500
365,3090
366,3350
367,1840
368,1330
369,1670
370,1080
371,1160
372,1010
373,1450
374,830
375,440
376,990
377,740
378,610
379,1460
380,950
381,3340
382,1080
383,1730
384,950
385,2690
386,890
387,3300
388,3330
389,1690
390,920
391,1120
392,720
393,930
394,650
395,960
396,740
397,350
398,580
399,560
400,700
401,1250
402,690
403,1990
404,560
405,1900
406,520
407,1760
408,570
409,1870
410,2130
411,1720
412,730
413,750
414,510
415,570
416,500
417,610
418,520
419,310
420,540
421,430
422,320
423,950
424,700
425,1570
426,440
427,1540
428,480
429,1620
430,560
431,1240
432,1660
433,1600
434,700
435,690
436,460
437,380
438,430
439,580
440,380
441,500
442,1050
443,800
444,660
445,1570
446,1210
447,2950
448,1030
449,1430
450,1060
451,2570
452,990
453,2820
454,3020
455,1670
456,1060
457,1270
458,870
459,1120
460,710
461,980
462,830
463,340
464,490
465,450
466,670
467,1260
468,680
469,2040
470,460
471,1940
472,430
473,1870
474,510
475,1920
476,2150
477,1910
478,700
479,750
480,450
481,480
482,380
483,540
484,410
485,230
486,350
487,260
488,230
489,520
490,460
491,820
492,280
493,600
494,280
495,600
496,330
497,650
498,880
499,540
500,410
501,400
502,270
503,240
504,250
505,330
506,230
507,400
508,430
509,320
510,390
511,750
512,510
513,1330
514,330
515,2020
516,340
517,1910
518,400
519,890
520,1380
521,1750
522,540
523,500
524,430
525,380
526,350
527,390
528,280
529,240
530,330
531,240
532,280
533,460
534,360
535,720
536,250
537,900
538,260
539,830
540,320
541,510
542,810
543,800
544,390
545,360
546,300
547,250
548,250
549,310
550,220
551,340
552,410
553,280
554,390
555,600
556,440
557,880
558,290
559,1360
560,330
561,1290
562,370
563,620
564,970
565,1220
566,510
567,450
568,380
569,350
570,330
571,370
572,250
573,90
574,150
575,90
576,150
577,320
578,160
579,520
580,80
581,650
582,110
583,460
584,140
585,320
586,670
587,510
588,210
589,180
590,120
591,90
592,70
593,150
594,60
595,270
596,320
597,210
598,270
599,480
600,370
601,880
602,210
603,1440
604,230
605,1390
606,270
607,590
608,970
609,1370
610,400
611,360
612,310
613,270
614,230
615,310
616,200
617,220
618,280
619,200
620,250
621,490
622,330
623,880
624,190
625,1250
626,210
627,1240
628,260
629,580
630,900
631,1200
632,370
633,320
634,250
635,200
636,190
637,250
638,170
639,330
640,390
641,280
642,420
643,650
644,510
645,1010
646,270
647,1730
648,310
649,1430
650,350
651,650
652,1090
653,1410
654,570
655,520
656,390
657,360
658,300
659,390
660,260
661,310
662,360
663,230
664,330
665,590
666,400
667,980
668,220
669,1700
670,260
671,1510
672,320
673,650
674,1080
675,1500
676,440
677,400
678,350
679,300
680,260
681,310
682,200
683,410
684,1000
685,600
686,420
687,1120
688,1100
689,2740
690,920
691,1770
692,1120
693,2430
694,990
695,2380
696,2940
697,1390
698,980
699,1090
700,880
701,880
702,680
703,920
704,710
705,250
706,480
707,380
708,230
709,700
710,570
711,1210
712,380
713,1070
714,410
715,1270
716,470
717,900
718,1320
719,1090
720,600
721,580
722,390
723,340
724,380
725,520
726,330
727,220
728,280
729,200
730,280
731,440
732,310
733,660
734,200
735,730
736,220
737,600
738,260
739,450
740,760
741,580
742,330
743,310
744,240
745,190
746,190
747,280
748,180
749,330
750,410
751,300
752,380
753,580
754,470
755,970
756,310
757,1360
758,330
759,1250
760,370
761,690
762,980
763,1190
764,510
765,490
766,380
767,350
768,330
769,360
770,270
771,420
772,610
773,550
774,640
775,1050
776,690
777,1390
778,560
779,1880
780,540
781,1480
782,600
783,1260
784,1460
785,1370
786,810
787,810
788,560
789,590
790,540
791,680
792,510
793,220
794,340
795,270
796,240
797,500
798,380
799,830
800,270
801,1100
802,290
803,980
804,330
805,570
806,940
807,950
808,370
809,360
810,310
811,270
812,250
813,310
814,240
815,760
816,1030
817,850
818,670
819,1500
820,1260
821,3160
822,1390
823,2790
824,1470
825,2960
826,1370
827,2940
828,3280
829,2200
830,1190
831,1660
832,1180
833,1600
834,910
835,1080
836,1090
837,330
838,580
839,500
840,540
841,960
842,670
843,1580
844,530
845,2590
846,520
847,1590
848,580
849,1290
850,1730
851,1450
852,790
853,770
854,520
855,530
856,460
857,620
858,460
859,310
860,460
861,380
862,310
863,700
864,570
865,1450
866,370
867,2650
868,410
869,1670
870,470
871,1000
872,1600
873,1500
874,660
875,600
876,450
877,380
878,370
879,450
880,330
881,190
882,260
883,180
884,270
885,370
886,290
887,680
888,190
889,940
890,200
891,640
892,240
893,470
894,760
895,630
896,310
897,300
898,220
899,200
900,170
901,260
902,170
903,320
904,450
905,340
906,380
907,710
908,510
909,1330
910,340
911,2680
912,390
913,1570
914,410
915,990
916,1470
917,1480
918,640
919,590
920,430
921,380
922,370
923,440
924,310
925,350
926,460
927,380
928,390
929,670
930,610
931,1490
932,400
933,2450
934,410
935,1700
936,470
937,1050
938,1520
939,1530
940,680
941,640
942,480
943,450
944,400
945,480
946,360
947,190
948,260
949,190
950,250
951,410
952,280
953,570
954,190
955,800
956,210
957,520
958,250
959,400
960,720
961,530
962,310
963,290
964,220
965,180
966,190
967,260
968,170
969,210
970,340
971,260
972,190
973,520
974,420
975,1050
976,270
977,1140
978,300
979,1160
980,340
981,740
982,1150
983,1130
984,420
985,400
986,290
987,230
988,250
989,310
990,230
991,170
992,300
993,210
994,180
995,400
996,340
997,620
998,200
999,470
1000,240
1001,470
1002,280
1003,440
1004,720
1005,450
1006,360
1007,350
1008,240
1009,180
1010,210
1011,290
1012,180
1013,350
1014,500
1015,360
1016,390
1017,960
1018,600
1019,1800
1020,380
1021,1930
1022,430
1023,2000
1024,510
1025,1320
1026,2050
1027,1850
1028,610
1029,600
1030,460
1031,380
1032,430
1033,480
1034,310
1035,170
1036,440
1037,340
1038,140
1039,710
1040,410
1041,1220
1042,370
1043,1130
1044,360
1045,940
1046,380
1047,1110
1048,1340
1049,1000
1050,380
1051,390
1052,350
1053,340
1054,310
1055,390
1056,290
1057,330
1058,510
1059,390
1060,390
1061,870
1062,570
1063,1580
1064,400
1065,1580
1066,420
1067,1670
1068,490
1069,1280
1070,1830
1071,1680
1072,600
1073,590
1074,460
1075,390
1076,420
1077,490
1078,340
1079,250
1080,370
1081,240
1082,230
1083,620
1084,440
1085,1000
1086,240
1087,1010
1088,280
1089,1070
1090,330
1091,720
1092,1090
1093,980
1094,420
1095,430
1096,330
1097,260
1098,260
1099,320
1100,200
1123,290
1124,350
1125,210
1126,320
1127,630
1128,450
1129,960
1130,220
1131,1770
1132,290
1133,1520
1134,320
1135,630
1136,1140
1137,1420
1138,460
1139,430
1140,350
1141,250
1142,280
1143,320
1144,190
1145,310
1146,420
1147,310
1148,360
1149,670
1150,490
1151,970
1152,320
1153,1330
1154,350
1155,1000
1156,380
1157,750
1158,1140
1159,970
1160,500
1161,490
1162,370
1163,340
1164,330
1165,370
1166,290
1167,270
1168,520
1169,410
1170,230
1171,840
1172,670
1173,1650
1174,410
1175,1590
1176,490
1177,1620
1178,540
1179,1170
1180,1750
1181,1440
1182,650
1183,660
1184,460
1185,340
1186,440
1187,560
1188,330
1189,190
1190,320
1191,240
1192,200
1193,430
1194,390
1195,700
1196,250
1197,530
1198,260
1199,520
1200,310
1201,500
1202,820
1203,470
1204,370
1205,370
1206,260
1207,200
1208,240
1209,320
1210,210
1211,300
1212,560
1213,470
1214,290
1215,970
1216,660
1217,1160
1218,490
1219,1110
1220,510
1221,1100
1222,550
1223,1040
1224,1300
1225,1010
1226,650
1227,650
1228,460
1229,430
1230,460
1231,600
1232,400
1233,280
1234,560
1235,440
1236,360
1237,1070
1238,720
1239,1540
1240,450
1241,1770
1242,470
1243,1580
1244,560
1245,1270
1246,1800
1247,1500
1248,740
1249,790
1250,480
1251,380
1252,500
1253,640
1254,370
1255,210
1256,430
1257,280
1258,210
1259,560
1260,450
1261,860
1262,300
1263,950
1264,310
1265,860
1266,370
1267,670
1268,1020
1269,820
1270,440
1271,430
1272,340
1273,300
1274,300
1275,370
1276,230
1277,250
1278,380
1279,240
1280,260
1281,660
1282,430
1283,790
1284,250
1285,910
1286,300
1287,770
1288,330
1289,640
1290,970
1291,720
1292,380
1293,420
1294,320
1295,250
1296,290
1297,350
1298,170
1299,300
1300,500
1301,380
1302,300
1303,830
1304,690
1305,1650
1306,430
1307,1590
1308,440
1309,1630
1310,520
1311,1210
1312,1780
1313,1470
1314,690
1315,650
1316,430
1317,330
1318,410
1319,560
1320,300
1321,230
1322,310
1323,230
1324,280
1325,440
1326,350
1327,640
1328,230
1329,840
1330,250
1331,600
1332,290
1333,460
1334,750
1335,600
1336,360
1337,350
1338,270
1339,210
1340,220
1341,310
1342,200
1343,230
1344,330
1345,240
1346,310
1347,450
1348,340
1349,860
1350,230
1351,1760
1352,250
1353,1340
1354,280
1355,520
1356,890
1357,1190
1358,400
1359,340
1360,310
1361,330
1362,220
1363,290
1364,240
1365,470
1366,820
1367,570
1368,590
1369,1120
1370,670
1371,2150
1372,810
1373,1310
1374,1020
1375,2140
1376,860
1377,1940
1378,2230
1379,1530
1380,910
1381,990
1382,900
1383,1040
1384,600
1385,810
1386,700
1387,190
1388,320
1389,230
1390,240
1391,430
1392,320
1393,760
1394,220
1395,1100
1396,230
1397,930
1398,260
1399,570
1400,840
1401,920
1402,330
1403,300
1404,270
1405,280
1406,220
1407,260
1408,230
1409,340
1410,430
1411,340
1412,390
1413,600
1414,500
1415,930
1416,300
1417,1810
1418,360
1419,1250
1420,400
1421,690
1422,1060
1423,1180
1424,600
1425,540
1426,410
1427,350
1428,340
1429,390
1430,340
1431,370
1432,1470
1433,660
1434,340
1435,1450
1436,1190
1437,2600
1438,1290
1439,1260
1440,1230
1441,2160
1442,1290
1443,2720
1444,2930
1445,1580
1446,1070
1447,1320
1448,830
1449,1140
1450,520
1451,1250
1452,830
1453,240
1454,740
1455,540
1456,300
1457,1030
1458,770
1459,2290
1460,800
1461,1370
1462,830
1463,1990
1464,780
1465,2280
1466,2470
1467,1200
1468,740
1469,960
1470,600
1471,660
1472,480
1473,700
1474,600
1475,290
1476,320
1477,230
1478,280
1479,380
1480,380
1481,820
1482,230
1483,810
1484,230
1485,940
1486,280
1487,560
1488,840
1489,910
1490,370
1491,340
1492,290
1493,280
1494,220
1495,310
1496,230
1497,170
1498,240
1499,160
1500,160
1501,370
1502,280
1503,680
1504,150
1505,610
1506,160
1507,870
1508,220
1509,390
1510,760
1511,820
1512,260
1513,240
1514,200
1515,150
1516,160
1517,220
1518,150
1519,300
1520,510
1521,410
1522,480
1523,1060
1524,650
1525,1470
1526,430
1527,1470
1528,430
1529,1490
1530,530
1531,1140
1532,1530
1533,1320
1534,700
1535,770
1536,420
1537,460
1538,390
1539,520
1540,370
1541,260
1542,760
1543,500
1544,190
1545,1220
1546,1060
1547,2390
1548,850
1549,800
1550,930
1551,2160
1552,870
1553,2110
1554,2360
1555,1610
1556,870
1557,1150
1558,620
1559,850
1560,460
1561,660
1562,510
1563,210
1564,480
1565,410
1566,510
1567,1060
1568,660
1569,1640
1570,470
1571,1390
1572,430
1573,1280
1574,530
1575,1320
1576,1680
1577,1430
1578,690
1579,830
1580,410
1581,400
1582,410
1583,600
1584,380
1585,220
1586,480
1587,410
1588,240
1589,760
1590,540
1591,1190
1592,420
1593,1000
1594,420
1595,960
1596,450
1597,980
1598,1290
1599,1000
1600,520
1601,550
1602,380
1603,370
1604,380
1605,510
1606,380
1607,240
1608,520
1609,460
1610,400
1611,1050
1612,660
1613,1420
1614,470
1615,1020
1616,450
1617,1250
1618,510
1619,1280
1620,1540
1621,1290
1622,670
1623,700
1624,400
1625,440
1626,370
1627,560
1628,430
1629,510
1630,1310
1631,830
1632,580
1633,1580
1634,1350
1635,2540
1636,1140
1637,790
1638,1110
1639,2460
1640,1300
1641,2550
1642,2670
1643,1840
1644,1130
1645,1400
1646,910
1647,1200
1648,760
1649,1120
1650,830
1651,330
1652,510
1653,460
1654,640
1655,1070
1656,630
1657,1430
1658,510
1659,910
1660,410
1661,1370
1662,500
1663,1460
1664,1500
1665,1270
1666,610
1667,650
1668,430
1669,470
1670,430
1671,570
1672,420
1673,60
1674,930
1675,540
1676,250
1677,1320
1678,780
1679,2670
1680,850
1681,1270
1682,930
1683,2040
1684,780
1685,2570
1686,2450
1687,1450
1688,710
1689,1010
1690,590
1691,900
1692,410
1693,740
1694,650
1695,630
1696,1230
1697,740
1698,530
1699,1380
1700,1180
1701,2420
1702,1210
1703,720
1704,1010
1705,2260
1706,1290
1707,2460
1708,2520
1709,1570
1710,1050
1711,1300
1712,870
1713,980
1714,790
1715,1210
1716,680
1717,300
1718,810
1719,610
1720,490
1721,1250
1722,740
1723,2700
1724,930
1725,860
1726,750
1727,2220
1728,730
1729,2800
1730,2590
1731,1480
1732,650
1733,870
1734,570
1735,790
1736,480
1737,770
1738,630
1739,260
1740,480
1741,470
1742,630
1743,1080
1744,570
1745,1560
1746,450
1747,1300
1748,410
1749,1330
1750,450
1751,1500
1752,1640
1753,1290
1754,590
1755,600
1756,410
1757,480
1758,410
1759,510
1760,460
1761,230
1762,410
1763,330
1764,250
1765,750
1766,540
1767,1100
1768,330
1769,950
1770,340
1771,1180
1772,410
1773,870
1774,1150
1775,1160
1776,530
1777,530
1778,350
1779,300
1780,320
1781,450
1782,310
1783,310
1784,850
1785,620
1786,470
1787,1350
1788,970
1789,2410
1790,830
1791,670
1792,850
1793,2060
1794,790
1795,2300
1796,2400
1797,1380
1798,810
1799,1000
1800,690
1801,950
1802,520
1803,770
1804,670
1805,320
1806,450
1807,420
1808,660
1809,1150
1810,620
1811,1650
1812,420
1813,1360
1814,380
1815,1480
1816,460
1817,1600
1818,1680
1819,1510
1820,630
1821,680
1822,410
1823,450
1824,350
1825,500
1826,410
1827,210
1828,290
1829,240
1830,220
1831,450
1832,380
1833,740
1834,250
1835,380
1836,210
1837,550
1838,260
1839,610
1840,750
1841,480
1842,330
1843,310
1844,220
1845,210
1846,200
1847,260
1848,230
1849,380
1850,370
1851,280
1852,360
1853,620
1854,450
1855,1050
1856,270
1857,1540
1858,280
1859,1640
1860,340
1861,690
1862,1040
1863,1460
1864,470
1865,420
1866,380
1867,340
1868,300
1869,330
1870,270
1871,220
1872,290
1873,220
1874,270
1875,410
1876,310
1877,670
1878,210
1879,670
1880,210
1881,800
1882,270
1883,480
1884,710
1885,760
1886,320
1887,300
1888,260
1889,230
1890,220
1891,260
1892,220
1893,320
1894,370
1895,250
1896,360
1897,540
1898,380
1899,820
1900,250
1901,1160
1902,270
1903,1250
1904,320
1905,590
1906,870
1907,1190
1908,430
1909,370
1910,340
1911,330
1912,290
1913,320
1914,250
1915,110
1916,170
1917,120
1918,190
1919,330
1920,170
1921,560
1922,90
1923,480
1924,120
1925,530
1926,130
1927,340
1928,640
1929,560
1930,210
1931,170
1932,140
1933,120
1934,110
1935,170
1936,120
1937,270
1938,300
1939,200
1940,270
1941,450
1942,340
1943,780
1944,190
1945,1140
1946,190
1947,1310
1948,250
1949,500
1950,800
1951,1280
1952,350
1953,300
1954,300
1955,260
1956,210
1957,280
1958,210
1959,250
1960,290
1961,220
1962,270
1963,490
1964,320
1965,860
1966,190
1967,1060
1968,200
1969,1240
1970,260
1971,590
1972,840
1973,1200
1974,350
1975,300
1976,260
1977,220
1978,200
1979,250
1980,210
1981,290
1982,320
1983,220
1984,350
1985,510
1986,430
1987,810
1988,200
1989,1330
1990,220
1991,1250
1992,280
1993,470
1994,820
1995,1220
1996,470
1997,410
1998,320
1999,300
2000,230
2001,320
2002,230
2003,280
2004,310
2005,200
2006,280
2007,480
2008,340
2009,800
2010,170
2011,1330
2012,200
2013,1350
2014,260
2015,530
2016,850
2017,1330
2018,370
2019,320
2020,310
2021,260
2022,220
2023,260
2024,190
2025,240
2026,770
2027,430
2028,250
2029,870
2030,840
2031,2070
2032,730
2033,930
2034,870
2035,1890
2036,770
2037,1860
2038,2200
2039,1110
2040,700
2041,830
2042,670
2043,710
2044,470
2045,690
2046,570
2047,210
2048,400
2049,330
2050,200
2051,600
2052,460
2053,950
2054,320
