id,forecastVolum
1,192
2,239
3,102
4,171
5,302
6,122
7,383
8,131
9,1835
10,248
11,569
12,127
13,245
14,256
15,587
16,298
17,220
18,204
19,517
20,76
21,215
22,186
23,353
24,318
25,235
26,211
27,650
28,459
29,911
30,352
31,7140
32,668
33,1346
34,409
35,711
36,720
37,1103
38,768
39,561
40,968
41,985
42,225
43,398
44,598
45,124
46,245
47,170
48,266
49,334
50,116
51,346
52,129
53,1316
54,178
55,380
56,116
57,303
58,279
59,354
60,207
61,191
62,109
63,442
64,124
65,186
66,217
67,212
68,339
69,188
70,135
71,440
72,268
73,475
74,225
75,2864
76,466
77,862
78,348
79,459
80,573
81,1082
82,599
83,543
84,646
85,562
86,159
87,287
88,302
89,174
90,2882
91,439
92,66
93,1254
94,1413
95,3103
96,1495
97,1109
98,1799
99,1696
100,742
101,3005
102,3228
103,1225
104,1077
105,1277
106,361
107,1002
108,214
109,1396
110,420
111,371
112,536
113,545
114,182
115,992
116,1231
117,1548
118,605
119,4823
120,684
121,1533
122,822
123,1940
124,2170
125,968
126,1189
127,1172
128,471
129,424
130,574
131,589
132,434
133,974
134,194
135,102
136,968
137,252
138,275
139,940
140,249
141,921
142,88
143,916
144,164
145,604
146,685
147,759
148,223
149,173
150,179
151,288
152,113
153,253
154,171
155,437
156,117
157,50
158,84
159,286
160,465
161,391
162,75
163,497
164,127
165,1073
166,256
167,263
168,398
169,692
170,295
171,283
172,183
173,83
174,110
175,161
176,38
177,847
178,278
179,262
180,331
181,822
182,895
183,912
184,369
185,849
186,278
187,1265
188,791
189,707
190,946
191,881
192,977
193,942
194,405
195,323
196,353
197,337
198,156
199,851
200,407
201,364
202,99
203,1135
204,1871
205,2599
206,788
207,1245
208,765
209,3086
210,1641
211,1664
212,2478
213,2031
214,1286
215,1196
216,960
217,477
218,521
219,652
220,197
221,130
222,355
223,228
224,198
225,990
226,776
227,1865
228,744
229,1232
230,734
231,1022
232,856
233,1326
234,2065
235,1944
236,920
237,1016
238,678
239,252
240,575
241,1494
242,116
243,38
244,422
245,283
246,16
247,824
248,610
249,1221
250,834
251,1077
252,507
253,670
254,560
255,1475
256,1388
257,808
258,531
259,736
260,273
261,434
262,373
263,942
264,284
265,55
266,692
267,436
268,21
269,1152
270,948
271,1554
272,630
273,883
274,512
275,984
276,766
277,1381
278,1743
279,808
280,846
281,833
282,363
283,251
284,355
285,654
286,409
287,347
288,1295
289,917
290,272
291,2346
292,2017
293,3313
294,934
295,2601
296,923
297,2747
298,1248
299,2460
300,4167
301,2180
302,1564
303,1996
304,893
305,1012
306,976
307,1043
308,659
309,446
310,374
311,391
312,610
313,605
314,791
315,1003
316,559
317,455
318,129
319,1223
320,322
321,1169
322,986
323,623
324,285
325,434
326,210
327,169
328,316
329,458
330,65
331,45
332,988
333,691
334,252
335,1834
336,441
337,2483
338,873
339,1437
340,366
341,710
342,373
343,2312
344,1623
345,602
346,457
347,1048
348,465
349,920
350,250
351,655
352,971
353,1642
354,1104
355,652
356,632
357,1853
358,1877
359,2792
360,1023
361,1304
362,647
363,3224
364,1369
365,3065
366,3568
367,1623
368,1238
369,1534
370,995
371,674
372,965
373,976
374,374
375,280
376,795
377,779
378,86
379,1113
380,1060
381,2862
382,1503
383,540
384,283
385,1327
386,450
387,2611
388,1840
389,673
390,272
391,529
392,343
393,844
394,323
395,857
396,602
397,290
398,427
399,479
400,819
401,946
402,591
403,1411
404,450
405,873
406,291
407,1103
408,345
409,1437
410,1271
411,778
412,548
413,523
414,431
415,613
416,370
417,530
418,711
419,282
420,248
421,100
422,112
423,324
424,358
425,560
426,100
427,364
428,134
429,557
430,257
431,313
432,324
433,588
434,250
435,339
436,193
437,186
438,184
439,145
440,117
441,576
442,606
443,594
444,369
445,1644
446,1049
447,1739
448,594
449,999
450,376
451,2004
452,605
453,2077
454,2113
455,1650
456,812
457,764
458,659
459,719
460,477
461,660
462,641
463,598
464,234
465,224
466,363
467,526
468,538
469,1121
470,207
471,569
472,186
473,1338
474,275
475,979
476,915
477,992
478,322
479,345
480,270
481,239
482,117
483,336
484,209
485,12
486,43
487,44
488,0
489,115
490,318
491,580
492,196
493,78
494,68
495,210
496,48
497,514
498,293
499,69
500,129
501,136
502,32
503,136
504,27
505,79
506,65
507,603
508,233
509,92
510,585
511,606
512,317
513,529
514,123
515,1027
516,161
517,1320
518,223
519,331
520,371
521,1271
522,308
523,260
524,421
525,231
526,256
527,221
528,87
529,311
530,147
531,69
532,245
533,336
534,207
535,325
536,64
537,611
538,109
539,731
540,137
541,208
542,227
543,701
544,255
545,186
546,254
547,117
548,130
549,129
550,36
551,473
552,181
553,55
554,553
555,415
556,207
557,397
558,87
559,858
560,102
561,881
562,128
563,212
564,235
565,756
566,291
567,206
568,250
569,167
570,155
571,147
572,43
573,223
574,104
575,31
576,160
577,190
578,149
579,277
580,36
581,262
582,56
583,495
584,79
585,209
586,195
587,500
588,121
589,118
590,108
591,91
592,116
593,104
594,20
595,635
596,199
597,128
598,563
599,588
600,411
601,621
602,126
603,897
604,115
605,1208
606,232
607,455
608,435
609,1307
610,376
611,346
612,250
613,416
614,188
615,299
616,126
617,398
618,179
619,132
620,259
621,362
622,268
623,509
624,128
625,636
626,112
627,768
628,216
629,318
630,331
631,894
632,334
633,278
634,235
635,158
636,146
637,150
638,63
639,429
640,193
641,126
642,723
643,467
644,273
645,567
646,122
647,984
648,145
649,1035
650,230
651,383
652,378
653,1012
654,403
655,351
656,241
657,336
658,190
659,225
660,117
661,517
662,214
663,73
664,440
665,477
666,359
667,415
668,86
669,1079
670,145
671,1076
672,187
673,343
674,348
675,1311
676,272
677,343
678,285
679,206
680,220
681,192
682,78
683,223
684,635
685,130
686,82
687,387
688,989
689,1882
690,496
691,3271
692,1963
693,1457
694,422
695,1146
696,3518
697,764
698,445
699,887
700,289
701,497
702,132
703,694
704,379
705,679
706,273
707,370
708,67
709,787
710,415
711,968
712,272
713,278
714,115
715,1187
716,401
717,791
718,711
719,690
720,273
721,471
722,286
723,102
724,154
725,813
726,111
727,298
728,155
729,52
730,63
731,199
732,154
733,328
734,65
735,140
736,44
737,463
738,90
739,219
740,254
741,346
742,87
743,144
744,84
745,38
746,91
747,126
748,25
749,166
750,83
751,85
752,394
753,359
754,210
755,698
756,181
757,1536
758,282
759,765
760,230
761,427
762,294
763,631
764,508
765,375
766,547
767,226
768,241
769,168
770,89
771,180
772,276
773,436
774,485
775,636
776,209
777,683
778,289
779,1368
780,282
781,565
782,261
783,749
784,654
785,585
786,1041
787,483
788,291
789,609
790,393
791,460
792,321
793,87
794,177
795,141
796,46
797,369
798,212
799,347
800,122
801,929
802,233
803,608
804,305
805,314
806,486
807,550
808,229
809,377
810,235
811,228
812,129
813,116
814,92
815,364
816,397
817,499
818,310
819,1081
820,701
821,2308
822,1088
