id,forecastVolum
1,232
2,259
3,144
4,238
5,311
6,154
7,353
8,163
9,1692
10,267
11,543
12,153
13,250
14,267
15,530
16,295
17,265
18,229
19,439
20,86
21,248
22,231
23,303
24,298
25,243
26,256
27,580
28,399
29,828
30,301
31,7905
32,572
33,1297
34,324
35,697
36,664
37,1161
38,617
39,512
40,914
41,1060
42,235
43,338
44,524
45,143
46,246
47,181
48,286
49,324
50,104
51,321
52,142
53,1245
54,181
55,372
56,92
57,306
58,254
59,351
60,207
61,193
62,88
63,351
64,130
65,198
66,222
67,183
68,304
69,170
70,145
71,366
72,235
73,390
74,200
75,4007
76,314
77,768
78,310
79,358
80,461
81,958
82,492
83,414
84,448
85,398
86,147
87,248
88,245
89,180
90,3133
91,375
92,85
93,1174
94,1378
95,3305
96,1394
97,1187
98,1673
99,1621
100,666
101,3279
102,4045
103,1188
104,1064
105,1220
106,339
107,851
108,252
109,1487
110,393
111,363
112,383
113,416
114,71
115,798
116,1003
117,1393
118,521
119,6379
120,523
121,1355
122,615
123,1721
124,2194
125,901
126,1071
127,1230
128,310
129,327
130,472
131,465
132,373
133,826
134,184
135,135
136,861
137,269
138,276
139,936
140,275
141,862
142,94
143,848
144,177
145,508
146,606
147,673
148,240
149,191
150,192
151,311
152,144
153,263
154,214
155,296
156,103
157,9
158,70
159,225
160,361
161,301
162,35
163,363
164,96
165,819
166,226
167,200
168,333
169,513
170,254
171,248
172,150
173,29
174,98
175,161
176,1
177,722
178,324
179,263
180,354
181,700
182,780
183,905
184,338
185,830
186,311
187,1178
188,751
189,638
190,888
191,822
192,865
193,888
194,351
195,301
196,370
197,315
198,192
199,755
200,366
201,281
202,57
203,1115
204,1865
205,2258
206,607
207,1217
208,568
209,2441
210,1327
211,1436
212,1990
213,1895
214,1239
215,1214
216,796
217,398
218,394
219,543
220,146
221,153
222,300
223,244
224,244
225,894
226,644
227,1475
228,636
229,1140
230,510
231,926
232,645
233,1197
234,2060
235,2293
236,812
237,849
238,547
239,247
240,416
241,1228
242,118
243,52
244,366
245,308
246,52
247,764
248,562
249,1247
250,707
251,977
252,406
253,650
254,471
255,1295
256,1347
257,650
258,505
259,627
260,305
261,388
262,361
263,758
264,290
265,100
266,637
267,406
268,44
269,1150
270,908
271,1580
272,596
273,816
274,503
275,1101
276,690
277,1590
278,1581
279,851
280,855
281,737
282,384
283,281
284,402
285,574
286,403
287,330
288,1048
289,728
290,289
291,2118
292,2033
293,2658
294,751
295,2067
296,712
297,2288
298,1226
299,2151
300,3422
301,2014
302,1497
303,1945
304,621
305,860
306,790
307,812
308,545
309,473
310,353
311,348
312,681
313,689
314,759
315,1062
316,564
317,459
318,139
319,1254
320,355
321,1202
322,943
323,693
324,285
325,434
326,238
327,177
328,333
329,405
330,55
331,29
332,930
333,613
334,300
335,1728
336,413
337,2167
338,868
339,1195
340,338
341,670
342,346
343,2129
344,1371
345,612
346,439
347,1026
348,399
349,916
350,236
351,601
352,969
353,1736
354,967
355,574
356,451
357,1870
358,1884
359,2449
360,965
361,1018
362,581
363,2431
364,1165
365,2478
366,2465
367,1601
368,1059
369,1646
370,849
371,566
372,789
373,918
374,334
375,306
376,713
377,736
378,133
379,1073
380,1123
381,2087
382,1772
383,606
384,310
385,1129
386,508
387,2100
388,1979
389,633
390,334
391,591
392,378
393,777
394,368
395,789
396,546
397,284
398,346
399,372
400,766
401,784
402,506
403,1341
404,349
405,754
406,241
407,1058
408,342
409,1369
410,1158
411,738
412,483
413,449
414,360
415,619
416,319
417,442
418,671
419,299
420,206
421,54
422,96
423,280
424,331
425,438
426,40
427,388
428,85
429,572
430,268
431,284
432,283
433,554
434,238
435,303
436,190
437,132
438,146
439,98
440,77
441,414
442,492
443,469
444,321
445,1299
446,1054
447,1766
448,498
449,841
450,316
451,1999
452,540
453,2117
454,2074
455,1280
456,646
457,641
458,513
459,621
460,355
461,535
462,516
463,516
464,274
465,240
466,373
467,555
468,565
469,1097
470,217
471,610
472,202
473,1304
474,302
475,987
476,932
477,1190
478,314
479,330
480,311
481,287
482,132
483,317
484,233
485,10
486,25
487,18
488,3
489,137
490,355
491,627
492,227
493,41
494,70
495,207
496,37
497,590
498,300
499,36
500,153
501,160
502,16
503,155
504,35
505,101
506,65
507,404
508,204
509,55
510,402
511,399
512,257
513,374
514,83
515,893
516,130
517,1066
518,191
519,273
520,247
521,996
522,281
523,234
524,331
525,204
526,215
527,186
528,47
529,287
530,156
531,59
532,246
533,294
534,204
535,266
536,54
537,465
538,111
539,551
540,134
541,177
542,190
543,536
544,237
545,191
546,230
547,135
548,138
549,127
550,29
551,376
552,221
553,67
554,440
555,347
556,213
557,349
558,103
559,712
560,125
561,731
562,148
563,217
564,224
565,620
566,293
567,214
568,259
569,197
570,176
571,177
572,46
573,147
574,20
575,0
576,128
577,106
578,100
579,166
580,0
581,174
582,0
583,323
584,11
585,130
586,73
587,321
588,32
589,21
590,1
591,14
592,9
593,15
594,0
595,334
596,173
597,120
598,331
599,365
600,305
601,396
602,122
603,597
604,100
605,885
606,211
607,322
608,303
609,937
610,306
611,296
612,210
613,294
614,165
615,247
616,110
617,288
618,161
619,121
620,252
621,293
622,213
623,349
624,112
625,497
626,100
627,616
628,178
629,272
630,230
631,804
632,299
633,231
634,206
635,139
636,97
637,116
638,27
639,352
640,201
641,127
642,528
643,354
644,278
645,406
646,122
647,895
648,148
649,790
650,219
651,334
652,318
653,871
654,345
655,330
656,236
657,312
658,166
659,221
660,128
661,340
662,194
663,36
664,324
665,338
666,290
667,333
668,40
669,881
670,121
671,883
672,163
673,267
674,261
675,1153
676,227
677,290
678,247
679,183
680,185
681,170
682,43
683,232
684,527
685,143
686,81
687,336
688,980
689,1698
690,429
691,2570
692,2015
693,1467
694,386
695,1128
696,3324
697,805
698,419
699,868
700,300
701,445
702,151
703,542
704,335
705,501
706,274
707,343
708,41
709,540
710,385
711,793
712,260
713,235
714,87
715,1106
716,356
717,582
718,560
719,563
720,269
721,444
722,263
723,87
724,140
725,736
726,92
727,296
728,158
729,30
730,64
731,200
732,158
733,280
734,47
735,118
736,14
737,341
738,57
739,199
740,221
741,271
742,51
743,144
744,49
745,9
746,77
747,127
748,1
749,185
750,72
751,71
752,359
753,361
754,222
755,606
756,185
757,1327
758,288
759,681
760,235
761,384
762,268
763,626
764,425
765,349
766,421
767,239
768,292
769,180
770,77
771,224
772,326
773,383
774,487
775,701
776,226
777,719
778,322
779,1437
780,287
781,557
782,277
783,765
784,679
785,651
786,953
787,506
788,331
789,620
790,382
791,438
792,323
793,94
794,175
795,137
796,32
797,339
798,187
799,313
800,131
801,726
802,211
803,514
804,265
805,271
806,431
807,495
808,219
809,325
810,228
811,213
812,137
813,108
814,91
815,301
816,320
817,439
818,326
819,928
820,674
821,2015
822,988
823,6317
824,1288
825,1929
826,1015
827,1777
828,1391
829,1236
830,1114
831,1220
832,972
833,1250
834,540
835,428
836,769
837,285
838,380
839,333
840,431
841,474
842,485
843,1004
844,424
845,2229
846,339
847,884
848,378
849,860
850,970
851,759
852,1029
853,649
854,515
855,644
856,238
857,392
858,478
859,171
860,251
861,190
862,189
863,325
864,338
865,511
866,247
867,1535
868,227
869,728
870,253
871,421
872,575
873,674
874,591
875,332
876,348
877,315
878,133
879,211
880,231
881,146
882,9
883,5
884,178
885,13
886,23
887,217
888,46
889,531
890,6
891,241
892,11
893,174
894,110
895,268
896,18
897,12
898,19
899,69
900,8
901,10
902,9
903,214
904,239
905,118
906,168
907,324
908,231
909,576
910,198
911,2442
912,278
913,585
914,237
915,467
916,334
917,614
918,412
919,338
920,383
921,308
922,162
923,145
924,193
925,311
926,89
927,194
928,353
929,303
930,283
931,696
932,312
933,1658
934,107
935,740
936,209
937,645
938,528
939,998
940,399
941,372
942,331
943,588
944,136
945,204
946,331
947,207
948,27
949,8
950,264
951,181
952,54
953,167
954,7
955,271
956,3
957,171
958,21
959,77
960,61
961,53
962,68
963,76
964,46
965,52
966,68
967,69
968,4
969,134
970,52
971,14
972,0
973,168
974,369
975,413
976,91
977,387
978,18
979,535
980,303
981,279
982,509
983,654
984,234
985,187
986,167
987,8
988,13
989,37
990,0
991,40
992,31
993,15
994,16
995,139
996,176
997,364
998,37
999,264
1000,18
1001,368
1002,145
1003,340
1004,404
1005,394
1006,166
1007,260
1008,119
1009,84
1010,30
1011,137
1012,50
1013,318
1014,107
1015,19
1016,169
1017,582
1018,545
1019,655
1020,135
1021,826
1022,181
1023,1485
1024,365
1025,467
1026,1388
1027,1115
1028,392
1029,420
1030,342
1031,176
1032,292
1033,230
1034,83
1035,29
1036,202
1037,370
1038,14
1039,555
1040,285
1041,1324
1042,761
1043,543
1044,276
1045,460
1046,184
1047,1783
1048,824
1049,555
1050,187
1051,315
1052,333
1053,696
1054,103
1055,405
1056,469
1057,322
1058,278
1059,212
1060,301
1061,519
1062,761
1063,754
1064,230
1065,686
1066,165
1067,1087
1068,446
1069,772
1070,1158
1071,1691
1072,487
1073,444
1074,316
1075,177
1076,282
1077,330
1078,124
1079,164
1080,199
1081,17
1082,20
1083,298
1084,260
1085,467
1086,74
1087,398
1088,145
1089,593
1090,206
1091,480
1092,440
1093,469
1094,220
1095,195
1096,227
1097,51
1098,141
1099,180
1100,21
1123,318
1124,203
1125,18
1126,88
1127,492
1128,483
1129,393
1130,35
1131,1013
1132,207
1133,967
1134,295
1135,319
1136,484
1137,815
1138,324
1139,313
1140,340
1141,80
1142,273
1143,162
1144,30
1145,260
1146,252
1147,146
1148,335
1149,362
1150,204
1151,419
1152,138
1153,784
1154,138
1155,377
1156,131
1157,344
1158,345
1159,331
1160,228
1161,284
1162,147
1163,201
1164,292
1165,203
1166,219
1167,235
1168,295
1169,162
1170,105
1171,571
1172,950
1173,842
1174,280
1175,741
1176,319
1177,1174
1178,348
1179,666
1180,1361
1181,566
1182,333
1183,713
1184,313
1185,169
1186,314
1187,603
1188,86
1189,13
1190,35
1191,120
1192,5
1193,94
1194,141
1195,329
1196,45
1197,11
1198,6
1199,72
1200,96
1201,184
1202,286
1203,30
1204,138
1205,366
1206,9
1207,27
1208,50
1209,272
1210,71
1211,80
1212,355
1213,354
1214,115
1215,1001
1216,403
1217,699
1218,734
1219,501
1220,224
1221,560
1222,323
1223,1209
1224,1024
1225,469
1226,283
1227,481
1228,206
1229,176
1230,546
1231,672
1232,150
1233,300
1234,592
1235,536
1236,264
1237,1417
1238,603
1239,835
1240,459
1241,880
1242,305
1243,1151
1244,356
1245,1119
1246,1482
1247,1062
1248,541
1249,965
1250,319
1251,200
1252,1334
1253,767
1254,221
1255,16
1256,566
1257,14
1258,132
1259,305
1260,75
1261,278
1262,69
1263,401
1264,19
1265,330
1266,34
1267,427
1268,378
1269,248
1270,260
1271,191
1272,45
1273,139
1274,391
1275,144
1276,6
1277,56
1278,143
1279,94
1280,48
1281,428
1282,212
1283,280
1284,145
1285,283
1286,116
1287,446
1288,118
1289,468
1290,422
1291,204
1292,20
1293,218
1294,89
1295,0
1296,735
1297,323
1298,0
1299,1316
1300,58
1301,47
1302,14
1303,427
1304,409
1305,434
1306,195
1307,495
1308,192
1309,754
1310,336
1311,355
1312,814
1313,422
1314,318
1315,415
1316,138
1317,19
1318,58
1319,210
1320,2
1321,123
1322,61
1323,36
1324,49
1325,187
1326,156
1327,141
1328,20
1329,398
1330,150
1331,325
1332,52
1333,81
1334,108
1335,302
1336,192
1337,234
1338,78
1339,70
1340,82
1341,221
1342,37
1343,159
1344,184
1345,93
1346,164
1347,174
1348,105
1349,204
1350,109
1351,1510
1352,167
1353,327
1354,97
1355,169
1356,167
1357,281
1358,160
1359,162
1360,160
1361,288
1362,48
1363,161
1364,163
1365,182
1366,187
1367,170
1368,193
1369,396
1370,218
1371,597
1372,180
1373,6060
1374,461
1375,1203
1376,195
1377,462
1378,487
1379,1008
1380,395
1381,323
1382,693
1383,966
1384,171
1385,216
1386,415
1387,93
1388,166
1389,121
1390,197
1391,177
1392,52
1393,175
1394,94
1395,901
1396,126
1397,215
1398,38
1399,177
1400,175
1401,209
1402,131
1403,123
1404,41
1405,215
1406,75
1407,142
1408,151
1409,124
1410,166
1411,121
1412,92
1413,191
1414,156
1415,228
1416,142
1417,3752
1418,171
1419,532
1420,169
1421,216
1422,268
1423,672
1424,242
1425,231
1426,268
1427,254
1428,111
1429,156
1430,159
1431,140
1432,2413
1433,241
1434,57
1435,905
1436,1237
1437,3032
1438,1013
1439,991
1440,1469
1441,1626
1442,421
1443,3121
1444,3719
1445,939
1446,841
1447,899
1448,246
1449,565
1450,175
1451,966
1452,266
1453,176
1454,214
1455,217
1456,13
1457,519
1458,616
1459,1029
1460,237
1461,7369
1462,259
1463,972
1464,347
1465,1393
1466,1458
1467,614
1468,697
1469,832
1470,156
1471,173
1472,237
1473,214
1474,209
1475,584
1476,142
1477,76
1478,643
1479,171
1480,167
1481,669
1482,167
1483,511
1484,57
1485,608
1486,129
1487,316
1488,375
1489,437
1490,157
1491,139
1492,141
1493,173
1494,109
1495,168
1496,145
1497,144
1498,48
1499,0
1500,27
1501,133
1502,174
1503,148
1504,10
1505,163
1506,37
1507,408
1508,137
1509,131
1510,156
1511,246
1512,137
1513,137
1514,92
1515,7
1516,45
1517,110
1518,0
1519,427
1520,177
1521,156
1522,205
1523,409
1524,415
1525,598
1526,190
1527,487
1528,156
1529,704
1530,401
1531,368
1532,594
1533,507
1534,461
1535,514
1536,183
1537,157
1538,190
1539,156
1540,137
1541,466
1542,188
1543,147
1544,21
1545,780
1546,1184
1547,1623
1548,367
1549,736
1550,335
1551,2217
1552,845
1553,1053
1554,1406
1555,1225
1556,812
1557,757
1558,453
1559,212
1560,198
1561,294
1562,106
1563,115
1564,171
1565,149
1566,164
