id,forecastVolum
1,264
2,395
3,185
4,362
5,454
6,204
7,446
8,218
9,2288
10,410
11,830
12,223
13,286
14,429
15,550
16,423
17,349
18,233
19,556
20,149
21,310
22,228
23,192
24,313
25,136
26,251
27,599
28,261
29,635
30,242
31,6229
32,605
33,1494
34,407
35,402
36,639
37,1178
38,624
39,583
40,664
41,963
42,189
43,406
44,376
45,147
46,331
47,277
48,511
49,546
50,171
51,425
52,189
53,1668
54,229
55,449
56,149
57,440
58,417
59,388
60,345
61,286
62,158
63,506
64,211
65,310
66,283
67,77
68,148
69,68
70,58
71,341
72,205
73,225
74,67
75,2723
76,226
77,694
78,154
79,225
80,332
81,586
82,312
83,295
84,205
85,170
86,77
87,149
88,58
89,211
90,4199
91,404
92,176
93,1842
94,2095
95,4209
96,1423
97,1487
98,2099
99,2566
100,999
101,3479
102,5150
103,1087
104,1869
105,2438
106,473
107,805
108,339
109,1900
110,335
111,257
112,473
113,415
114,141
115,1236
116,1635
117,1872
118,499
119,5052
120,786
121,1819
122,836
123,2186
124,3188
125,648
126,1836
127,1876
128,273
129,222
130,682
131,546
132,250
133,1052
134,136
135,114
136,1456
137,249
138,286
139,1049
140,228
141,802
142,97
143,1129
144,127
145,714
146,720
147,711
148,200
149,136
150,110
151,214
152,65
153,261
154,144
155,133
156,37
157,28
158,36
159,165
160,233
161,220
162,37
163,106
164,33
165,680
166,98
167,68
168,121
169,378
170,115
171,106
172,68
173,36
174,42
175,58
176,25
177,605
178,340
179,189
180,548
181,748
182,823
183,1048
184,241
185,761
186,347
187,1290
188,615
189,541
190,856
191,609
192,788
193,871
194,367
195,160
196,316
197,332
198,109
199,281
200,207
201,170
202,135
203,823
204,1060
205,1914
206,225
207,593
208,339
209,2063
210,828
211,613
212,1432
213,974
214,695
215,695
216,362
217,130
218,237
219,332
220,118
221,116
222,408
223,245
224,189
225,1158
226,875
227,1984
228,461
229,850
230,682
231,835
232,939
233,1056
234,1968
235,589
236,930
237,1013
238,488
239,158
240,515
241,1050
242,117
243,104
244,475
245,421
246,85
247,863
248,567
249,1397
250,627
251,674
252,506
253,635
254,639
255,1318
256,1390
257,438
258,630
259,734
260,277
261,273
262,348
263,773
264,186
265,231
266,1169
267,687
268,109
269,1653
270,1463
271,1944
272,1013
273,1170
274,909
275,1596
276,1206
277,1934
278,2311
279,932
280,1347
281,1347
282,655
283,367
284,657
285,1155
286,518
287,269
288,1343
289,663
290,156
291,2484
292,2415
293,3156
294,585
295,1932
296,793
297,2624
298,1473
299,2588
300,4574
301,1073
302,2070
303,2415
304,496
305,521
306,899
307,975
308,411
309,640
310,500
311,523
312,1110
313,836
314,864
315,1260
316,806
317,384
318,213
319,1477
320,389
321,1468
322,1058
323,667
324,418
325,442
326,389
327,232
328,431
329,575
330,117
331,108
332,795
333,333
334,130
335,1326
336,278
337,2192
338,429
339,862
340,409
341,640
342,290
343,1552
344,1545
345,249
346,432
347,1219
348,221
349,366
350,233
351,572
352,372
353,1230
354,622
355,270
356,148
357,1465
358,1312
359,2440
360,445
361,694
362,380
363,1899
364,640
365,2010
366,1642
367,374
368,718
369,873
370,382
371,212
372,431
373,717
374,134
375,175
376,432
377,406
378,97
379,888
380,496
381,1774
382,767
383,312
384,243
385,961
386,405
387,1575
388,1569
389,263
390,312
391,352
392,180
393,310
394,293
395,620
396,275
397,354
398,438
399,589
400,1169
401,1181
402,795
403,1765
404,467
405,685
406,273
407,1218
408,438
409,1763
410,1526
411,688
412,653
413,604
414,437
415,681
416,438
417,491
418,848
419,475
420,486
421,194
422,146
423,790
424,790
425,947
426,148
427,787
428,245
429,1265
430,585
431,512
432,721
433,839
434,719
435,676
436,466
437,188
438,344
439,371
440,181
441,245
442,341
443,226
444,173
445,1164
446,834
447,1416
448,252
449,432
450,206
451,1320
452,329
453,1674
454,1320
455,588
456,611
457,497
458,329
459,274
460,268
461,383
462,244
463,261
464,125
465,70
466,216
467,433
468,296
469,735
470,73
471,288
472,55
473,800
474,104
475,580
476,442
477,430
478,251
479,259
480,100
481,90
482,59
483,161
484,55
485,50
486,68
487,78
488,54
489,194
490,246
491,516
492,142
493,118
494,59
495,179
496,88
497,509
498,242
499,69
500,161
501,144
502,67
503,88
504,73
505,96
506,60
507,717
508,232
509,137
510,822
511,752
512,432
513,662
514,149
515,1186
516,178
517,1737
518,287
519,353
520,371
521,1475
522,395
523,350
524,546
525,273
526,276
527,262
528,130
529,246
530,153
531,97
532,220
533,399
534,210
535,321
536,94
537,525
538,121
539,756
540,161
541,172
542,180
543,637
544,271
545,213
546,227
547,124
548,140
549,145
550,67
551,841
552,406
553,230
554,971
555,843
556,491
557,775
558,230
559,1103
560,230
561,1427
562,326
563,523
564,483
565,1315
566,595
567,464
568,581
569,394
570,378
571,397
572,167
573,64
574,26
575,12
576,86
577,74
578,50
579,101
580,13
581,90
582,13
583,277
584,18
585,69
586,57
587,182
588,39
589,33
590,26
591,27
592,13
593,32
594,12
595,276
596,111
597,82
598,295
599,371
600,255
601,358
602,81
603,875
604,77
605,912
606,135
607,291
608,242
609,903
610,246
611,219
612,176
613,164
614,107
615,150
616,63
617,234
618,102
619,60
620,125
621,259
622,148
623,279
624,54
625,353
626,64
627,615
628,92
629,148
630,143
631,472
632,234
633,153
634,125
635,70
636,74
637,99
638,38
639,394
640,260
641,166
642,765
643,543
644,298
645,592
646,110
647,1039
648,191
649,1158
650,225
651,386
652,328
653,803
654,505
655,335
656,271
657,205
658,170
659,260
660,94
661,433
662,219
663,75
664,462
665,556
666,347
667,521
668,81
669,1184
670,132
671,1466
672,191
673,408
674,302
