id,forecastVolum
1,228
2,393
3,211
4,372
5,430
6,216
7,490
8,229
9,2444
10,387
11,729
12,221
13,318
14,443
15,607
16,411
17,359
18,264
19,595
20,158
21,297
22,275
23,256
24,384
25,116
26,407
27,701
28,378
29,1088
30,274
31,6259
32,658
33,1694
34,481
35,556
36,1185
37,1608
38,753
39,731
40,622
41,1163
42,243
43,408
44,552
45,134
46,277
47,232
48,409
49,356
50,186
51,386
52,174
53,1414
54,220
55,424
56,140
57,347
58,368
59,306
60,316
61,303
62,155
63,424
64,198
65,251
66,263
67,12
68,138
69,20
70,0
71,391
72,197
73,411
74,36
75,2401
76,198
77,775
78,138
79,266
80,408
81,652
82,292
83,238
84,140
85,212
86,87
87,140
88,23
89,64
90,4131
91,587
92,0
93,1560
94,1863
95,4038
96,1580
97,2058
98,2095
99,2354
100,941
101,3143
102,4149
103,1805
104,1659
105,1985
106,812
107,1022
108,363
109,1937
110,550
111,401
112,771
113,570
114,138
115,1436
116,1393
117,2176
118,666
119,4574
120,957
121,1875
122,1029
123,1885
124,2398
125,1706
126,1561
127,1561
128,442
129,331
130,914
131,803
132,464
133,787
134,148
135,128
136,1067
137,227
138,356
139,767
140,190
141,588
142,108
143,972
144,157
145,664
146,709
147,644
148,203
149,159
150,153
151,189
152,87
153,197
154,132
155,255
156,38
157,19
158,18
159,184
160,255
161,397
162,27
163,136
164,39
165,590
166,103
167,127
168,234
169,434
170,116
171,112
172,65
173,24
174,22
175,59
176,6
177,858
178,433
179,256
180,780
181,928
182,880
183,1396
184,336
185,1231
186,348
187,1361
188,733
189,948
190,1297
191,1238
192,947
193,990
194,567
195,246
196,378
197,395
198,149
199,1298
200,492
201,323
202,132
203,1659
204,1749
205,2770
206,416
207,1771
208,571
209,3025
210,1230
211,1565
212,2431
213,2184
214,1303
215,1350
216,893
217,331
218,457
219,604
220,127
221,154
222,387
223,230
224,143
225,985
226,756
227,1641
228,415
229,1095
230,429
231,1145
232,734
233,1111
234,1634
235,1174
236,781
237,872
238,487
239,232
240,375
241,595
242,124
243,122
244,343
245,255
246,99
247,684
248,476
249,1065
250,327
251,755
252,271
253,737
254,426
255,1019
256,993
257,480
258,471
259,522
260,269
261,225
262,221
263,466
264,146
265,298
266,808
267,481
268,152
269,1213
270,1010
271,1571
272,712
273,1283
274,659
275,1296
276,813
277,1456
278,1569
279,1217
280,1056
281,1056
282,588
283,338
284,479
285,804
286,406
287,868
288,1461
289,1038
290,432
291,2128
292,2013
293,3173
294,1095
295,2136
296,1028
297,2503
298,1410
299,2587
300,4171
301,2127
302,1969
303,2126
304,1060
305,1145
306,1046
307,1265
308,846
309,585
310,384
311,366
312,863
313,759
314,663
315,1167
316,555
317,608
318,226
319,1105
320,292
321,1253
322,1079
323,813
324,354
325,336
326,287
327,319
328,279
329,468
330,183
331,135
332,553
333,423
334,360
335,1117
336,481
337,1914
338,420
339,1076
340,222
341,1200
342,235
343,1832
344,1588
345,554
346,338
347,794
348,246
349,457
350,100
351,520
352,344
353,1429
